评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5920136112,北城夏屿,女,海外,103,70,211958,武汉加油！！！！！,48,2020-01-23 13:29
https://weibo.cn//u/1810440244,Rodes,男,北京,949,999,910601,不去武汉 就是支持武汉 不离开武汉 就是支持全国！,106,2020-01-23 13:26
https://weibo.cn//u/6054019783,果子果子呀哈,女,云南,2,28,9,保佑,1,2020-01-24 14:23
https://weibo.cn//u/5512764159,X-Jessie也是珏熙,女,湖北,975,1809,295,电视机看到的从协和转移到红十字会怎么说。。,0,2020-01-23 19:02
https://weibo.cn//cameo72,米酒是只喵,女,湖北,124,80,701,早上朋友圈传疯了，那个时候就猜到了是谣言，毕竟城市上空撒消毒粉不现实,0,2020-01-23 17:23
https://weibo.cn//u/5878378115,Liu呵呵丶,男,河南,45,47,147,回复@莫清川:封了，你看新闻,0,2020-01-23 17:18
https://weibo.cn//u/5996308397,饱满沸腾也沙哑,男,其他,161,49,1015,造谣一张嘴,0,2020-01-23 16:54
https://weibo.cn//u/6100155182,夏天的风_63,女,湖北,463,194,224,回复@灶蚂子Shawn:汉口常青公园附近,0,2020-01-23 16:35
https://weibo.cn//208686404,科啊今天离职了吗,男,四川,5422,1399,1394,这个时候辟谣怎么不抓人了？,0,2020-01-23 16:21
https://weibo.cn//u/6964860407,秋风的芦笛,男,湖北,472,379,49,回复@牡鹿先森:@武汉发布,0,2020-01-23 16:01
https://weibo.cn//u/6047451967,凉秋July,男,其他,77,45,60,加油武汉！,0,2020-01-23 15:58
https://weibo.cn//u/6298897865,乔你一万年,女,湖北,5029,73,178,不要再骂武汉人到处乱跑了，我是地地道道的武汉人，我的亲戚朋友都在武汉，我们与家人在一起共同抵抗疫情，相信政府配合预防，呆在家里好好消毒、不串门不吃年夜饭，希望早日战胜疫情,0,2020-01-23 15:53
https://weibo.cn//u/6298897865,乔你一万年,女,湖北,5029,73,178,回复@小敏今天也睡不着:我们自己在家消毒，配合预防从我做起,0,2020-01-23 15:51
https://weibo.cn//u/2702472477,欲欲多欢,男,湖北,29,7,284,到底转移到哪些医院，不能明确说吗？让大家也好有个防护准备啊,0,2020-01-23 15:23
https://weibo.cn//u/3995708244,超甜的柠檬lemon,男,其他,475,411,276,造谣的人真该死,0,2020-01-23 15:03
https://weibo.cn//u/6337848903,南栀black,女,湖北,760,368,24,加油 会过去的,0,2020-01-23 14:57
https://weibo.cn//u/2892342711,灶蚂子Shawn,男,湖北,3,141,205,回复@夏天的风_63:我家楼下药店还有啊？你武汉哪里的啊？,0,2020-01-23 14:57
https://weibo.cn//u/2892342711,灶蚂子Shawn,男,湖北,3,141,205,回复@靠谱老范:要你拿出证据来，你就给我来这一句话？我在不在武汉你知道？,0,2020-01-23 14:56
https://weibo.cn//u/2729194025,叶Oo落_217,男,湖北,45,179,12,应该全武汉消毒呀,0,2020-01-23 14:50
https://weibo.cn//u/6100155182,夏天的风_63,女,湖北,463,194,224,回复@好吃多多妺:口罩确实脱销了，唉。,0,2020-01-23 14:46
https://weibo.cn//u/7365600163,罗Philosopher,男,广东,24,397,86,发布谣言的人要抓起来，然后公开其个人信息。,0,2020-01-23 14:45
https://weibo.cn//u/3170225114,战略与房产投资-武汉楼市,男,湖北,11433,360,274761,这一次应对100分，及时查清、及时辟谣！,0,2020-01-23 14:44
https://weibo.cn//u/5136476337,靠谱老范,男,其他,2627,464,657,回复@灶蚂子Shawn:菜价确实疯涨啊 你又不在？你要是在的话 你自己去看看,1,2020-01-23 14:44
https://weibo.cn//u/2892342711,灶蚂子Shawn,男,湖北,3,141,205,回复@好吃多多妺:请你拿出证据来，哪个超市菜价飞涨了？你有向12315举报吗,0,2020-01-23 14:39
https://weibo.cn//u/6366655179,双鱼座的晴天11583,男,其他,25,96,6,加油,0,2020-01-23 14:31
https://weibo.cn//u/2921046303,零吾贰弟,男,湖北,159,694,254,这个时候还乱说造谣，,0,2020-01-23 14:30
https://weibo.cn//u/5626183539,然然不是猪啦,女,山东,2,49,19,武汉是个笨笨的小朋友 不小心把自己弄生病啦 祖国妈妈就带着他的哥哥姐姐来照顾他了 武汉小笨蛋一定要快快好起来啊,4,2020-01-23 14:29
https://weibo.cn//u/5625953654,x家xfx,女,其他,1245,84,20,武汉加油,0,2020-01-23 14:27
https://weibo.cn//u/6015811844,破名字这么难改,男,其他,22,30,27,为什么不抓散播谣言的呢,1,2020-01-23 14:20
https://weibo.cn//u/1807484501,阿拉蕾220,女,辽宁,946,169,537,武汉加油！,0,2020-01-23 14:20
https://weibo.cn//u/6642973081,湖南梁潮伟,男,湖南,55,232,14,武汉加油！,0,2020-01-23 14:18
https://weibo.cn//u/5347941524,好吃多多妺,女,湖北,806,109,50,我们武汉这里早就买不到医用外科口罩和N95口罩了（只有这两种口罩才能有效的预防），大部分人都只是戴的普通口罩，根本防不住病毒。没有任何部门重视这个问题，天天说戴口罩，我们没有N95也没有医用外科口罩，难道防不比治更重要吗？今天武汉封城菜价飞涨，作为武汉人此刻很绝望！我们希望大家知道真相,15,2020-01-23 14:16
https://weibo.cn//u/1807576083,燕子淘氣_513,女,天津,145,393,61,都这时候了，还传谣言，介人是什么脑回路，就不能安安心心坐家里别添乱吗。我也是气愤的不知道怎么撒气了,1,2020-01-23 14:15
https://weibo.cn//u/5293816659,开枪谁怕谁,男,其他,96,195,51,加油💪,0,2020-01-23 14:13
https://weibo.cn//u/5674642239,JacobLee的微博,男,海外,1463,120,60,加油！,0,2020-01-23 14:07
