评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//x299792458,得克萨斯烤小羊,男,广东,104,84,127,为什么全都觉得离江近＝直接排放到江里啊，我们公司就在大海边上，排污管都是接到污水处理公司的，只有雨水直排大海，而且zf盯读数跟鬼一样，超标一点就罚,1883,2020-01-24 21:15
https://weibo.cn//u/6028837046,左晓琼本人没错了,女,湖北,1046,41,99,是那个，抓起来，闲的慌吧,808,2020-01-24 21:10
https://weibo.cn//u/1727690480,_Sumiiiii,女,其他,476,670,950,真的不懂现在还在造造谣的那些人是闲的？现在还不够乱吗,493,2020-01-24 21:13
https://weibo.cn//u/5721093264,蒙帝恩家居,男,其他,84,280,172,回复@纳兰钰儿flora:省委老大和市委老大已经被免职！,0,2020-02-24 08:30
https://weibo.cn//u/1776682632,徐-Xu,男,其他,744,38,47,回复@初心喂了狗啊:终于开始征用了,0,2020-02-05 00:30
https://weibo.cn//u/7360707265,平平淡淡的小王子,男,浙江,17,36,7,物资，疫情，费用 都应该实时公开，,0,2020-02-01 23:59
https://weibo.cn//u/7378041872,硬梗青年200,男,其他,1,11,1,武汉加油，白衣天使加油，中国加油,0,2020-01-26 19:53
https://weibo.cn//u/6404449943,_念必,女,贵州,30,94,43,回复@馒头妖在金宁:我不是武汉人，但我是中国人！请不要用这种语言杠人,0,2020-01-26 19:48
https://weibo.cn//u/1838075047,心愿繁花,女,湖北,430,232,118,回复@安徒生丢了童话516:知道的我们都懂,0,2020-01-26 18:49
https://weibo.cn//u/1838075047,心愿繁花,女,湖北,430,232,118,回复@安徒生丢了童话516:不要说官方不承认的话，只是给自己找麻烦,0,2020-01-26 18:48
https://weibo.cn//u/1587900892,兜瑶幸福哒,女,河北,427,804,262,做个人吧！,0,2020-01-26 14:26
