评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7308940735,欧阳晴9999,女,其他,59,19,21,第一条虽然不是钟南山院士建议，但是应该对防控疫情有益吧,4,2020-01-28 18:47
https://weibo.cn//u/3686759095,梁上堂前燕-heu,女,湖北,944,1181,500,隔离两周是谣言吗,4,2020-01-28 18:44
https://weibo.cn//u/5612117658,来一杯多肉葡萄奶吖,女,浙江,6716,550,1484,吃香蕉那个我笑到了,2,2020-01-28 18:45
https://weibo.cn//u/6499544769,盛强Bolder,男,其他,127,277,182,回复@梁上堂前燕:隔离两周不是谣言，钟院士说的是谣言。就和那八位医务工作者的谣言类似，那八人说的事儿差不多，但SARS是谣言,0,2020-02-03 23:21
https://weibo.cn//u/1417648144,ge189189189,男,湖北,8731,549,628,     举报             赞[0]         回复             2020-01-29 00:18:37 来自网页,0,2020-01-29 00:18
https://weibo.cn//u/1071133112,乌拉神七,男,吉林,3625,624,311,10年前听过一人说他50多岁的哥哥3岁时得了白喉，去医院后，大夫说治不了了，回家吧！他父母把他哥抱家后和他奶奶说治不好了，他奶奶拿起铜钱就给他哥哥刮痧，他说他哥哥现在活着还是身体挺好的……建议懂中医的参考一下刮痧方法,0,2020-01-28 21:35
https://weibo.cn//u/3686759095,梁上堂前燕-heu,女,湖北,944,1181,500,回复@别吵架团一波:,0,2020-01-28 19:47
https://weibo.cn//u/6887365888,别吵架团一波,女,贵州,116,458,49,回复@梁上堂前燕:喝白酒抗病毒都是你老公编出来骗你的，如果老公这么说就告诉他跪搓衣板那也不去更抗病毒,0,2020-01-28 19:46
https://weibo.cn//u/6901327701,亨努天配,女,湖北,6,160,5,全国人民一同努力，绝对可以打败疫情,0,2020-01-28 19:41
https://weibo.cn//u/6901327701,亨努天配,女,湖北,6,160,5,回复@冰凉夜雨:脑子这种东西很好，你妈妈生你时候咋不给你带一个,0,2020-01-28 19:40
https://weibo.cn//u/3686759095,梁上堂前燕-heu,女,湖北,944,1181,500,回复@贤士瓜:。。。没有问题，谢谢,0,2020-01-28 19:29
https://weibo.cn//u/5025003073,用户1324521,女,福建,0,7,7,回复@梁上堂前燕:有问题咨询线上医院平台，不要看网友评论。,0,2020-01-28 19:27
https://weibo.cn//u/3152325004,悠有我爱,女,北京,564,349,229,在家隔离两周有啥不对吗？,0,2020-01-28 19:26
