评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2663327374,康康的微觀,男,湖北,780,348,115,你们自己发布的信息都打脸了！,2,2020-01-29 12:50
https://weibo.cn//u/7281745591,MichScofiel,男,其他,341,152,25,最高法院已近为你们抓得8人平反，请你立刻道歉,1,2020-01-29 09:17
https://weibo.cn//u/5014124528,暗枪难逃,男,湖北,57,368,81,回复@DAHRPG:还真是黄鹅楼哈哈哈,0,2020-01-30 02:13
https://weibo.cn//u/2663327374,康康的微觀,男,湖北,780,348,115,你们自己发布的信息都打脸了！,2,2020-01-29 12:50
https://weibo.cn//u/5596333608,韧_任性的女子,女,广东,1,9,3,回复@OnlyJuve:全武汉都是你家周围么，你家真大！,0,2020-01-29 12:24
https://weibo.cn//u/1906476875,是神马是浮云,男,上海,0,13,48,回复@Fei95274631:每天更新数据已经够恐怖了 再来点真的要吓死一群人了🙏🙏,0,2020-01-29 10:38
https://weibo.cn//7youufenzhiv,OnlyJuve,男,北京,1645,28,72,回复@韧_任性的女子:小区周围。是小学冇毕业？,0,2020-01-29 09:43
https://weibo.cn//u/7281745591,MichScofiel,男,其他,341,152,25,最高法院已近为你们抓得8人平反，请你立刻道歉,1,2020-01-29 09:17
https://weibo.cn//u/5596333608,韧_任性的女子,女,广东,1,9,3,回复@OnlyJuve:武汉哪个小区每个冬天死几十个人的，敬老院也没你们小区多呀，说话负责任的好吧！,0,2020-01-29 09:03
https://weibo.cn//u/5992084041,喜欢德善的阿泽是最好的阿泽,女,其他,77,595,208,回复@OnlyJuve:新病毒和sars80%相似，12月的时候技术问题,1,2020-01-29 08:59
https://weibo.cn//7youufenzhiv,OnlyJuve,男,北京,1645,28,72,回复@kumomadori:我喜欢这样称呼是因为尤文今年成绩不稳定，教练叫萨里。说明问题不大。,0,2020-01-29 08:31
https://weibo.cn//u/6001356698,kumomadori,女,其他,427,44,8,回复@OnlyJuve:叫sari也是谣言噢。,0,2020-01-29 08:18
https://weibo.cn//u/6721447478,大泽力士,男,其他,126,8,24,唯独不信你,0,2020-01-29 08:03
