评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5772691666,你洗手了吗v,女,湖北,328,60,70,请问不让加油了是不是谣言？,8,2020-01-29 23:43
https://weibo.cn//u/7146760303,嘉福666,男,广东,21,59,324,谁发布这消息的？拘留十天罚他1万块钱。看他以后还敢不敢这样发假的 。,4,2020-01-29 23:46
https://weibo.cn//u/2142391042,杨向荣xi,男,河北,2028,861,568,请问说传染性不强的领导说的是造谣吗,0,2020-01-30 10:12
https://weibo.cn//u/6721447478,大泽力士,男,其他,126,8,24,谣言，辟谣！谣言，辟谣！谣言，辟谣…呵呵呵,0,2020-01-30 09:49
https://weibo.cn//416525000,我爱大米鱼,男,湖北,13808,1741,10557,鬼的姆妈信,0,2020-01-30 09:40
https://weibo.cn//u/1968392764,从此女神经了,女,陕西,1257,282,337,回复@旧鼓楼大街:啊/往回收？怎么收啊！真真的泼出去的水还能收回来？牛逼！,0,2020-01-30 08:37
https://weibo.cn//u/6267741257,德也狂生耳XX,男,河南,294,76,89,什么是谣言，什么又是辟谣。。。,2,2020-01-30 08:03
https://weibo.cn//u/3995688020,亚历山大_进,男,辽宁,12,119,244,抓起来关到疫情结束！,0,2020-01-30 07:37
https://weibo.cn//u/3422490380,肆意的沙鸥,男,湖北,311,150,38,8个人都抓了，这些人不抓吗？,0,2020-01-30 07:18
https://weibo.cn//u/3826148593,旧鼓楼大街,男,北京,7051,1625,776,真真假假，假假真真，武汉蜀黎之前处理八名造谣sars的人，还上了央视新闻，但是昨天又往回收，看来啥事都得过二十天印证一下才知真假,1,2020-01-30 07:15
https://weibo.cn//hkcrex,马桶CC,男,北京,1024,322,562,现在了，还说那8个人当时是谣言，甚至不敢公开他们的'谣言'。不传谣不信谣只信官方的口号真的太讽刺了,6,2020-01-30 02:22
https://weibo.cn//VIP313130382,芜湖好网友,男,安徽,5078,95,623,     举报             赞[0]         回复             2020-01-30 01:45:53 来自网页,0,2020-01-30 01:45
https://weibo.cn//u/1443823784,老白-V,男,甘肃,20508,168,1759,造谣的抓了没有,0,2020-01-30 01:10
https://weibo.cn//u/5772691666,你洗手了吗v,女,湖北,328,60,70,回复@武汉发布:噢第三条，我看漏了,0,2020-01-30 00:47
https://weibo.cn//u/2641375183,eagles2208,男,湖北,2,265,66,这每天都在干啥啊？一会儿假，一会儿辟谣的。,1,2020-01-30 00:26
https://weibo.cn//u/2552750464,爱是永恒9556,男,湖北,385,822,390,造谣都造成这样了，还不抓？,0,2020-01-30 00:21
https://weibo.cn//u/2759348142,武汉发布,男,湖北,139316,496,3791106,回复@神乐的扇子:谣言,0,2020-01-30 00:21
https://weibo.cn//u/3677807071,原来fantasy,女,海外,689,135,114,第一条就很假，城区禁止所有行人通行，那买菜咋整？全城警察上街抓行人吗？政府部门哪会发这么没脑子的通知！还有全部红灯，又让指定车走，十字路口碰碰车吗？造假者连最基本的交规常识都没有了！,0,2020-01-30 00:16
https://weibo.cn//u/6823492857,成长风格8,男,湖北,964,93,776,抓造谣者判刑吧,0,2020-01-30 00:07
https://weibo.cn//u/7378814484,财财爱元宝,男,湖北,0,16,1,差点相信了,0,2020-01-30 00:04
https://weibo.cn//u/6002082566,svip66616,男,广东,24,577,330, 为什么蕲春站的查到了车次点开经过的站点却没有蕲春站了，而且全部没有，明明平时经长坐的车次现在都没有了，却能查到车次,0,2020-01-29 23:54
https://weibo.cn//u/5996048752,灏永相随,女,湖北,32,48,6,官方信息是啥？没接到电话或短信通知是不是可以上路？,1,2020-01-29 23:53
https://weibo.cn//u/2041343405,余蛙叔,男,湖北,1947,702,662,行人不通行，指望不上社区的。菜都不能买，那完了,0,2020-01-29 23:47
https://weibo.cn//u/7146760303,嘉福666,男,广东,21,59,324,谁发布这消息的？拘留十天罚他1万块钱。看他以后还敢不敢这样发假的 。,4,2020-01-29 23:46
https://weibo.cn//u/5163603099,雪糕613,女,湖北,243,284,121,今天看到微信群这个消息，人都懵了,0,2020-01-29 23:43
https://weibo.cn//u/5772691666,你洗手了吗v,女,湖北,328,60,70,请问不让加油了是不是谣言？,8,2020-01-29 23:43
https://weibo.cn//u/6138291342,青枫r,男,河南,5,52,8,不传谣不造谣，武汉加油，中国加油,1,2020-01-29 23:43
