评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6605378708,宇神06125,男,其他,43,60,15,谁能喝六十度的水，太假了,8,2020-01-30 08:02
https://weibo.cn//u/1645577694,李子非渔,男,河北,2346,111,549,这些谣言我还真没看到,4,2020-01-30 08:00
https://weibo.cn//u/1984639355,犯得上吗2011,男,山西,2,32,208,疫情初期说疫情可防可控，没有出现人传人现象的这些谣言制造者是不是该立即抓起来,0,2020-01-30 11:21
https://weibo.cn//u/5836593127,kiky_十七,女,其他,1510,595,222,不如先查查红十字几个亿怎么变成二十万,1,2020-01-30 10:42
https://weibo.cn//u/2173191911,哨玮,男,其他,10829,1057,1366,请为造谣的8位平反！,1,2020-01-30 10:08
https://weibo.cn//u/7354742117,老透明阿姨,男,其他,374,89,18,我看过2019年有人说出现了新型sars，2020年1月1日8个造谣者被抓，医生被吊销执照的谣言,1,2020-01-30 09:39
https://weibo.cn//stylelovebeauty,美少女李欣潼的小姨,女,河南,1730,296,296,你要不说，我还真没看到过这些无聊得谣言,0,2020-01-30 09:38
https://weibo.cn//u/6622516093,今天就要向你告白,女,海外,784,320,86,五十六度热水洗澡真的是…病毒还没死呢自己先被烫废了,2,2020-01-30 09:17
https://weibo.cn//wxhsz,KoukaOu,男,江苏,27,96,519,东北虎华南虎都是老虎，不能说因为把东北虎说成了华南虎，就说哎呀这不是老虎🐯。,2,2020-01-30 08:34
https://weibo.cn//u/2271501245,DianaZC,男,海外,43998,742,287,辟谣,0,2020-01-30 08:33
https://weibo.cn//u/6448086002,武汉通行,女,湖北,2467,244,29670,     举报             赞[0]         回复             2020-01-30 08:16:48 来自网页,0,2020-01-30 08:16
https://weibo.cn//u/3898255512,张开昊44,男,江苏,4045,158,959,没有看到过……     举报             赞[1]         回复             2020-01-30 08:06:10 来自网页,1,2020-01-30 08:06
https://weibo.cn//u/6229813132,我是毕庄,男,其他,102,47,60,微信谣传热水洗澡。。。,0,2020-01-30 08:02
https://weibo.cn//u/6605378708,宇神06125,男,其他,43,60,15,谁能喝六十度的水，太假了,8,2020-01-30 08:02
https://weibo.cn//u/1645577694,李子非渔,男,河北,2346,111,549,这些谣言我还真没看到,4,2020-01-30 08:00
https://weibo.cn//u/1961292691,大城xiaoshi,男,其他,1802,1045,778,回复@到底啥名字可以用呢:被闭嘴了,1,2020-01-30 08:00
https://weibo.cn//u/1961292691,大城xiaoshi,男,其他,1802,1045,778,回复@做糖醋鱼的精致男子:解不了问题，就解决提出问题的人,0,2020-01-30 08:00
https://weibo.cn//u/2680920931,哈喽李命好,男,吉林,312,332,186,李文亮解释下？你们真的是厉害。12月 30号这个医生就说出现类似sars。你们说他造谣。吊销医生执照。现在被传染住在ICU。武汉的官场到底多黑暗。。。。,6,2020-01-30 07:59
https://weibo.cn//u/6054762880,旧了南城,男,湖北,477,708,11765,大家每天第一件事都是看最新疫情速报，感染人数持续上涨，原本的春节大团圆带来的是更大的威胁挑战，返程将会将疫情推至最高点。我们现在不要太恐慌，而是坚决行动起来，调动起全社会每一个人的责任感，在疫情面前真正做到众志成城，万众一心，攻克难关！武汉能，中国能！,0,2020-01-30 07:56
https://weibo.cn//u/2375479695,醉麂,女,其他,1347,94,62,前天呼吁群里人不要相信热水澡杀病毒，被人说抬杠,0,2020-01-30 07:55
https://weibo.cn//u/5878614520,做糖醋鱼的精致男子,男,山东,41,730,191,谣言是真多，不知道这些人散布谣言有什么目的,2,2020-01-30 07:55
https://weibo.cn//u/6853262849,全世界最好的翟圆,男,其他,134,97,47,武汉加油,0,2020-01-30 07:51
