评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5844130058,a股是怂包,男,广东,75,5,456,现在是谣言满天飞，得加大打击力度呀,2,2020-01-30 19:29
https://weibo.cn//flyflyzhang,张_远强,男,上海,1111,1393,378,谣言两个字你们说的分外讽刺,33,2020-01-30 19:51
https://weibo.cn//u/6058409674,宁愿失去记忆20,男,广东,295,106,69,政府公信力下降才有人质疑，更别提红十字会的口碑,29,2020-01-30 19:22
https://weibo.cn//u/7373899699,早鬼人,女,重庆,16,29,2,这要是假的先把你逮起来,0,2020-02-07 17:55
https://weibo.cn//u/5174669066,小呀么小二郎-呀,女,云南,1323,394,44,互联网没有记忆对吧,0,2020-02-07 13:54
https://weibo.cn//hiker2004,胡子柏,男,广东,11,82,35,你的脸上写满了：我不要脸,0,2020-02-02 00:26
https://weibo.cn//u/1838664357,只想当个好观众,女,湖北,1035,214,278,求分发物资的直播！,0,2020-01-31 05:20
https://weibo.cn//u/6439958277,肖_Amily_小瑶君,女,其他,186,48,52,回复@hhist:审题兄弟，虽然我也不喜欢红会。这里说的事按照指挥部的指挥分发,0,2020-01-30 23:52
https://weibo.cn//pastline,与过去的分割线,男,上海,677,1129,258,视频怎么解释啊，现在红十字会别着急辟谣了，赶紧把物资款项送去一线吧(事后麻烦公布一下使用明细，毕竟捐款的人知道一下自己的爱心款去哪了也是应该的)，心疼那些医护工作人员。,0,2020-01-30 23:32
https://weibo.cn//u/6988733763,sunflower2020year,女,其他,60,22,5,收到的物资怎么处理的？,0,2020-01-30 22:23
https://weibo.cn//u/2539751890,Yoyo20050715,女,其他,4395,156,133,红十会有物资么？有就尽快发给医院，别积压！！领导不愿干这种累活就招呼一声，志愿者老百姓们愿意干！别让支援的物资变成废品。,0,2020-01-30 22:12
https://weibo.cn//u/1415370784,品茗流光,女,福建,7033,1310,447,有网友拍出的照片，时间有2020年1月30日，这是假的吗？,1,2020-01-30 22:12
https://weibo.cn//u/6587797450,最美的忘羡1994,女,其他,98,131,4,谣言都比你红十字会可靠，红十字你就不要刷存在感了，哪凉快哪呆着去,0,2020-01-30 21:56
https://weibo.cn//u/2348466770,抵冷全靠意志力,女,辽宁,3546,365,111,红会能干的出来,0,2020-01-30 21:37
https://weibo.cn//u/2508353490,个斑马板板,男,湖北,293,118,239,回复@端木欣鸿:钱可以收孳息,0,2020-01-30 21:37
https://weibo.cn//u/2508353490,个斑马板板,男,湖北,293,118,239,赶紧把收的物资配到各个医院吧，协和医院没有防护物资了。红会收了东西，放了东西连个透明的发布清单都没有，物资配到哪里去了。,1,2020-01-30 21:36
https://weibo.cn//zouzou120,zouzou120,女,湖北,4362,416,843,所以捐赠的医用物资到底都去哪了,2,2020-01-30 21:30
https://weibo.cn//ftomohiro,tomohiro_盼晴天,女,河北,3470,793,405,你们红十字会怎么分发物资的，麻烦开直播，或者公开已发放情况，库存情况，接受人民群众监督。看看是不是高效协同，达到战时供给能力。不行就找顺丰东京阿里！,4,2020-01-30 20:51
https://weibo.cn//u/6938722752,随风逐流74839,男,其他,68,350,15,回复@铁路网:支持铁老大的问题,0,2020-01-30 20:49
https://weibo.cn//lawyerlancy,王岚lancy,女,上海,21831,705,8055,视频出来了,4,2020-01-30 20:46
https://weibo.cn//u/5132365910,可可糖果神探,女,湖北,2134,156,65,为什么医院缺防护物资红十字会不知道，难道还要去他那申请才能用？你让我们这些捐钱捐物的网友心里怎么想？,2,2020-01-30 20:18
https://weibo.cn//u/6250301269,S水u少n草,女,其他,11,397,29,武红自己就是个谣吧,0,2020-01-30 20:05
