评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5792019858,neve11er,男,陕西,68,239,23,那就请红十字会公布目前募捐情况和去向,142,2020-01-26 23:16
https://weibo.cn//u/2658165130,矩阵立方,男,湖北,0,10,49,微博辟谣君已经累死,49,2020-01-26 23:24
https://weibo.cn//u/1910946003,WH汉先森,男,其他,2027,138,597,现在这种连钟南山院士被感染的谣都敢造，还有什么谣不敢造的,30,2020-01-26 23:14
https://weibo.cn//u/6118419410,飞飞成都,男,其他,32,135,47,回复@武汉发布:请公布募集资金的去向！所有捐款人都关注的问题为何避而不谈？,0,2020-02-07 14:43
https://weibo.cn//u/1021361122,原味生活10,女,四川,2857,102,490,大家稍安勿躁，疫情关键期勿被带节奏，非常时期做事的人也是很辛苦的，但是希望官方任用有能力的人，而不是让没能力的人越搞越乱，辛苦不代表有效率现在是需要高效，透明的时候，不然很容易让大家情绪失控，也请大家多一些体谅宽容！谢谢每一位为这场疫情战全情付出的人。,0,2020-01-30 14:21
https://weibo.cn//u/2001693417,洛茜茜,女,黑龙江,232,374,91,哦,0,2020-01-27 09:47
https://weibo.cn//u/2603797953,逍遥客200,男,其他,55,207,66,红十字会己被永远钉在历史的耻辱柱上！,0,2020-01-27 09:37
https://weibo.cn//u/6262290290,米多她爹爹,男,其他,3,5,99,就不能直接给医院🏥？非要给他们？,0,2020-01-27 09:25
https://weibo.cn//u/6764727222,出世流氓,女,其他,2,9,1,回复@吃饭睡觉吸猫挣小钱钱:哈哈哈哈，那很秀啊,0,2020-01-27 09:14
https://weibo.cn//u/6297880412,摩羯座来去匆匆,男,浙江,6,152,29,造谣者入刑，这祥就造谣成本大了，就不瞎吹了,0,2020-01-27 09:12
https://weibo.cn//u/2686590275,Doris海姑娘,女,北京,1611,1646,1056,回复@武汉发布:只有接受情况 没有去向公布,2,2020-01-27 08:56
https://weibo.cn//gaopeiyan,某时某刻喝高了,男,江苏,590,436,151,不好意思，因为红十字会此前影响太过恶劣，无论真假一律自动略过,0,2020-01-27 08:52
https://weibo.cn//u/2539846313,青紫葡萄123,女,辽宁,356,110,92,对这种谣言制造者请及时处理,0,2020-01-27 08:11
https://weibo.cn//u/2687587747,nata12,男,北京,5701,2999,202,所有谣言应该报警处理，散布谣言制造恐慌和混乱的人必须付出代价,0,2020-01-27 07:40
https://weibo.cn//u/1826575650,花钱买花哗啦啦,女,广东,6602,307,732,口罩为什么到不了？,0,2020-01-27 07:22
https://weibo.cn//u/5708477932,小清新小乖,女,湖南,28,76,5,谣言最可怕,0,2020-01-27 07:08
https://weibo.cn//n1sa,狂風絕兮斬,男,浙江,13417,4951,221,回复@Minos:明显不能,0,2020-01-27 05:24
https://weibo.cn//u/2575062930,nerazzurri爱的就是你,男,湖北,332,344,222,我也觉得大致是谣言，但是为了清白，拿出证据比较好咯,0,2020-01-27 03:53
https://weibo.cn//u/1940010995,看到世界的光,男,河北,2352,363,950,请问怎么捐款？？,0,2020-01-27 03:18
https://weibo.cn//aiweimolan,永喑,女,福建,22441,795,1006,鉴于红会的问题事件太多，帐目还是请列得详细一点。,6,2020-01-27 03:03
https://weibo.cn//u/3636364711,动物生存权利捍卫者,男,北京,10356,2505,20809,给一个口碑极差的单位分配物资和善款.这是有多冒险，恐怖程度不亚于病毒,2,2020-01-27 02:57
https://weibo.cn//u/2716453764,爷霸气一笑,女,湖北,2240,459,107,重点：要经过武汉市卫建委发放,0,2020-01-27 02:52
https://weibo.cn//u/1682702513,会飞勒猪,男,四川,46,158,48,武汉地方发布的和红十字会，我一个都不会信了，之前在干嘛，之后报道的这些还有啥信服力吗,4,2020-01-27 02:51
https://weibo.cn//u/2716453764,爷霸气一笑,女,湖北,2240,459,107,回复@不想一鸣惊人:而且还是武汉等疫区，所有严重疫区加起来才这么多…不只是拨到武汉的,0,2020-01-27 02:51
https://weibo.cn//u/2533909424,想断糖的甜食爱好者,女,广东,116,151,79,那为啥武汉的院领导等视察时是戴n95穿防护服的，而医生只戴普通口罩穿白大褂呢？,9,2020-01-27 02:24
https://weibo.cn//u/6764727222,出世流氓,女,其他,2,9,1,回复@吃饭睡觉吸猫挣小钱钱:别爆炸了，污染空气。发国难财的全家隔离起来生吃蝙蝠好了。,0,2020-01-27 02:09
https://weibo.cn//jesuisaqi,燕七七七七七七七,女,海外,3374,522,320, 我当时看武汉慈善总会也是由武汉市新冠肺炎防控指挥部直接调用的。给你辟个谣。虽然我也不信红十字，但是这次是被接管了。,1,2020-01-27 02:05
https://weibo.cn//u/1874935215,幻影金陵,男,江苏,506,325,66,回复@饱饱喵喵: 首先上海到武汉，怎么就要过海关了？,0,2020-01-27 01:39
https://weibo.cn//u/5080465555,饱饱喵喵,女,海外,38,363,193,可以用证据说明这是谣言吗,1,2020-01-27 01:20
https://weibo.cn//u/1472576560,皮皮小培,女,北京,2313,245,234,我呸这些造谣的！刚听同事说起还在脸红。。,0,2020-01-27 01:14
https://weibo.cn//alidol,Alidol,男,海外,20603,277,7720,回复@Minos:没收到短信就可以走，哪怕中途收到也可以走，交警是提前24小时发,3,2020-01-27 00:47
