评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1683119784,巴神眼泪,男,北京,850,319,186,那你们把这个人抓起来吧,88,2020-02-04 18:03
https://weibo.cn//u/5363391003,大不哒不哒,女,其他,25,151,95,你们越说是谣言，就越觉得是真的，你们还有公信力吗？还好意思辟谣？！,66,2020-02-04 18:07
https://weibo.cn//u/1610299325,T_K_,男,湖北,343,275,183,关键时期，抓，现在谁造谣抓谁，妈的现在还有精力要去辟谣,23,2020-02-04 18:09
https://weibo.cn//u/6258757476,奶茶是不是让人快乐,男,湖北,639,225,122,回复@周庄欲梦:你来解释一下地方经济生产能力哈哈，不要跑题,0,2020-02-06 16:46
https://weibo.cn//u/5991256297,鬫臡災,女,海外,328,5,105,回复@爱猫猫的图图:我让你好好读书你不干，多看看地方经济生产能力你不了解，买买买动嘴能力强,1,2020-02-06 16:39
https://weibo.cn//u/6258757476,奶茶是不是让人快乐,男,湖北,639,225,122,回复@周庄欲梦:忽悠谁了，自己多看新闻，劝你长点脑子没错的,0,2020-02-06 16:16
https://weibo.cn//u/5991256297,鬫臡災,女,海外,328,5,105,回复@爱猫猫的图图:你自己都不信还忽悠别人，真是low爆,1,2020-02-06 16:12
https://weibo.cn//u/6258757476,奶茶是不是让人快乐,男,湖北,639,225,122,回复@周庄欲梦:杆精，你还会干点啥，死蠢,0,2020-02-06 16:10
https://weibo.cn//u/5862987128,唐都之夏,男,湖北,883,220,146,今天（2月5日）又看到公布说是“错时消杀是真”。干嘛不早通报“真”呢？为什么等谣言四起再弄个“真”出来？我疑惑这个“真”或者这个“谣言”是怎么出来的。,0,2020-02-05 14:37
https://weibo.cn//u/1703826604,假装在嘉鱼,男,湖北,102,130,102,武汉的我有点希望是真的。。。因为政府嗯。。。,0,2020-02-05 08:00
https://weibo.cn//u/6333371764,艺术与亿数,男,湖北,46,322,216,希望狼来了的故事，不要在有了……谢谢！我是武汉的，块挺不住了。,1,2020-02-05 03:26
https://weibo.cn//u/7116317440,十三桥_明月夜,男,其他,256,92,149,回复@看博专用:这样只会最后饿死比病死多。,2,2020-02-04 23:17
https://weibo.cn//u/5991256297,鬫臡災,女,海外,328,5,105,回复@爱猫猫的图图:那你买个几吨放家里就不怕了,2,2020-02-04 22:28
https://weibo.cn//u/5991256297,鬫臡災,女,海外,328,5,105,回复@大不哒不哒:有道理，你快去买个几吨啊！我这是为你好，不要怕菜放的坏不坏，还能减少出门感染风险,4,2020-02-04 22:24
https://weibo.cn//u/1916799131,忙也不茫,女,河北,1313,512,108,我想说我们这边已经是这样了好吗，从2月1号开始，大小商店都不许开门了，已经封了好几家店铺了,0,2020-02-04 21:34
https://weibo.cn//u/6229041864,咖啡幻影A,男,西藏,62,9,725,回复@看博专用:超市关了武汉真成空城了，以前还能喝西北风抵一阵饿，现在西北风也不安全,0,2020-02-04 21:33
https://weibo.cn//u/6229041864,咖啡幻影A,男,西藏,62,9,725,请问，造谣者抓了吗？,0,2020-02-04 21:30
https://weibo.cn//u/2741922025,旭日高升-刘,男,其他,654,191,562,网警出动吧！,0,2020-02-04 21:03
https://weibo.cn//u/6406248821,Joannnanana,女,其他,5,69,5,我今天真的听到超市里大妈说这个。。坐标江苏。。反正意思是供货那边要封锁就是没货了 超市已经少很多东西了现在。反正这些话呢见仁见智吧。毕竟现在造成这么多死亡也是当初的“谣言”,0,2020-02-04 20:07
https://weibo.cn//u/1943537130,YUY小简Jane,女,湖北,574,168,10,超市要限制人流量，要不然也是聚集的地方，我们这中百里都有感染的了，如果做不到限流，我觉得还不如关了,0,2020-02-04 20:07
https://weibo.cn//u/6258757476,奶茶是不是让人快乐,男,湖北,639,225,122,我怎么感觉谣言后来都成真了,2,2020-02-04 19:39
https://weibo.cn//uc80456894,海纳百川RHJ,男,辽宁,20344,2996,39104,别老说谣言，大家也不想信谣言，而最初爆出疫情的被武汉当做谣言，结果…………，给个说法吧,6,2020-02-04 19:39
https://weibo.cn//u/6876294319,就是比你胖201812,女,北京,68,33,3,为什么不追查谣言的出处！！！必须严厉打击！！！,0,2020-02-04 19:36
https://weibo.cn//u/6120988567,O不是我,女,其他,96,103,56,最开始8个医生说疫情人传人是招摇被抓了 然后说武汉要封城是造谣 封了 再然后说要封区是造谣 机动车禁行了 这次我倒真想看看是谁打脸,1,2020-02-04 19:32
https://weibo.cn//u/2161979775,无妨淡泊吧,女,山东,80,163,35,回复@此用户无昵称999:何止是秩序，简直就是摸清了老百姓心理，让自己乱阵脚，又一次盲目去排队，健康的又会多被感染的,0,2020-02-04 19:22
https://weibo.cn//u/6154807946,罗妈妈麻麻,男,其他,18,29,21,我永远都是这个观点，宁可信其有，不可信其无，顶我上去,4,2020-02-04 19:21
https://weibo.cn//u/2161979775,无妨淡泊吧,女,山东,80,163,35,回复@甜甜幸福猫:就是为了让大家都跑出去排队,0,2020-02-04 19:19
https://weibo.cn//u/5363391003,大不哒不哒,女,其他,25,151,95,回复@隔壁小呆:现在居然还有人帮武汉媒体说话，我就真的尬黑了，为了黑而黑不行？,0,2020-02-04 19:19
https://weibo.cn//u/6587438519,丁敬懿6587438519,女,上海,191,33,1,为什么老是造谣？闲的吗？可恶！,0,2020-02-04 19:16
https://weibo.cn//u/3278369854,隔壁小呆,女,其他,676,256,201,回复@大不哒不哒:你说你尬黑夜起码弄个像样一点的号来黑吧，就不能敬业一点，弄的真一点？,4,2020-02-04 19:14
https://weibo.cn//u/5537190561,Lisa_Sasuke,女,其他,1059,387,174,如果是谣言， 赶紧抓造谣者啊！很多人都信了，准备出门哄抢了，这不是会造成很多感染机会吗？,3,2020-02-04 19:12
https://weibo.cn//u/2648030085,硚口发布,男,湖北,36109,248,100689,转发微博,0,2020-02-04 19:12
https://weibo.cn//u/5847542327,丶柠檬自然萌i,男,福建,130,145,104,市政府内部消息啊，叼了叼了，这家人真tm的叼，市政府内部有人,0,2020-02-04 19:05
https://weibo.cn//ukan,啊什么昵称都被占用了啊,女,其他,1124,185,814,抓起来呗，你这都不抓，搞得一堆爹爹婆婆去超市扎堆抢东西。,0,2020-02-04 19:02
https://weibo.cn//szjyl,深圳无爱的围脖,女,广东,33449,391,2433,有些人太闲了吗？天天在家里坐着编谣！,0,2020-02-04 19:00
https://weibo.cn//u/2419642085,宗宗小伙伴,男,江苏,38,179,88,这些造谣者应该拉出去枪毙,0,2020-02-04 19:00
https://weibo.cn//u/1692676487,帅帅的小盒子,男,新疆,5040,1192,3598,这种信息不叫谣言了吧，有一点知识的人都知道解放军是对外作战的，如果外国军队进攻武汉，解放军才会临时接管吧！,1,2020-02-04 18:59
https://weibo.cn//u/1885887390,海之莎,女,湖北,1184,144,154,超市是冒着生命危险在开门，我们大家应该感谢这些关键时候还在上班的人。,0,2020-02-04 18:53
https://weibo.cn//u/5120255960,晓玫伊,女,其他,85,11,139,回复@转瞬之念:你TM在海外，闭嘴🤐 滚😡,0,2020-02-04 18:52
https://weibo.cn//u/2219650150,懒癌晚期的大个子,男,其他,9981,163,4,刚刚的消息你妈没了,1,2020-02-04 18:50
https://weibo.cn//u/1671974152,楚君悦城2020,男,湖北,882,213,203,@影云风,0,2020-02-04 18:50
https://weibo.cn//u/5263472899,卡诺Kanon丶,男,湖北,184,437,161,回复@bright光与爱:建议你也快点去买,5,2020-02-04 18:40
https://weibo.cn//u/2244820900,安妮4566a,女,广东,1812,297,142,小区群里传了半天了，还好及时辟谣,2,2020-02-04 18:40
https://weibo.cn//u/6982758604,宇文成都第一吹,男,其他,530,750,487,造谣一时爽 全家明天火葬场 必须抓起来啊 我刚在微信群也收到了别人转发的这个 但是我一看就是假的,2,2020-02-04 18:38
https://weibo.cn//lma0,小啊霏丶,男,湖北,17,40,133,如果第四天坚持不住了，是不是就要关门了？,0,2020-02-04 18:36
https://weibo.cn//u/6968480691,北孟唐,男,其他,26,117,17,回复@大不哒不哒:那你就当真的好了赶紧去买吧,18,2020-02-04 18:36
https://weibo.cn//u/3847734144,阿哩大大,男,湖北,444,217,28,回复@看博专用:你这种思想人或者干嘛，饿死算了。,13,2020-02-04 18:34
https://weibo.cn//u/2746670595,Ethereal_st,女,湖北,1397,154,95,不开超市全武汉人吃什么?不病死在家饿死?,24,2020-02-04 18:33
https://weibo.cn//u/2373199621,樱木花道0504,男,湖北,231,655,215,害得我早上冒着生命危险去中百屯了菜,1,2020-02-04 18:33
https://weibo.cn//u/5120255960,晓玫伊,女,其他,85,11,139,这时还是要相信中央，必须打赢这场疫情。否则老百姓会更惨。公知们可以出国避难，咱老百姓只得期盼国家别乱。,2,2020-02-04 18:33
https://weibo.cn//u/2629489841,朱佩琪呀,女,湖北,82,163,305,这种时期造谣的真是尼玛吃饱了撑着了！都抓起来！！ 一天天嫌的抽筋造谣就靠一张嘴！！！！,10,2020-02-04 18:30
https://weibo.cn//u/6575434633,美狗爸爸,男,其他,57,92,12,造谣没有成本吗？你们的职责就是辟谣？没别的事可做了吧？,1,2020-02-04 18:29
https://weibo.cn//xiaohaunihuge,ihg青梅煮酒,女,海外,19338,529,461,造谣的都抓起来,1,2020-02-04 18:28
https://weibo.cn//u/5120255960,晓玫伊,女,其他,85,11,139,回复@作死的小蛋蛋:还没抓起来，看到公知们已经疯了…,1,2020-02-04 18:28
https://weibo.cn//TLIKelly,Kelland三文鱼,女,湖北,2711,215,356,辟谣了就好,3,2020-02-04 18:23
https://weibo.cn//577009298,_黃凉菜,男,湖北,350,424,2712,天天冒得事做在这里传谣言,1,2020-02-04 18:23
https://weibo.cn//u/6339368744,bright光与爱,女,山东,303,89,8,回复@阿鹏的新ID:你把自己当根葱？你代表不了人民!不过话说武汉政府不仅透支了自己的公信力，还成为敌对势力舆论的粑子!疫情过后请中央严肃处理!,14,2020-02-04 18:22
https://weibo.cn//cooq,甜甜幸福猫,女,湖北,24915,973,5021,造谣的其心可诛  老年人本来就喜欢聚众买菜    又是易感人群   又相信老伙伴在群里转发的东西 一煽动都跑出去了  极其容易交叉感染,18,2020-02-04 18:22
https://weibo.cn//535416012,1218流浪的射手,男,广东,2047,673,596,造谣的人要抓起来鞭刑,3,2020-02-04 18:16
https://weibo.cn//jingyuxiao,包菜不吃菜,女,四川,552,212,225, ,1,2020-02-04 18:14
https://weibo.cn//529887898,江汉人方圆,男,湖北,66640,4045,187258,     举报             赞[0]         回复             2020-02-04 18:13:25 来自网页,0,2020-02-04 18:13
https://weibo.cn//u/6558493907,那秋天的海,男,北京,491,187,96,好,0,2020-02-04 18:13
https://weibo.cn//u/1610299325,T_K_,男,湖北,343,275,183,关键时期，抓，现在谁造谣抓谁，妈的现在还有精力要去辟谣,23,2020-02-04 18:09
https://weibo.cn//u/1733568363,看博专用,女,湖北,63,159,39,我真心觉得商超早该关了，不看看那些超市排队结账的情景，那不叫聚集么？,18,2020-02-04 18:08
https://weibo.cn//u/6401297697,烂木头_Bernese,男,湖北,3658,109,304,我们群里也在传这个谣言，让我们赶紧去超市扫货买肉…,0,2020-02-04 18:07
https://weibo.cn//u/5363391003,大不哒不哒,女,其他,25,151,95,你们越说是谣言，就越觉得是真的，你们还有公信力吗？还好意思辟谣？！,66,2020-02-04 18:07
https://weibo.cn//u/3103453427,爱恰椰子的小罗,女,湖北,257,372,303,辟谣也不知真假,5,2020-02-04 18:06
https://weibo.cn//u/5657798775,地铁·老人·看手机,女,海外,2924,1489,851,看着就假，明明部队都开始接管过来运输物资了,8,2020-02-04 18:05
https://weibo.cn//u/1683119784,巴神眼泪,男,北京,850,319,186,那你们把这个人抓起来吧,88,2020-02-04 18:03
https://weibo.cn//lixusirius,李旭-Sirius,男,北京,4021,248,1006,这个号可以被封了！,5,2020-02-04 18:03
