评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//378810678,有些爱只能掩于岁月520,男,甘肃,468,344,548,朋友圈里在疯传《没有信仰，大难来临就只剩裸奔》。其实我想说，在信仰基督教的欧洲，中世纪因黑死病死了1/3的人口。在信仰伊斯兰教的中东，2015年爆发MERS，病死率在37.8% 。病毒并不会因为你信仰什么爆发，也不会因为你不信仰什么爆发。在这特殊时期推销宗教，诋毁中国人的神棍，都应该受世人鄙视。,26,2020-02-04 21:07
https://weibo.cn//u/6384923495,武汉市第一医院,男,湖北,2402,258,37622,请大家不信谣，不传谣！医患携手共渡难关。[加油],10,2020-02-04 22:55
https://weibo.cn//u/7291220583,爱你妤琪妹,男,其他,18,588,28,现在这个时候还在造谣生事，都是些什么人啊？最怕的就是这些别有用心之人搞破坏,0,2020-02-07 03:33
https://weibo.cn//leepeilin,李君的世界,男,北京,239669,3784,110845,【武汉市一医院急诊科医护集体放假？医院紧急声明：假的！】转发辟谣贴 。,0,2020-02-05 16:12
https://weibo.cn//u/5878407589,飞蛾200610,男,北京,3,89,65,这么高强度的工作压力下，医生护士不该休息下？我认为应该轮换一下！他们也是人，不是神。,0,2020-02-05 14:10
https://weibo.cn//u/5933692502,白桦林201010,女,黑龙江,937,62,39,追究一下谣言谁发出的！啥时候了还添乱,1,2020-02-05 07:36
https://weibo.cn//u/5388238577,piaoyinghao,男,吉林,4,67,1,加油武汉 !加油中国 !,0,2020-02-05 05:53
https://weibo.cn//u/2021587417,自由的Mr牵,男,湖北,2068,1338,705,回复@有些爱只能掩于岁月520:什么妖魔鬼怪都出来了！,0,2020-02-05 01:47
https://weibo.cn//u/2405789741,包包大人有点忙02,女,湖北,3354,198,163,真这样就好了，一线医务人员太疲劳了！,0,2020-02-04 23:38
https://weibo.cn//u/2325483870,小天奕,女,河南,484,324,130,回复@武汉市第一医院:加油，辛苦了,0,2020-02-04 23:05
https://weibo.cn//u/6384923495,武汉市第一医院,男,湖北,2402,258,37622,请大家不信谣，不传谣！医患携手共渡难关。[加油],10,2020-02-04 22:55
https://weibo.cn//u/5872053661,桂林三好学生,男,四川,64,113,21,放假也该放 但肯定不是集体,1,2020-02-04 22:51
https://weibo.cn//u/7031350699,武汉微博健康,男,湖北,6021,1212,10649,应该把造谣的那些人拉到火神山当义工,2,2020-02-04 22:27
https://weibo.cn//u/7194028624,Vitamin阳光,男,广东,277,174,1795,抓造谣者,0,2020-02-04 22:15
https://weibo.cn//jiaoxuebo4834,527小丸子,女,广东,1816,538,429,辟谣跑断腿系列,0,2020-02-04 21:54
https://weibo.cn//u/2638138610,观棋偶有语,男,其他,24750,119,641,加大力度，查处谣言源头，目前条件下可采取信息化手段予以惩处，如曝光、失信、冻结关联银行帐户等。,0,2020-02-04 21:41
https://weibo.cn//u/1919190674,不笑不以为道,男,青海,413,156,561,查谣言的源头很难吗？抓住重判,7,2020-02-04 21:31
https://weibo.cn//blueleafxp,吃猫叔叔,男,上海,4643,393,2252,回复@有些爱只能掩于岁月520:直接举报就好了,0,2020-02-04 21:17
https://weibo.cn//u/6430718346,大自然狂野的风,男,辽宁,58,250,8,谣传害人，那么我们怎么在微博上分清楚啊，能告诉我吗,0,2020-02-04 21:14
https://weibo.cn//u/2310149174,相互敬重,男,江西,14044,3692,992,严惩造谣惑众者,1,2020-02-04 21:12
https://weibo.cn//huzhechang,Cancer_HZC,男,湖北,2612,146,176,回复@有些爱只能掩于岁月520:微信举报即可,1,2020-02-04 21:11
https://weibo.cn//u/6969069161,会飞的企鹅博士,男,北京,573,99,330,回复@有些爱只能掩于岁月520:这特么哪儿跟哪儿呀,2,2020-02-04 21:10
https://weibo.cn//u/6254611297,p下雨天yu,女,黑龙江,9,5,3,那些散布谣言的，脑子用什么材料做的？屎吗,3,2020-02-04 21:09
https://weibo.cn//378810678,有些爱只能掩于岁月520,男,甘肃,468,344,548,朋友圈里在疯传《没有信仰，大难来临就只剩裸奔》。其实我想说，在信仰基督教的欧洲，中世纪因黑死病死了1/3的人口。在信仰伊斯兰教的中东，2015年爆发MERS，病死率在37.8% 。病毒并不会因为你信仰什么爆发，也不会因为你不信仰什么爆发。在这特殊时期推销宗教，诋毁中国人的神棍，都应该受世人鄙视。,26,2020-02-04 21:07
