评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5447478217,Julie_ZhuY,女,湖北,6000,74,82,感谢山东人民，山东这不是在支援，而是在给湖北送家。等疫情结束，我一定会去山东看看,149,2020-02-05 17:53
https://weibo.cn//u/1965311737,老男孩Chris,男,北京,32,116,417,加油武汉，山东挺你！,51,2020-02-05 17:50
https://weibo.cn//u/3909614779,山月照琴弦,女,海外,638,149,139,菜农也要有收入啊！用捐赠款买吧,45,2020-02-05 18:00
https://weibo.cn//u/6475241154,爱榴莲的芒果果,女,北京,47,91,7,回复@Julie_ZhuY:我一直以为没有拨过，原来是拨了，不知道拨哪了,0,2020-02-23 15:24
https://weibo.cn//u/6475241154,爱榴莲的芒果果,女,北京,47,91,7,回复@Julie_ZhuY:@摩羯座安静的小男生：求了解，捐赠蔬菜被拉到批发市场，被管理人员私吞，我们这么久一根葱都没收到，有视频,0,2020-02-23 13:53
https://weibo.cn//u/6475241154,爱榴莲的芒果果,女,北京,47,91,7,回复@老男孩Chris:求了解，捐赠蔬菜被拉到批发市场，被管理人员私吞，我们这么久一根葱都没收到,0,2020-02-23 13:53
https://weibo.cn//u/2401765935,城阳市民,男,山东,7054,402,951,就算卖掉，也希望把钱用在武汉的老百姓身上。,0,2020-02-08 16:15
https://weibo.cn//u/3759558397,你好我是颜DQ啊,女,其他,178,210,88,回复@真正的大透明_:但是上次是真的运过去了,0,2020-02-07 15:35
https://weibo.cn//539755673,1037号森林里de小明同学,男,山东,347,326,293,回复@北北北北北城:我看到的一个山东省来雪中送炭，一个湖北省知恩图报，真是赤裸裸的利益关系和利益眼光啊。您倒是伶牙俐齿，就是可惜看别人的眼光中充满了利益关系！,0,2020-02-07 08:35
https://weibo.cn//u/1666153833,北北北北北城,男,山东,1451,184,520,回复@1037号森林里de小明同学:你确定你口中的赢不是赢得利益？还读子贡赎人？你还是多读读语文课本吧，话都说不利索,0,2020-02-07 08:25
https://weibo.cn//539755673,1037号森林里de小明同学,男,山东,347,326,293,回复@北北北北北城:说双赢就处处是利益眼光了？希望你读读子贡赎人的故事，看看孔子是怎么说的！,1,2020-02-07 08:13
https://weibo.cn//u/1666153833,北北北北北城,男,山东,1451,184,520,回复@1037号森林里de小明同学:你说的话处处不都是利益眼光吗？这中间不存在爱心？,0,2020-02-06 23:42
https://weibo.cn//u/2728458760,吃饱饱小奇,女,上海,680,155,82,谢谢好客山东，我去过青岛，栈桥很美，海鲜也很好吃，山东人也很实用，谢谢你们对湖北的支援，祝你们永远健康平安,0,2020-02-06 17:38
