评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2887977394,Sunny狮子光,女,上海,573,197,357,解释一下为什么打断央视采访？,1171,2020-02-01 19:32
https://weibo.cn//shengshamiaobi,超凶的大猫头鹰,男,广东,44,309,177,央视总台直播被红十字的保安掐断了，1200W在线群众眼睁睁看着，是有多大的猫腻怕人看到？？那都是全国人民捐的东西，凭什么不让人民看一下？？物资到底去了哪里？？我真的服了，必须严查红十字的物资账目！一条一条的公示出来！人民不放心！病毒不可怕，可怕的人心！ 泱泱大国啊，黑会不除，抗争不止!,817,2020-02-01 19:32
https://weibo.cn//u/1887535973,忘川之川_望乡之乡,女,浙江,1346,264,146,军管武汉，为什么就这么难！武汉要有救，现在只能靠军管！,359,2020-02-01 19:33
https://weibo.cn//u/2684537303,ET要回家家家家,男,北京,837,364,297,不信你这个辟谣 已经没有公信力了,0,2020-02-10 17:49
https://weibo.cn//u/3829220002,老夫重获少女心,女,山西,754,1474,341,信你才有鬼,0,2020-02-09 00:59
https://weibo.cn//u/2704275887,YYY-NouNou妈,女,上海,717,130,226,现在你说谣言就谣言了么？鬼信你。,0,2020-02-07 21:02
https://weibo.cn//u/2739562430,每天都要更努力的西边边,女,湖北,1666,263,489,红十字会真的是要不要脸？做的一些混账事情，你没有看到百姓在过什么样的生活吗？被金钱泯灭了良心，这是救命的钱啊，你看看水深火热的民众啊！！！！你的良心如何过的去？！,0,2020-02-07 14:33
https://weibo.cn//hitler0324,杨大紧,男,山东,1147,181,575,你真是红会的狗腿子,0,2020-02-07 14:09
https://weibo.cn//u/6254739917,SS4-0006,男,陕西,326,429,1254,相信这个辟谣声明不如相信你无中生个🐴,1,2020-02-07 09:38
https://weibo.cn//u/6038068036,琴声乱了我心,女,其他,1651,1702,113,我日尼玛,0,2020-02-06 21:39
https://weibo.cn//u/6742057012,苏小夏雨,男,新疆,110,153,1,火神雷神斗瘟神 省长市长骗首长,1,2020-02-05 21:47
https://weibo.cn//u/7315535543,花為誰落_心為誰傷,男,北京,6,50,1,？,0,2020-02-05 17:36
https://weibo.cn//u/6063543659,终极网上冲浪,男,其他,16,61,27,还搁这辟谣呢？领导的口罩呢？,0,2020-02-05 12:48
https://weibo.cn//u/7314426561,IndyQueen_呵呵呵,女,上海,4835,332,94,你们的辟谣是在造谣啊,0,2020-02-04 20:01
https://weibo.cn//u/7362491601,优质段子菌,男,江苏,3,6,1,您配吗？,0,2020-02-04 03:40
https://weibo.cn//u/7362491601,优质段子菌,男,江苏,3,6,1,您配吗？？？,0,2020-02-04 03:40
https://weibo.cn//u/6613451270,铠甲勇士liajk,男,其他,0,58,20,回复@庄周are:兄弟流批,1,2020-02-03 00:03
https://weibo.cn//u/6613451270,铠甲勇士liajk,男,其他,0,58,20,回复@庄周are:开始洗了？,1,2020-02-02 23:12
https://weibo.cn//u/5877933837,2016愤青,男,其他,49,193,33,快点吧，抓紧吧。武汉决策层，好好干活吧,0,2020-02-02 18:36
https://weibo.cn//u/5877933837,2016愤青,男,其他,49,193,33,想念毛主席。,0,2020-02-02 18:34
https://weibo.cn//u/5230924795,被琴砸晕的娑娜酱_,女,河南,515,421,330,一个字都不信 恰烂钱,1,2020-02-02 17:02
https://weibo.cn//u/6027571719,felimera,女,上海,72,89,33,实话说无所谓他是拦截还是没拦截，就想看到每个一线医院确认我们物资充足，这很难吗？兵马未动粮草先行是最基本的道理吧？如果物资不符合，之前为什么没有公示，如果人手不足，为什么没有公开招募？等查到了再说这些，至少说明主观能动性不足消极应对捐赠,0,2020-02-02 16:38
