评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1627583761,我的猫咪叫胖团,男,重庆,22,112,808,正确的舆情引导。点赞。不过时间晚了一点。这个我记得昨天就有了。,11,2020-02-11 13:32
https://weibo.cn//u/6351499131,英赛伦,男,湖北,151,38,706,打脸了吧，那些传谣的人，都哪里去了？哑巴了？你们当初那种义愤填膺的尽头呢？,6,2020-02-11 13:43
https://weibo.cn//independence0816,人走茶冰凉,女,北京,574,314,355,乱棍打死吧,6,2020-02-11 13:32
https://weibo.cn//u/6604155359,一叶知秋34827,男,其他,18,29,3,对这种故意传播病毒不顾他人安危的行为给予严惩!,0,2020-02-11 15:31
https://weibo.cn//u/6525772585,南山南868,男,海外,0,8,1733,林子大了什么鸟都有啊,0,2020-02-11 15:30
https://weibo.cn//u/6351499131,英赛伦,男,湖北,151,38,706,回复@王大大大君:一起干他娘的,0,2020-02-11 14:15
https://weibo.cn//u/2164411805,iYzzzzz,男,湖北,216,152,100,传谣言？不是你传的最多吗 八个说真话的当成传谣被抓 央视新闻带头发布假消息 什么时候了 你武汉发布还在这里发重庆的鸡毛蒜皮的谣言？,3,2020-02-11 13:54
https://weibo.cn//u/6413712305,善良离合器,男,湖北,329,231,61,是不是要聘请一批专门刷微博的志愿者 帮你们发现谣言啊！反应太慢了,0,2020-02-11 13:43
https://weibo.cn//u/6351499131,英赛伦,男,湖北,151,38,706,打脸了吧，那些传谣的人，都哪里去了？哑巴了？你们当初那种义愤填膺的尽头呢？,6,2020-02-11 13:43
https://weibo.cn//raydar,鷺__,男,江苏,9337,1790,2097,视频是假 重灾区是真,1,2020-02-11 13:43
https://weibo.cn//u/2593858422,冯丶山山,女,湖北,593,261,616,如果发生在武汉，是不是没时间管,0,2020-02-11 13:42
https://weibo.cn//u/1029824953,明道子曰,男,辽宁,806,71,1187,非常时期需用重典！,1,2020-02-11 13:40
https://weibo.cn//benzeph,Zeph_ZhuBenwei,男,湖北,528,141,130,网上还传了一个图，也请帮忙调查清楚,0,2020-02-11 13:40
https://weibo.cn//u/7377279813,彼岸安安,男,其他,55,19,9,传谣言的都该被抓起来,0,2020-02-11 13:37
https://weibo.cn//u/3760373040,人小鬼大8888,女,江苏,193,207,749,图图,0,2020-02-11 13:34
https://weibo.cn//gjwhh,龚家湾公安交警,男,甘肃,29091,1986,11411,【谣言！网传洪山某小区电梯里女子向按键吐口水？事发重庆，女子已被拘】,0,2020-02-11 13:34
https://weibo.cn//independence0816,人走茶冰凉,女,北京,574,314,355,乱棍打死吧,6,2020-02-11 13:32
https://weibo.cn//u/1627583761,我的猫咪叫胖团,男,重庆,22,112,808,正确的舆情引导。点赞。不过时间晚了一点。这个我记得昨天就有了。,11,2020-02-11 13:32
