评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5658767811,彡花开那年彡,女,湖北,21,194,71,这种时候散播谣言是何居心💢 💢 💢,27,2020-02-11 13:52
https://weibo.cn//u/7157628857,旋風小誌,男,湖北,450,106,36,一刷新全是辟谣贴，想看的疫情消息都刷不到！造谣者居心叵测！,12,2020-02-11 13:54
https://weibo.cn//u/1403790563,幼稚园开挂插班生,女,其他,76,66,67,早期还有可能，现在湖北已不是湖北武汉已不是武汉的时候，中央全面指导，全国高度关注，加前期的大量批评情况下，还能有人扣留外省支援医疗队的物质，这个可能性太小了吧。这种时候造谣其心可诛！,12,2020-02-11 13:58
https://weibo.cn//leepeilin,李君的世界,男,北京,239665,3784,110845,造谣的比干事的人多.,0,2020-02-12 16:46
https://weibo.cn//u/2159315410,糖驳唬,男,江苏,154,142,97,回复@枫宝宝-雨宝贝:有则改之，无则加勉。,0,2020-02-12 08:18
https://weibo.cn//717001213,Summer91sunshine,女,湖北,200,309,247,回复@怒涛龙啸:你这话说的有意思，原本就是没发生的事，人家当然不会理会了，有心怀不轨之人造谣上了热搜，官方才知道网上谣言，你以为别人跟你似的，一天到晚闲着没事干，官方不得核实清楚？你就别在这瞎带节奏了，再说每个地方都会存在各种各样的问题，现在是武汉最难的时候，请别再妄自菲薄，谢谢！！！！,1,2020-02-12 00:47
https://weibo.cn//u/3257392940,-囧-兔兔,女,湖北,73,204,124,真服了这帮造谣的，一天天累不累，居心何在，关键后边跟着一帮起哄的，现在已经不是只关系到武汉的事，不是只关系湖北的事，已经上升到关系到整个中华民族的事了，咱能不能消停消停，咱能不能争口气，帮帮忙啊，全国各地的医护公干都在一线忙的不可开交，咱们帮不上忙的，就消停吧，给他们一些鼓励吧,0,2020-02-11 22:09
https://weibo.cn//leepeilin,李君的世界,男,北京,239665,3784,110845,假的。,0,2020-02-11 17:22
https://weibo.cn//u/6293826148,红警3真好玩,男,广东,54,56,112,@科罗廖夫,0,2020-02-11 16:54
https://weibo.cn//u/2658165130,矩阵立方,男,湖北,0,10,49,造谣司马,0,2020-02-11 15:53
https://weibo.cn//u/6604155359,一叶知秋34827,男,其他,18,29,3,对造谣者要依法严惩！！！,0,2020-02-11 15:28
https://weibo.cn//u/5582580817,PE-Z001,男,浙江,94,541,38,回复@习武之人无敌:这些违法分子还来一句：要不是你自己公信力不足，又怎么会有人相信谣言呢！,1,2020-02-11 15:22
https://weibo.cn//u/2646112620,平原阿刁,男,上海,698,1567,499,造谣是种瘾，是种心理疾病，有些人不造浑身难受，最常见的那种自来水公司消毒、飞机撒药，很难说有什么目的和危害，就是瘾,0,2020-02-11 15:15
https://weibo.cn//u/5856376014,习武之人无敌,男,其他,71,129,23,回复@彡花开那年彡:基本一半是网特或轮子,0,2020-02-11 15:11
https://weibo.cn//u/2140643464,雅雅妈耶,女,其他,265,397,26,回复@旋風小誌:我刚才给一个大V解释行李物资是谣言他不信要我拿证据，我要他自己去看他又不信，从疫情开始到现在我已经被微博上有些人搞得要抑郁了,0,2020-02-11 15:10
https://weibo.cn//u/2612429540,马面LLL,男,四川,201,211,14,不要忘了支援武汉的初衷是什么？武汉太难了,0,2020-02-11 15:07
https://weibo.cn//u/3958612733,我不知道什么是微博,女,湖北,200,444,163,真的希望小编能够适当的澄清一下就好，我们还急切关注湖北疫情  其他的暂时不想理会,0,2020-02-11 14:55
https://weibo.cn//u/1909052484,涮子88,女,湖北,5623,367,169,网警应把这造谣的抓起来，,0,2020-02-11 14:46
https://weibo.cn//u/2031657647,csmxzg,女,四川,2192,27,106,抓人吧,0,2020-02-11 14:35
https://weibo.cn//u/1599243254,酒酿芋圆QUQ,女,湖北,2426,294,711,回复@旋風小誌:对！真是太累了。人们真的是只想相信自己愿意听到的答案😷,0,2020-02-11 14:33
https://weibo.cn//u/7340032910,片羽時光79138,男,其他,72,206,78,照顾好前去支援的医护才是真,0,2020-02-11 14:28
