评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2238436505,真正的大透明_,男,湖北,1337,89,197,严惩造谣者！！！！！！,19,2020-02-08 22:24
https://weibo.cn//u/1277316772,IR-Rock-Movie-Book-Girl-Flower,男,湖北,345,326,583,别有用心的人,5,2020-02-08 22:31
https://weibo.cn//u/5429029147,水镜浮霜月,女,其他,38,30,30,回复@经常互动:其实是真的，我朋友母亲在里面上班，今天告诉我们都真的，但是上面压下来，之前好几个发热还想办法请假,1,2020-02-10 18:40
https://weibo.cn//u/2979389724,蝶l澈,女,湖北,383,116,46,是谣言，因为我这边县城的中百也被别人传这个谣言了，有人要对付中百啊,0,2020-02-10 17:20
https://weibo.cn//u/3179788564,24K纯爷们儿BEST,男,湖北,470,132,197,超市员工被感染，这不是再正常不过的事情了。武汉有多少病例，在武汉的人心里都知道,2,2020-02-10 16:50
https://weibo.cn//u/5902295577,战天-依平,男,安徽,14,34,15,回复@快乐兔2019:病毒刚出来的时候那些医护人员也被说传谣，后来官方被打脸了，所以不是每个消息都是谣言，只看你自己信不信,1,2020-02-10 10:03
https://weibo.cn//u/2799028803,瑂人如花,女,其他,45,77,142,故事里的事，说是就是不是也是，故事里的事说不是就不是是也不是。糊里糊涂就成了，认真你就输了,1,2020-02-10 09:58
https://weibo.cn//u/6124531929,xiaomi四叶草,女,广东,37,195,22,太辛苦了，每天正事做的都辛苦，还要处理'这些造谣者,0,2020-02-10 09:49
https://weibo.cn//u/5289593362,黄桃暖暖哒,女,甘肃,1689,549,552,回复@贪吃的小巍巍:辟谣的意思,0,2020-02-10 01:03
https://weibo.cn//u/3256025582,樱花树上的柠檬仔,女,广东,238,308,397,回复@经常互动:滴人真系缺德，乱咁传谣言，人吓人吓死人嘎，,0,2020-02-10 00:18
https://weibo.cn//u/2799594871,石头今天也很开心,男,其他,0,108,36,@奋斗吧努力吧加油吧,0,2020-02-09 23:00
https://weibo.cn//u/5639196065,少年不开挂二号机,女,湖北,1388,172,197,回复@只愚一人:去买的大多都是老年人，玩不来的,0,2020-02-09 22:41
https://weibo.cn//u/2031186915,就爱冰阔落,男,湖北,226,200,82,不要搞到后来，传谣的人反而是真的,6,2020-02-09 20:35
https://weibo.cn//u/5726386338,_糖果er,女,澳门,2,5,13,回复@不知道叫什么昵称001:我都觉得是真的,0,2020-02-09 20:32
https://weibo.cn//u/6013417644,婉婉sunshine,女,湖北,254,279,46,造谣的人都是什么心态，要死啊,1,2020-02-09 20:22
https://weibo.cn//u/1937011420,可乐酱萌团子,女,湖北,28639,521,1670,回复@不知道叫什么昵称001:我也是这么想,0,2020-02-09 19:53
https://weibo.cn//u/2079044717,-下巴分你一半,女,湖北,316,394,519,回复@Meet乍见之欢:哦哦他编辑了的。我看到的跟你看到不一样，确实工作太不认真了，哎,0,2020-02-09 18:48
https://weibo.cn//u/2079044717,-下巴分你一半,女,湖北,316,394,519,回复@Meet乍见之欢:我们俩看的不一样嘛？我看到的第三张图上没有诶,0,2020-02-09 18:47
https://weibo.cn//kkchong123,芍药711,男,海外,2509,554,48,怎么我看第一张说得很像真的不是谣言呢,3,2020-02-09 18:30
https://weibo.cn//u/2613455225,夏菲文quer,男,湖北,2385,761,222,回复@ONCE空空:造谣的一天吃饱了没事干,0,2020-02-09 18:21
https://weibo.cn//u/5020438280,Zmm张毛毛,女,湖北,336,57,23,这个时期辟谣特别重要 点赞👍👍,0,2020-02-09 18:15
https://weibo.cn//u/2963211647,七友pccc,女,其他,422,342,390,@c-xuan,0,2020-02-09 18:04
https://weibo.cn//u/5277371409,eleonora七野,女,浙江,118,149,88, ！,0,2020-02-09 17:34
https://weibo.cn//u/5348999886,是一条麻瓜,男,湖北,11,46,60,回复@这样子就好了-:你看看第三张图上打了那么大的红色的谣言两个字。我只想表达微博都处理不好，何谈防疫,1,2020-02-09 17:33
https://weibo.cn//u/6316291958,只愚一人,女,湖北,96,20,157,那个视频是黄陂中百仓储黄陂广场店,0,2020-02-09 17:31
https://weibo.cn//u/6164884256,天下无绅士233,男,其他,950,930,199,超市对头干的吧,2,2020-02-09 17:20
https://weibo.cn//u/2079044717,-下巴分你一半,女,湖北,316,394,519,回复@Meet乍见之欢:前面两张图写了是谣言，第三张是澄清,0,2020-02-09 17:17
https://weibo.cn//u/3157578927,ONCE空空,女,四川,346,291,239, 有江夏的,0,2020-02-09 17:13
https://weibo.cn//u/7108379021,木白何时了,男,山东,49,6,26,她在北京，希望北京安全,0,2020-02-09 17:06
https://weibo.cn//u/7108379021,木白何时了,男,山东,49,6,26,天天消毒也不一定就传染不了，自己注意自己就是对国家最好的贡献，有些人不要用舆论造谣或者掩盖，罪行是同样的,1,2020-02-09 17:04
https://weibo.cn//u/2177690801,GCClaude,男,湖北,196,358,7318,这特么不是有病么,0,2020-02-09 03:24
https://weibo.cn//u/2375524511,还是阿莎,女,湖北,6550,1061,267,回复@夹心爱泡柚子茶的差不多先生:嗯，我信了,1,2020-02-09 02:54
https://weibo.cn//u/1747452747,欢迎光临萬事如意館,女,湖北,1405,374,1007,这些造谣的人什么心态啊 神经病,0,2020-02-09 02:26
https://weibo.cn//u/5535828856,鄂-A0260,男,上海,15,81,21,回复@经常互动:我就艹啦！ 那些发谣言的都是什么心理，是不是都心理不健康？,4,2020-02-09 02:14
https://weibo.cn//u/5232594617,我的双眼皮是砍刀砍的,女,其他,117,101,422,刚刚看到一个博主发微博说，武汉一超市收银员和顾客争执，顾客嫌弃超市只开辟了五个收银台,3,2020-02-09 01:51
https://weibo.cn//u/2321527293,夹心爱泡柚子茶的差不多先生,男,山东,721,134,40,回复@还是阿莎:第三张是证据,2,2020-02-08 23:06
https://weibo.cn//u/2482387087,根根6361,男,北京,419,992,406,努力,0,2020-02-08 22:58
https://weibo.cn//576195511,东东嘟嘟宝,男,湖北,3994,346,541,这种事情报警是纯属给警察找麻烦。过个十天半个月的，中百能保证不出现感染么？如果发生了感染，人家那就不是造谣。现在有个时髦的词，叫做“吹哨人”，要立碑的哦。,11,2020-02-08 22:34
https://weibo.cn//u/1277316772,IR-Rock-Movie-Book-Girl-Flower,男,湖北,345,326,583,别有用心的人,5,2020-02-08 22:31
https://weibo.cn//u/2238436505,真正的大透明_,男,湖北,1337,89,197,严惩造谣者！！！！！！,19,2020-02-08 22:24
