评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6860003838,原北大校草V,男,安徽,119,37,14,到底是怎样的一群人，一天到晚没得吊事，造谣呢？？是闲着无聊吗？还是心怀不轨？？,27,2020-02-13 23:33
https://weibo.cn//u/5836109882,橘喵跑不动,女,湖北,2294,117,77,又来了又来了,5,2020-02-13 23:19
https://weibo.cn//u/2158926557,1502-1,男,湖北,0,15,0,这个可以说有部分是线上购物群喜闻乐见的。,0,2020-02-15 19:47
https://weibo.cn//u/6013417644,婉婉sunshine,女,湖北,254,279,46,这种类似的谣言已经看到好几次，有些人真是闲的，我有个建议，要是太无聊了，可以去做志愿者！,0,2020-02-14 21:20
https://weibo.cn//345897654,我叫辣么美-美德布耀布耀德,女,湖北,4916,241,171,莫名其妙被上榜了……     举报             赞[0]         回复             2020-02-14 20:58:56 来自网页,0,2020-02-14 20:58
https://weibo.cn//u/2904101127,穆纪明,男,福建,211,173,549,人品不正就是家风不正，希望阎王爷将那些作风不正的歹徒通通拿走,0,2020-02-14 17:22
https://weibo.cn//u/1852111251,爸爸已经三天没有打我了,男,湖北,10034,1990,996,哎……,0,2020-02-14 03:40
https://weibo.cn//u/1461262140,酷爱兰花的猫,男,湖北,3206,628,1001,源头灭活,0,2020-02-14 02:02
https://weibo.cn//u/6375718358,狗小明,男,湖北,71,156,12,天天都有xx超市检测出病毒的相关谣言,2,2020-02-14 00:16
https://weibo.cn//u/6474931106,张绿青,女,广东,18,5,15,大家不要信谣传遥啦 理性面对哦,1,2020-02-13 23:35
https://weibo.cn//u/6860003838,原北大校草V,男,安徽,119,37,14,到底是怎样的一群人，一天到晚没得吊事，造谣呢？？是闲着无聊吗？还是心怀不轨？？,27,2020-02-13 23:33
https://weibo.cn//u/6304849457,爱瑞思拜,女,其他,1,299,381,回复@annysheng:？,0,2020-02-13 23:28
https://weibo.cn//236635679,乳腺外科杨青峰,男,湖北,33627,2802,575291, ,1,2020-02-13 23:22
https://weibo.cn//u/5142146292,三制效应,女,湖北,9537,817,301,传播谣言必得肺炎,2,2020-02-13 23:20
https://weibo.cn//u/5836109882,橘喵跑不动,女,湖北,2294,117,77,又来了又来了,5,2020-02-13 23:19
