评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2829335267,红驴鱼与绿驴鱼与鱼,男,湖北,180,124,221,有人知道逃跑的八个人抓到了吗？,1,2020-02-19 16:03
https://weibo.cn//u/1965389293,山上的羽毛,女,湖北,1385,282,178,这个可以有,1,2020-02-19 16:13
https://weibo.cn//u/2137162237,晕车又想出去走走,女,湖北,360,63,109,没有看视频，但是这个举动不是很好吗？黄冈还背诵考试呢，又力度不是太大又很有效，我觉得可以。难道视频里面有什么不妥？,3,2020-02-19 15:30
https://weibo.cn//fenslo,风火山的冰,男,其他,834,151,255,这个不抓才不负责，抓起来教育是最轻的处罚。,0,2020-02-20 06:13
https://weibo.cn//u/5129899335,取个昵称不是一般的难呀,女,北京,25,24,2,抓了很好啊,0,2020-02-19 22:56
https://weibo.cn//u/2759348142,武汉发布,男,湖北,139278,496,3791236,回复@红驴鱼与绿驴鱼与鱼:那个也是谣言,1,2020-02-19 21:29
https://weibo.cn//u/5873471403,Podcorn,女,湖北,325,59,84,回复@笨笨龙懒懒虫:这种造谣让人别瞎搞还行吧,0,2020-02-19 19:56
https://weibo.cn//dltengling,腾灵,女,辽宁,19495,1233,2621,就算是集中教育又能怎地，这种人确实欠教育,1,2020-02-19 16:43
https://weibo.cn//u/1965389293,山上的羽毛,女,湖北,1385,282,178,这个可以有,1,2020-02-19 16:13
https://weibo.cn//u/2829335267,红驴鱼与绿驴鱼与鱼,男,湖北,180,124,221,有人知道逃跑的八个人抓到了吗？,1,2020-02-19 16:03
https://weibo.cn//stamfordraffles,FamousFootwear,男,其他,11,43,53,应该采纳这个建议,1,2020-02-19 15:48
https://weibo.cn//u/2612955004,EasonLibra,男,江苏,1829,309,628,李文亮医生当时也被说成谣言，结果…,1,2020-02-19 15:37
https://weibo.cn//u/5692608479,猫咪森林05,男,海南,4726,926,1752,怎么最近啥谣言都会扯上青山。。。     举报             赞[0]         回复             2020-02-19 15:36:01 来自网页,0,2020-02-19 15:36
