评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7315610398,芷若茉莉花,女,其他,36,209,46,1纸箱上的四个字 2这款口罩产地不是武汉 3为什么疫区还能发货,56,2020-02-15 15:06
https://weibo.cn//u/5656181460,進撃的诚爹,男,河北,488,705,73,回复@FxxkKev:哈哈，事情上升到这个层面难道不是给大众一个交待？,0,2020-02-16 18:20
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@妈宝_73015:您的第一条微博是2016年11月的，时隔三年，您从今年2月3日才开始重新发微博，坐标还是武汉,0,2020-02-16 15:59
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@妈宝_73015:您说考研门槛低，不如您晒晒您的本科学位证，给我们开开眼,0,2020-02-16 15:53
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@妈宝_73015:哈哈哈哈我给笑死，本科率不足4%的中国，考研究生门槛低，您知道全日制研究生非退役军人，硬性报考要求都是本科以上，微博智商盆地名不虚传,0,2020-02-16 15:52
https://weibo.cn//u/5978818942,妈宝_73015,女,湖北,14,195,7,回复@小楚考研笔记:你去考,0,2020-02-16 15:22
https://weibo.cn//u/1894119465,FxxkKev,男,湖北,1722,768,476,回复@進撃的诚爹:他提出的质疑不回复给他给你？,0,2020-02-16 13:30
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@爱吃青椒的胡萝卜:当然这家工厂的老板确实因为私欲想向外售卖口罩赚钱，走了灰色地带，但也没有部分网友给这家工厂扣的那么大锅，个人观点,0,2020-02-16 13:17
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@爱吃青椒的胡萝卜:冒昧问一句，您认识的口罩工厂是具备生产医疗器械的还是不具备的？看您的意思应该是认识具备生产医疗器械的工厂，那国家自然会管控，但是部分不满足生产医疗器械的工厂，国家没有管控，所以并不是所有工厂都被管控了，不然那些假口罩是怎么来的？,0,2020-02-16 13:16
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@理情:谢谢你翻译的日文，出口转内销确实属于灰色地带，不然有些淘宝店微商也不会偷偷卖外贸货，但是这个行业确实存在这种现象，不排除这家工厂也存在这种行为，如果非要像其他网友所说的是这家工厂在倒卖“捐献口罩”而非售卖自身生产商品，这种结论有失偏颇，个人观点,0,2020-02-16 13:11
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@妈宝_73015:我就只评论前段话不行吗？我评论那段话关你啥事？“救援物资”好像还没有实锤吧？没有实锤的东西我评论干嘛？我考研不考研关你啥事？网络警察名不虚传,0,2020-02-16 13:04
https://weibo.cn//u/5978818942,妈宝_73015,女,湖北,14,195,7,回复@小楚考研笔记:你把后半段话吃了？别考研了！,1,2020-02-16 10:10
https://weibo.cn//u/5261696405,爱吃青椒的胡萝卜,男,山东,14,35,2,回复@理情:我认识口罩厂的，很早国家就规定了国内所有生产口罩的厂家必须由国家管控，也就是国内生产的口罩全部供应前线不可能外流！况且现在管控的更严格了层层把关，所谓的“何洁”是如何做到的！,0,2020-02-16 06:14
https://weibo.cn//u/1928543955,理情,男,河南,1311,329,177,回复@小楚考研笔记:ウイルス（病毒）BFE(细菌过滤率)PFE（颗粒过滤率）VFE（病毒过滤率）能达到99％的都达到医用外科口罩的标准了，普通口罩没有这些字样。即使出口转内销，也必须贴上中文说明才能在国内销售，这是《产品质量法》里规定的，否则就是违法。包括商家说河南产的口罩也涉嫌欺诈，官方说明一直在回避这些问题,1,2020-02-16 03:53
https://weibo.cn//u/5457948285,钉子20336,女,重庆,13,66,29,回复@竹一的桔梗:全国人民都在帮湖北、帮武汉度过难关，武汉也是心疼其他省市的人民，大家把口罩都捐给了湖北自己裸奔多危险，武汉商人买口罩也是解决全国人民买不到口罩的难题给老百姓雪中送炭，多么忧国忧民的武汉商人啊，加个鸡腿🍗为啥那么容易出来，呸！是动用了特殊关系送出来的好不好，搭上失爹的代价,0,2020-02-16 03:42
https://weibo.cn//u/5457948285,钉子20336,女,重庆,13,66,29,武汉的商人也是心疼全国其他省事的人民，大家把口罩都捐给了湖北，自己也买不到口罩不戴口罩出门危险，武汉商人买口罩也是解决全国人民没口罩的难题，替老百姓解忧，多么忧国忧民的武汉商人啊，加个鸡腿🍗吧,2,2020-02-16 03:34
https://weibo.cn//u/2155781022,宁静的湖水中,女,上海,297,245,95,建议相关机构将国内外的口罩标准统一。在不影响出口工厂的订单前提下，生产多的出口标准口罩能被允许在国内药店销售。,0,2020-02-16 00:57
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@理情:有网友说那是可以防病毒的，又有网友说是只是防花粉的,0,2020-02-16 00:11
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@理情:这家工厂原来就是做出口贸易的啊，国家没有给医疗器械资格之前，就能生产普通口罩卖给日本，生产标准只要符合出口国家的标准就行，您怎么知道这家工厂卖的就是医疗级别的口罩呢？要不您给我翻译翻译口罩盒子上的日文？外贸公司出口转内销是外贸行业基本操作,1,2020-02-16 00:06
https://weibo.cn//u/6282478596,北海街头食神,男,广西,20,13,9,外箱的正面显示的产品信息与口罩符合，不存在另用了“救援物资”的旧纸箱重新打包。请你们负责人的调查,0,2020-02-15 23:31
https://weibo.cn//u/3518298920,我家有个邰大大,男,其他,40,72,13,我只想知道箱子上救援物资该如何解释,0,2020-02-15 23:10
https://weibo.cn//u/2270733250,汪层,女,上海,4504,1008,762,回复@汪层:4、箱子上为什么写着救援物资,0,2020-02-15 23:07
https://weibo.cn//100919012,Jason_019,男,天津,1029,831,475,回复@37个白:你赢了,0,2020-02-15 22:50
https://weibo.cn//u/1928543955,理情,男,河南,1311,329,177,回复@小楚考研笔记:国家临时给生产资质的前提是生产口罩供给一线，现在微商倒卖给私人？而且产品都是日文没有中文标识，这种产品是不能在国内销售的,0,2020-02-15 22:39
https://weibo.cn//u/5223299895,孔祥港,男,山东,121,228,126,快递用化名?不都是实名制的快递吗,0,2020-02-15 22:23
https://weibo.cn//u/5530934896,奥凹凸洛夫斯基,男,陕西,174,260,338,大家都往武汉捐口罩呢... 武汉商家往出来卖？,0,2020-02-15 22:21
https://weibo.cn//chenbeiweihan,沉北,男,福建,4384,1185,1373,tui，小编张嘴吃痰,0,2020-02-15 21:55
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@竹一的桔梗:外贸转内销啊,0,2020-02-15 21:06
https://weibo.cn//u/5191025158,今天也不想写论文啊,女,北京,1224,447,262,回复@今天也要自动抬杠:这家工厂原来是是做进出口贸易，在疫情之前没有生产医疗器械级别口罩的资格，是疫情以后国家临时给了这个工厂证，有人说这批口罩是防病毒级的，也有人说这批口罩是只能防花粉。国家也只接管了医疗级的工厂，或者接管满足生产医疗级的工厂，一部分只满足普通口罩生产的工厂没有被接管,0,2020-02-15 21:04
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@苎丝绳:涉及到具体的专业问题了，且存在多种可能。咱们现在首先要关注的是这批口罩到底是不是咱们国人历尽千辛万苦捐给武汉，然后被丧尽天良的人转手卖出来，这一件事。这个也是原po想要发出来让家帮助解答的，至于其他的问题，我相信原po已经报警的情况，警方不会置之不理的，毕竟已经上升到涉及政治。,0,2020-02-15 20:47
https://weibo.cn//u/1446330232,苎丝绳,女,其他,2582,42,354,回复@HTYLBei:说这话就搞笑了。全国的口罩厂都统一接管调控了，武汉重灾区反而能通过微商卖口罩？,0,2020-02-15 20:44
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@厶厶卷:暂时还看不到确确实实的真相，我也是希望大家实事求是继续关注下去，但话不能随便说。还有一点就是，武汉本地买不到口罩，从现在的线索看，这家企业的行为让人费解，个人觉得可能有违规行为。,0,2020-02-15 20:42
https://weibo.cn//u/5700160423,HTYLBei,男,河南,632,39,108,回复@苎丝绳:外贸,0,2020-02-15 20:41
https://weibo.cn//u/1112229021,2018年修改的昵称,男,福建,4641,1363,447,不是实名制吗？顺丰要罚款。,2,2020-02-15 20:39
https://weibo.cn//u/1446330232,苎丝绳,女,其他,2582,42,354,回复@37个白:产品质量法规定，在国内销售的产品必须有中文标识。这种全日文包装的至少也是违法违规的,0,2020-02-15 20:38
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@苎丝绳:不知道呀，但我看有人查到了这家企业，感觉是有可能的呢，因为现在线下渠道都受限，民用口罩多数都是线上购买的，哪里买都一样。,0,2020-02-15 20:35
https://weibo.cn//u/3145672695,厶厶卷,女,北京,2995,781,166,回复@37个白:没有杠的意思，只是表达现在的情况。实名只限于顺丰寄件，不包含其他网络购物之类。可能顺丰要求实名，但具体操作起来会有执行上的不同。,0,2020-02-15 20:33
https://weibo.cn//u/1446330232,苎丝绳,女,其他,2582,42,354,回复@37个白:那么口罩上为什么是日文呢？,0,2020-02-15 20:31
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@苎丝绳:实名呀，我寄快递也从来不用身份证,0,2020-02-15 20:28
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@厶厶卷:那我之前网购的算吗，都是化名,0,2020-02-15 20:27
https://weibo.cn//u/1446330232,苎丝绳,女,其他,2582,42,354,回复@37个白:不需要什么呀？,0,2020-02-15 20:26
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@icelin9999:我为了保护隐私寄件从来不实名哎...北京...所有的快递没要求过我也没要过身份证,0,2020-02-15 20:26
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@咖啡幻影A:我前几天给武汉寄口罩并不需要实名呀，而且之前挂卖咸鱼从来没用过真名和身份证，北京,0,2020-02-15 20:25
https://weibo.cn//u/5237143117,37个白,女,北京,397,183,127,回复@如飞雪:不用啊...我前几天还真的给武汉寄口罩来着，就写了一个张字也从来没人问我要证件，北京,0,2020-02-15 20:25
https://weibo.cn//u/3145672695,厶厶卷,女,北京,2995,781,166,回复@37个白:坐标武汉，企业储值用户，必须实名寄。,0,2020-02-15 20:24
