评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1461912083,忘在风中666,男,河北,2002,521,62,我解释下养殖场死了猪怎么处理？首先报保险，报检疫群，（每个地区都有定点的无害化处理厂，死猪统一处理，加工成肥料，由政府补贴）报检后无害化处理车和保险公司每天分片去下面场子转一圈把病死猪收集起来拉回场子集中处理。如果你们路上拦住这种车，打开车厢，肯定都是死猪，这是很正常的运输。,5,2020-02-18 11:19
https://weibo.cn//u/6783961214,观之大号,男,其他,310,208,25,如非真实请勿造谣,0,2020-02-19 13:40
https://weibo.cn//u/6086108744,幼年猹,男,其他,130,92,47,回复@小叮当丁丁二:不信自己去查，官方辟谣不信信空口白牙的造谣者？用用你学过马哲的小脑瓜,2,2020-02-18 11:46
https://weibo.cn//u/1461912083,忘在风中666,男,河北,2002,521,62,我解释下养殖场死了猪怎么处理？首先报保险，报检疫群，（每个地区都有定点的无害化处理厂，死猪统一处理，加工成肥料，由政府补贴）报检后无害化处理车和保险公司每天分片去下面场子转一圈把病死猪收集起来拉回场子集中处理。如果你们路上拦住这种车，打开车厢，肯定都是死猪，这是很正常的运输。,5,2020-02-18 11:19
https://weibo.cn//u/5015831148,等待幸福的到来8,男,上海,58,164,14,谣言传播不实,0,2020-02-18 06:23
https://weibo.cn//u/7278288743,后羿传说1964,男,江苏,4,90,16,回复@小叮当丁丁二:挺二的,1,2020-02-18 05:41
https://weibo.cn//u/1849863472,BBMMMMt,男,陕西,45,202,144,回复@小叮当丁丁二:你爱信不信，你这个憨批,5,2020-02-18 02:50
https://weibo.cn//415863574,市井作家,男,山东,681,685,582,病死猪加工食品，这不很正常吗！这是拆哪，这事太正常了,4,2020-02-17 21:16
https://weibo.cn//u/5165600371,小叮当丁丁二,男,山东,32,76,13,现在你们发布还能让人信吗,8,2020-02-17 20:29
https://weibo.cn//207072841,隔壁热心的邻居老谢,男,北京,5117,477,766,回复@二少爷要努力赚钱:看了你的头像就知道，啥也能说出来，又不过脑子,12,2020-02-17 19:45
https://weibo.cn//u/6582209919,PTpalvos,女,上海,5041,806,284,回复@二少爷要努力赚钱:你住边上？,6,2020-02-17 19:01
https://weibo.cn//u/1739334312,写谈夏末,女,山西,929,122,148,回复@二少爷要努力赚钱:还是需要提供证据，照片或者视频影视资料,16,2020-02-17 18:46
https://weibo.cn//u/6350868775,今天也想吃刺身盖饭,男,广东,7,120,27,回复@二少爷要努力赚钱:说话请提供证据,36,2020-02-17 18:00
https://weibo.cn//u/7372093357,我饿了停机了,男,其他,212,315,55,牛逼！处理和加工食品都分不清！,6,2020-02-17 17:03
https://weibo.cn//u/2949066035,二少爷要努力赚钱,女,湖北,194,522,248,病死猪都运到这里加工，导致这里的村民无法正常生活，恶臭熏天，拖进来的病死猪没有经过任何消毒处理，任意摆放，血水横流，腐肉刺鼻，这种简单粗暴的无公害处理，厂房就建在村民居住的村庄中间近百米的地方，叫人怎能不担心他会成为第二个华南海鲜市场呢？,32,2020-02-16 15:16
https://weibo.cn//u/2624460207,友情微博,男,北京,14235,857,1400,     举报             赞[1]         回复             2020-02-16 13:17:30 来自网页,1,2020-02-16 13:17
