评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3025634282,泽赛洛,男,江苏,996,469,489,能否把发布假消息的媒体和平台绳之以法呢？,14,2020-02-16 23:25
https://weibo.cn//u/5702399770,爱如空气8885188,女,江苏,316,516,110,桂荣的事敢不敢回复？还是我也快被拉黑了？,88,2020-02-16 23:30
https://weibo.cn//u/5635651269,您可真聪明Y,女,湖北,40,121,33,有企业私下开工倒是真的，,8,2020-02-16 23:24
https://weibo.cn//u/6015600458,MoroboshiDai,女,浙江,79,400,446,回复@水手的孤岛:少说点风凉话 当作给自己积德 至少可以换位思考一下 你家里这样了 我这么说OK吗,1,2020-02-17 10:48
https://weibo.cn//u/5893772716,水手的孤岛,男,海外,524,120,198,回复@MoroboshiDai:热度一直没减吧，电视上网络上还有别的事吗？事不关己高高挂起什么意思？我跟着你们一样思维才是对的吗？跟着你们走才能不被骂吗？哈～,0,2020-02-17 10:47
https://weibo.cn//u/6015600458,MoroboshiDai,女,浙江,79,400,446,回复@水手的孤岛:持续关注这件事情 保持热度 而不是一副事不关己高高挂起的模样说没用的风凉话,0,2020-02-17 10:45
https://weibo.cn//u/5893772716,水手的孤岛,男,海外,524,120,198,回复@MoroboshiDai:我还是那些话，你觉得怎么办才好？,0,2020-02-17 10:43
https://weibo.cn//u/5893772716,水手的孤岛,男,海外,523,120,197,回复@MoroboshiDai:我也笑死了，不可防控湖北省外的确诊人数不断下降？难道非得让他说这个病毒不可防控，大家赶快离开武汉吧！能跑就跑那才是好的？,0,2020-02-17 10:42
https://weibo.cn//u/6015600458,MoroboshiDai,女,浙江,79,400,446,回复@水手的孤岛:还一开始可防可控我真的笑死了 如果一开始防的住了至于全国跟着遭殃吗？,0,2020-02-17 10:40
https://weibo.cn//u/6015600458,MoroboshiDai,女,浙江,79,400,446,回复@水手的孤岛:你家人发生这样的事还能这么镇定自若的表面分析吗,0,2020-02-17 10:37
https://weibo.cn//u/5893772716,水手的孤岛,男,海外,524,120,198,回复@小羊噜噜为什么不可以:我记住了，你也记住你说的！有的时候话是反着的！,0,2020-02-17 09:47
https://weibo.cn//u/5893772716,水手的孤岛,男,海外,524,120,198,回复@若夜阑:你这种人有脑子没有？年前人家说的可防可控，我觉得没错，可防可控现在是不是防的住控的住？湖北省外的确诊人数连续下降吧？你还想他说这个病防不住大家快跑吧。还有，有些人再用现在的对病毒的认知来攻击别人年前对病毒的认知，偷换概念！,0,2020-02-17 09:38
https://weibo.cn//u/5893772716,水手的孤岛,男,海外,524,120,198,回复@Cancer_Wp:你也别急着骂，这年头这么邪乎可能会在你家人身上应验！你有脑子你可以自己去思考，别看我的，有意思？你既然觉得我分析的错，干嘛用我的错气你自己呢？哈～我觉得你们这群人很易怒，我没攻击这位患者，也不想和你对骂！你如果怜悯这位患者要么和她取得联系，网上她的联系方式太多了，要么去武汉自己看,0,2020-02-17 09:33
