评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5225524759,雪落苍山远_,女,内蒙古,50,457,77,造谣成本太低,4,2020-02-20 16:11
https://weibo.cn//u/1029824953,明道子曰,男,辽宁,806,71,1187,报案啊！纠出造谣者呀！不能只在那辟谣吧！,3,2020-02-20 17:04
https://weibo.cn//u/3194925531,DefereNt,男,其他,82,325,109,这是天灾就别嚷嚷啦，谁都跟捡到枪似的，中国都给西方世界发高音大喇叭啦📣西方世界还是做的一团糟，好好做横向对比，别老是做纵向对比老跟上帝去比较，相信国家有了这次事件教训会好好完善制度的，没必要又发哨人、又吹哨人的天天在网上煽动，你牵不起什么风浪，就别丢人现眼啦！,1,2020-03-12 07:01
https://weibo.cn//u/5848508988,Fyattowe_,男,广东,38,123,100,回复@Backsfens:预言家,0,2020-03-12 00:17
https://weibo.cn//u/5173306658,大敏哥k,女,江西,0,69,62,回复@Backsfens:预言家,0,2020-03-11 23:16
https://weibo.cn//u/1023037767,我在路上2019,男,天津,3173,378,697,平民配知道这么多吗？//,0,2020-03-10 13:02
https://weibo.cn//u/1873889264,深秋天凉,男,山东,185,108,106,痛恨造谣者。这次的辟谣处理是那么的到位，👍,0,2020-02-20 17:42
https://weibo.cn//u/1659129554,钟静,女,湖南,15575,2194,3932,林子大了什么鸟都有，能不能准备两支鸟枪🔫，再有这样的谣言一枪🔫打死干净！,0,2020-02-20 17:30
https://weibo.cn//97606385,章博,男,湖北,6520,1047,19869,明天湖北是要上班吗？,0,2020-02-20 17:11
https://weibo.cn//u/1029824953,明道子曰,男,辽宁,806,71,1187,报案啊！纠出造谣者呀！不能只在那辟谣吧！,3,2020-02-20 17:04
https://weibo.cn//u/2195921957,尕二的一千零一夜,女,湖北,701,325,340,真不知道放哪里投诉，身体健康，社区说可以申请返汉，黄冈红安县乡里一口回绝任何人不能走，不出证明，在家自己呆了20多天，身体健康，回乡办事，网也没有，生活用品不足，当地吃的采购严重不足，一点肉没有，菜还十几二十一斤，五斤起买，卫生用品都没有，人也不能出门，集中采购这没有那没有,0,2020-02-20 17:02
https://weibo.cn//u/1957817477,啡隅咖啡,男,安徽,971,1826,294,造谣成本太低，防不胜防！,1,2020-02-20 16:26
https://weibo.cn//u/6368028970,袁霖VVVV,男,湖北,105,48,24,复工时间复工时间复工时间,0,2020-02-20 16:21
https://weibo.cn//u/6368028970,袁霖VVVV,男,湖北,105,48,24,复工时间复工时间,0,2020-02-20 16:20
https://weibo.cn//u/6368028970,袁霖VVVV,男,湖北,105,48,24,复工时间发出来鬼关心这,0,2020-02-20 16:20
https://weibo.cn//sm518,新时代赫赫战歌,男,北京,85982,1580,46244,造谣分子故意带节奏。。,4,2020-02-20 16:18
https://weibo.cn//u/1746303212,Brando小天,男,北京,87,360,125,延期复工的通知还不发吗？明天就21号了！！！,0,2020-02-20 16:17
https://weibo.cn//u/2979307501,孟心怡早点睡,女,山东,4108,853,207,🙏🙏🙏,0,2020-02-20 16:17
https://weibo.cn//chen52699,信步看人生,男,广东,36075,5195,3936,对于那些无事生非，拿医疗人员的工作来进行造谣扰乱视听的人要坚决绳之于法，并纳入个人诚信记录，不以此不足以震慑！,3,2020-02-20 16:15
https://weibo.cn//nomoresorrow,AP1995AP1995,男,广东,276,1108,1282,回复@幸运的雪后茉莉:就是要辟谣，辟谣的同时应该放出真相。那些人就是想把辟谣废了，想要造谣自由，只许造谣不许辟谣。,1,2020-02-20 16:14
https://weibo.cn//u/5225524759,雪落苍山远_,女,内蒙古,50,457,77,造谣成本太低,4,2020-02-20 16:11
