评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1652505612,臭屁滴麻麻,女,湖北,3611,637,349,现在都不相信辟谣了,391,2020-02-23 23:43
https://weibo.cn//u/6097237461,蛋蛋家的L妹,女,湖北,1,591,142,所以武汉阔以通快递不，通了快递在屋里呆半年都没得问题。我不出家门一步。,109,2020-02-23 23:43
https://weibo.cn//u/2169309697,Smile_粉末,女,湖北,153,512,361,武汉的辟谣最后都成真,140,2020-02-23 23:47
https://weibo.cn//u/2297196684,无尾熊小小饼干,女,湖北,1882,194,375,回复@我以外00000 的表态:辛亏囤货了,0,2020-03-10 12:43
https://weibo.cn//u/7040207077,隔壁老玩童a,男,湖北,41,202,26,回复@爱玩桌游的小哈尼 的表态:谢谢🙏,0,2020-03-10 04:19
https://weibo.cn//u/5796463939,你我生而平凡1,男,湖北,32,125,89,回复@Pomeloooooooooooo:有没有焊死门我不知道，反正路上都是巡逻的，大半夜都有换岗的，已经抓了不少人了，放不下都往体育馆里集中关，一天50伙食费自理，没收了1800辆私家车等,0,2020-02-29 01:59
https://weibo.cn//u/5058685742,shine浅沐,男,其他,3629,45,118,🙏,0,2020-02-27 01:39
https://weibo.cn//u/5461912275,散落的星海,男,湖北,3,336,23,回复@臭屁滴麻麻:顶你,0,2020-02-26 00:26
https://weibo.cn//u/2177918305,唐山糖糖,女,其他,4827,760,166,回复@臭屁滴麻麻:关键时刻还是快递救了命,0,2020-02-25 16:21
https://weibo.cn//u/1652505612,臭屁滴麻麻,女,湖北,3611,637,349,回复@唐山糖糖:多亏还有顺丰、京东这些，不然真是活不下去了,0,2020-02-25 15:45
https://weibo.cn//u/2177918305,唐山糖糖,女,其他,4827,760,166,回复@臭屁滴麻麻:昨天开始顺丰唐山五区十县在网上不能下单了。春节一直可以的，直到昨天开始不能发了,0,2020-02-25 15:35
https://weibo.cn//u/6036587865,Q长着翅膀的喵Q,女,湖北,7,380,29,回复@双城_23:是不是真的都无所谓了，超市商店早就都关了，主路段到处都是封锁线，我们家这边有隔离点封锁线特别严，外面买的东西即使有通行证也送不进来，不过可以自己去拿，但是也不能一直总去麻烦别人，不过官方团购的一直可以买，也可以送到门口,0,2020-02-25 15:26
https://weibo.cn//u/6036587865,Q长着翅膀的喵Q,女,湖北,7,380,29,回复@我爱大米鱼:家族群里发了一堆，虽然不传屯着点总是没错的，一封城就囤了一堆肉菜，能不出门就不出门，之前我们社区还发了菜米口罩，我朋友社区啥都没有，屯着点总比没有好，不是说估计要到三月底,0,2020-02-25 15:21
https://weibo.cn//u/6036587865,Q长着翅膀的喵Q,女,湖北,7,380,29,超市真的全部都关了，之前查出又发热人员，就封了！只能在地方微信团购，然后在就是附近的便利店可以买点水果和菜，可以送到封锁线，就算有通行证都进不来，自己去拿，虽然贵吧不过有吃的总比没有好,0,2020-02-25 15:00
https://weibo.cn//u/7210097216,信哲饶敏,男,其他,49,36,9,我们湖北咸宁咸安区的所有超市不对个人开放，所有住的地方全封了，连小口都有保安站岗，好可怜呀！,0,2020-02-25 14:52
https://weibo.cn//u/1652505612,臭屁滴麻麻,女,湖北,3611,637,349,回复@唐山糖糖:可能就是单纯的不想发而已，我武汉的，一直在收顺丰的快递，有秦皇岛寄过来的，有苏州寄过来的，还有湖北省内的，从过年到现在没停过。,0,2020-02-25 14:39
https://weibo.cn//u/1652505612,臭屁滴麻麻,女,湖北,3611,637,349,回复@qazwsxed:感觉就是米送的快，我先买的小孩子要喝的牛奶还有纸尿裤，一直都没送来，反倒后买的米送来了,0,2020-02-25 14:36
https://weibo.cn//u/6118510194,原来是很矫情的十一轩,男,重庆,452,33,1145,回复@evliving:落实一下  你想想会怎样,0,2020-02-25 10:40
https://weibo.cn//u/6118510194,原来是很矫情的十一轩,男,重庆,452,33,1145,回复@泡泡的小一一:在理,0,2020-02-25 10:39
https://weibo.cn//u/5381667689,Shmily-梓淇,女,河北,478,249,171,回复@00契奇:年前买的手机，现在都自动确认收货了卖家也不给处理，不管说什么都是回你一句话，疫情结束后再说🙃,0,2020-02-25 09:10
https://weibo.cn//u/5019259607,毒奶优优子,女,湖北,2,176,67,这个是真的，这个不是谣言,0,2020-02-25 08:23
https://weibo.cn//u/6515653924,向心为己,女,其他,75,38,8,回复@臭屁滴麻麻:我的京东啊.....尼玛7号拍的 推到28了.....希望月底收到....,0,2020-02-25 01:24
