评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//chinaenshi,imageen,女,湖北,100,175,98,确实，正常人一般不敢爬。,1,2020-02-25 18:07
https://weibo.cn//u/6800703800,武汉雄起2020,男,其他,74,22,300,你以为没有真实的这种情况吗？,0,2020-02-25 17:37
https://weibo.cn//chinaenshi,imageen,女,湖北,100,175,98,确实，正常人一般不敢爬。,1,2020-02-25 18:07
https://weibo.cn//u/6800703800,武汉雄起2020,男,其他,74,22,300,你以为没有真实的这种情况吗？,0,2020-02-25 17:37
https://weibo.cn//u/2518295884,Wa-sim,男,湖北,32,13,97,回复@袁小梅耶:武汉都管不过来，还指望管孝感,0,2020-02-25 14:43
https://weibo.cn//u/2873292925,一只妖精在树上,女,湖北,43,105,255,回复@信仰zzzzz:,0,2020-02-25 13:34
https://weibo.cn//u/1931387313,袁小梅耶,女,湖北,288,204,149,能不能派人管管孝感啊， 感染人数只增不减 ，村里真的太苦了 ，被关了一个月也不给你买点肉啥的。,3,2020-02-25 13:16
https://weibo.cn//u/1721307984,那不是鸡蛋灌饼,男,湖北,571,151,190,厉害了，八楼居然爬下来。我一个男的都不敢，而且也做不到活着到一楼。,5,2020-02-25 12:29
https://weibo.cn//u/5427972106,巴菲蔻_934,男,四川,5141,458,1466,回复@阮莞:说真的，我很羡慕她。小时候学爬杆我没有学会，有的小朋友几下子就爬到顶上,0,2020-02-25 12:06
https://weibo.cn//saybyetothepast,阮莞,女,海外,2449,606,455,回复@巴菲蔻_934:哈哈哈哈,0,2020-02-25 12:04
https://weibo.cn//u/5427972106,巴菲蔻_934,男,四川,5141,458,1466,说实话我很佩服她天生神力，普通人哪有这个本事。,5,2020-02-25 12:02
https://weibo.cn//u/3122959894,金seng,男,北京,152,102,131,都被逼瘋了,20,2020-02-25 12:01
https://weibo.cn//u/6710901165,为什什为,女,天津,14,31,57,新闻报的流浪人关注下,2,2020-02-25 11:58
https://weibo.cn//u/5320270174,信仰zzzzz,男,湖北,106,341,220,我也想吃肉，也想吃零食。但我不出门等到3月10号,4,2020-02-25 11:56
