评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1664789083,wonderfulPan,女,湖北,957,223,103,我们希望听到，小区团购的菜，价格高，质量又差也是谣言，您倒是出来给劈个谣呀！,28,2020-02-23 00:56
https://weibo.cn//u/1496780664,Asheng20,男,湖北,258,326,97,2月10号，马国强说武汉排查人数达99%。从事后的工作来看，这个消息明显属于虚假信息，给疫情防控工作带来极大干扰。这个谣言不知道什么时候辟？,15,2020-02-23 01:06
https://weibo.cn//u/3477625887,焉知焉悟,女,宁夏,1995,890,742,小布早点休息！ 有些人别巨婴了，大西北菜蛋肉也很贵，孩子都在家上网课，我们都在家，不出门，为了省口罩，留给有需要的人！我们积极配合，打赢这场战，而不是巨婴心态什么都干不了还要抱怨这个，埋怨那个！,7,2020-02-23 01:01
https://weibo.cn//u/5547435414,白漌阿白,男,重庆,1059,778,84,加油,0,2020-02-24 05:48
https://weibo.cn//u/2134686407,风之伤an,女,湖北,5607,194,159,不知道这个谣言是哪里发出来的？昨天多个购物群同时爆出这个谣言，是真的自发传播，还是别有用心？？！,0,2020-02-23 12:41
https://weibo.cn//flower246,徐太北,男,湖北,1,78,120,回复@猫猫宠爱:我看你节奏倒是带的飞起，你发一条多少钱?,0,2020-02-23 12:35
https://weibo.cn//u/3477625887,焉知焉悟,女,宁夏,1995,890,742,回复@Cakonz:多一份理解，少一些指责！+1,0,2020-02-23 11:22
https://weibo.cn//btbank,创客贰哥,男,湖北,703,740,11549,回复@虎虎之迷:就算公告也得信服于大众！如果一个人疑问可能是偏见如果大多数疑问，那么这个疑问肯定是与别人认知和了解的不相符合！,0,2020-02-23 11:20
https://weibo.cn//u/2825322727,Cakonz,男,湖北,1,61,232,回复@焉知焉悟:谢谢！多一分理解，少一分指责，,0,2020-02-23 10:59
https://weibo.cn//u/3477625887,焉知焉悟,女,宁夏,1995,890,742,回复@Cakonz:是，从1月23日开始，我都不知道自己跟着武汉人流了多少泪了！加油！会好起来的！[加油][加油][加油],0,2020-02-23 10:58
https://weibo.cn//u/3477625887,焉知焉悟,女,宁夏,1995,890,742,回复@Cakonz:没有人指责武汉所有人，武汉更难，全国都在帮！更需要自强！[加油][加油][加油],0,2020-02-23 10:57
https://weibo.cn//u/2825322727,Cakonz,男,湖北,1,61,232,回复@焉知焉悟:我知道外省也贵，当志愿者给你点赞。但是武汉人现在是背什么骂名？买着高价菜不说，还要被省外的人责骂说我们拿了爱心菜还出去抢菜，团购花的可是自己的真金白银。请你不要指责我们武汉人了，家成这样，身边或多或少都有亲人离世，都是中国人。我们需要发泄给那些不作为的官员看,0,2020-02-23 10:52
