评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//809022776,John阿虎,男,广东,15841,278,583,那真实情况是什么呢？,9,2020-05-13 09:41
https://weibo.cn//u/7175057248,永无止境的走下去,男,湖北,34,114,23,天河机场那个也是谣言吗？,2,2020-05-13 09:50
https://weibo.cn//u/3928528557,瑾瑶哈尼,女,其他,131,196,87,回复@二四六七八胡乱数小鸭:我只是开车路过，码有木有变红不知道，小区门口有人看守，每个小区都这样，也是正常的，居民也比较配合，出门的人比较少，（我没看到）有几个警察，应该也是为了维持秩序，没有网上那么夸张,0,2020-05-13 15:07
https://weibo.cn//u/5252905886,二四六七八胡乱数小鸭,女,湖北,80,491,34,回复@二四六七八胡乱数小鸭:嗯嗯，我不太熟悉那边。只是觉得问题来了就应该一起积极配合并努力解决，都是为自己也是为大家的事。,1,2020-05-13 12:46
https://weibo.cn//605415598,雨山前社林边,男,湖北,1144,247,269,不抓几个典型？,0,2020-05-13 12:27
https://weibo.cn//u/1477938954,reddress,女,湖北,20747,271,6507,回复@John阿虎:那个视频是小东门建材市场铺面要求市场减租,0,2020-05-13 12:13
https://weibo.cn//utenahz,utena_hz,女,湖北,992,430,644,回复@i番茄炒蛋:昨天那个特警视频是小东门商户要求减租，封小区街道和警察就够了，居民都不会因为封小区去闹事的，虽然有抱怨，但是都能理解，大家都自愿配合的，要特警干嘛呢,0,2020-05-13 11:13
https://weibo.cn//u/1886529754,语惑默,男,湖北,164,331,129,回复@John阿虎:从周围环境很容易分辨，视频不是发生在三民小区。虽然全封闭给生活带来不便，小区居民有抱怨，但还是很配合封控。,2,2020-05-13 11:09
https://weibo.cn//u/1886529754,语惑默,男,湖北,164,331,129,回复@二四六七八胡乱数小鸭:从周围环境看，视频中的场景不是三民小区的。虽然有抱怨，但小区居民还是很配合。,1,2020-05-13 11:06
https://weibo.cn//u/7403189117,苦行者ffffffff,女,其他,968,259,12,那真实情况啥样的,0,2020-05-13 10:36
https://weibo.cn//u/5252905886,二四六七八胡乱数小鸭,女,湖北,80,491,34,其实辟谣的同时还很想看到真实的情况，希望以后辟谣的同时能带上事实。,2,2020-05-13 10:32
https://weibo.cn//u/5252905886,二四六七八胡乱数小鸭,女,湖北,80,491,34,回复@阿拉丁神灯阿里巴巴:我在微信群里都看笑了,0,2020-05-13 10:31
https://weibo.cn//u/7175057248,永无止境的走下去,男,湖北,34,114,23,回复@阿拉丁神灯阿里巴巴:有些人脑子有毛病,0,2020-05-13 10:10
https://weibo.cn//u/6997325690,maninblack16434,男,其他,82,132,35,回复@阿拉丁神灯阿里巴巴:还有那么多人相信和转发，无语,0,2020-05-13 10:08
https://weibo.cn//u/6997325690,maninblack16434,男,其他,82,132,35,回复@阿拉丁神灯阿里巴巴:关键是在微信群里传，专门忽悠中老年人，制造恐慌,2,2020-05-13 10:05
https://weibo.cn//u/6997325690,maninblack16434,男,其他,82,132,35,回复@永无止境的走下去:肯定是的,0,2020-05-13 10:04
https://weibo.cn//u/7377280866,weiwang2020,男,其他,0,2,2,传谣也要警告加处罚,0,2020-05-13 09:56
https://weibo.cn//u/2874365264,迷星也行,男,其他,430,222,535,哦哦看到你们辟谣就放心了 肯定是真的,6,2020-05-13 09:52
https://weibo.cn//u/7175057248,永无止境的走下去,男,湖北,34,114,23,天河机场那个也是谣言吗？,2,2020-05-13 09:50
https://weibo.cn//u/2108782302,巨噬战术-狼魂龙威,男,湖北,7159,330,247,那么真实情况是？,4,2020-05-13 09:48
https://weibo.cn//809022776,John阿虎,男,广东,15841,278,583,那真实情况是什么呢？,9,2020-05-13 09:41
https://weibo.cn//u/2692043620,冬季过不完了,男,湖北,1082,148,134,不谈真实情况那就是选择性辟谣，红码还是特警？,5,2020-05-13 09:36
