评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1752649673,一直行走的木木,男,其他,3591,892,546,先别据说好不好，时间地点人物不讲清楚就据说可不好，李医生当时可没有据说，这种据说还是应该查一下，追溯源头，让最初的据说带大家到医院看看有没有感染者,4,2020-07-02 09:06
https://weibo.cn//u/5888620020,漆黑的麦子,男,湖北,1,60,49,不好说真假，但愿是假的,3,2020-07-02 07:28
https://weibo.cn//u/1245842265,夏天迅捷,男,北京,109,336,93,通知公安训诫他们，让他们写训诫书，和那个李刚医生一样。,2,2020-07-02 06:42
https://weibo.cn//u/7363085739,不吃鱼的猫猫猫猫咪,男,湖北,126,56,1,造谣生事者下地狱！,0,2020-07-07 15:00
https://weibo.cn//u/7471918521,追口罩的人,男,安徽,18,20,6,感谢辟谣，我知道该怎么办了,0,2020-07-02 12:37
https://weibo.cn//u/6599408796,大家好呀我叫汪杭,男,其他,56,415,43,回复@特送分:,0,2020-07-02 10:56
https://weibo.cn//u/1245842265,夏天迅捷,男,北京,109,336,93,回复@吹吧吹吧你们满世界吹:现在网上的事都让人难辨真假，谁知道背后是什么呢？,0,2020-07-02 10:42
https://weibo.cn//u/5993587621,呆在一边玩泥巴呀,女,湖北,42,110,79,佬们武汉现在都没有病例，还说武汉有几十人中招，中你🐎匹。     举报             赞[0]         回复             2020-07-02 09:34:55 来自网页,0,2020-07-02 09:34
https://weibo.cn//u/2289335063,我只想发财666,男,湖北,79,1906,1381,回复@吹吧吹吧你们满世界吹:多的是这种人,0,2020-07-02 09:15
https://weibo.cn//u/1752649673,一直行走的木木,男,其他,3591,892,546,先别据说好不好，时间地点人物不讲清楚就据说可不好，李医生当时可没有据说，这种据说还是应该查一下，追溯源头，让最初的据说带大家到医院看看有没有感染者,4,2020-07-02 09:06
https://weibo.cn//u/3878241229,粉红顽皮猪35,男,其他,399,237,64,回复@乐悦落:所以群里传了就是真的？什么狗屁逻辑？什么时候微信转发等于真相了？,0,2020-07-02 08:39
https://weibo.cn//u/1184522270,乐悦落,男,江苏,644,1732,224,那群里传的是什么？真相是什么样的？请告知真相,2,2020-07-02 08:31
https://weibo.cn//u/7214249661,孔乙己93096,男,其他,2,90,1,回复@漆黑的麦子:要是真的，高中开学绝对会延迟,0,2020-07-02 08:29
https://weibo.cn//u/5413895247,GoodbyeMee,女,湖北,597,248,132,还强调新冠变异，武汉人中招…不变异大多数武汉人也没有免疫力。几十人就可以说明一个病毒变异了,5,2020-07-02 07:54
https://weibo.cn//u/5888620020,漆黑的麦子,男,湖北,1,60,49,不好说真假，但愿是假的,3,2020-07-02 07:28
https://weibo.cn//u/2899698755,我自愿加入,男,香港,1987,49,108,据说...,0,2020-07-02 07:06
https://weibo.cn//dltengling,腾灵,女,辽宁,19495,1233,2621,坐等造谣者落网,0,2020-07-02 07:04
https://weibo.cn//u/1245842265,夏天迅捷,男,北京,109,336,93,通知公安训诫他们，让他们写训诫书，和那个李刚医生一样。,2,2020-07-02 06:42
https://weibo.cn//normansun1993,意志战车vac,男,其他,9881,4338,39,以正视听,1,2020-07-02 06:25
