评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6887323000,zmh886,男,四川,2017,79,10,造谣者严惩，如无相关法律加紧制定，实施，轻者拘留十天半个月，重则监禁三五十年的。,0,2020-08-06 17:59
https://weibo.cn//u/1445403190,财富密钥,男,北京,91161,2923,1018215,现在防疫信息如此透明，还有造谣疫情的？//,0,2020-08-06 17:42
https://weibo.cn//u/1894782481,牧羊在梦游,男,上海,2216,486,152,李医生事件开始也是这么辟谣的,3,2020-08-06 16:06
https://weibo.cn//joulepow,A320-271N,男,广东,444,189,71,回复@阿拉丁神灯阿里巴巴:不要地域黑,0,2020-08-07 13:32
https://weibo.cn//u/6887323000,zmh886,男,四川,2017,79,10,造谣者严惩，如无相关法律加紧制定，实施，轻者拘留十天半个月，重则监禁三五十年的。,0,2020-08-06 17:59
https://weibo.cn//u/1445403190,财富密钥,男,北京,91161,2923,1018215,现在防疫信息如此透明，还有造谣疫情的？//,0,2020-08-06 17:42
https://weibo.cn//u/1435381527,一个有故事的人,男,湖北,229,141,215,回复@牧羊在梦游:造谣的人都是这说辞,0,2020-08-06 17:42
https://weibo.cn//u/1894782481,牧羊在梦游,男,上海,2216,486,152,李医生事件开始也是这么辟谣的,3,2020-08-06 16:06
https://weibo.cn//u/6807765802,猫儿_小白007,男,其他,27,749,47,现在很怕狼来了,0,2020-08-06 14:50
https://weibo.cn//u/5768389436,浊酒烬,女,湖北,1,209,30,回复@阿拉丁神灯阿里巴巴:嘴巴干净点！你什么德行？,0,2020-08-06 11:32
https://weibo.cn//u/2147295457,青蛙骑士zhonglin,男,其他,811,147,149,回复@阿拉丁神灯阿里巴巴:无脑喷 地域黑 呵呵  什么德行,4,2020-08-06 09:11
https://weibo.cn//u/5840464019,yxy蜕变,女,内蒙古,365,130,52,对造谣者要严加惩处,0,2020-08-06 09:10
https://weibo.cn//u/6333811262,我最喜欢玩乐高,女,湖北,1713,238,189,最近造谣的怎么这么多，真是讨人嫌,0,2020-08-06 08:52
https://weibo.cn//u/7399785644,天天上早操,男,湖北,1439,326,18,抓着造谣的请直接枪毙,0,2020-08-06 08:23
https://weibo.cn//u/7348408077,笑看风云A2020,男,其他,204,83,61,这个就真该抓了,2,2020-08-06 08:10
https://weibo.cn//u/2772781777,北国公主12,女,湖北,416,841,116,这些造谣的人一定要抓住严重处罚。,1,2020-08-06 07:06
https://weibo.cn//u/1980577607,红楼墨子,女,湖北,9678,274,643,现在造谣的是吃饱了撑的吗，制造恐慌对他有什么好？,0,2020-08-06 01:53
https://weibo.cn//stamfordraffles,FamousFootwear,男,其他,11,43,53,回复@一粒青空:诈骗岛台湾的网络特务一直都在干这事。,4,2020-08-06 00:39
https://weibo.cn//xiabingxiejiang,8181金银眼,男,西藏,41,493,240,回复@一粒青空:好像因为这个短时间内第二次辟谣了。宁波进出超市好久没被量体温了，近两天又开始了。,1,2020-08-06 00:32
https://weibo.cn//333097999,20土豆20,男,广东,12,291,256,造谣者可耻,3,2020-08-06 00:13
https://weibo.cn//519749012,懒羊羊的牛小迷,女,湖北,32051,794,20820,     举报             赞[0]         回复             2020-08-06 00:12:38 来自网页,0,2020-08-06 00:12
https://weibo.cn//u/5270107841,无关紧要10025,男,湖南,194,370,1,，,0,2020-08-06 00:10
