评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2612402393,YESMAN945,男,湖北,1570,1794,90,拘留就完事了,10,2020-09-28 08:43
https://weibo.cn//u/6490279772,雪后茉莉之雪中飞舞,女,广西,4927,343,28,这个谣言是从哪里传出来的？,3,2020-09-28 08:46
https://weibo.cn//577481133,黄永耀,男,广东,32179,2700,523627,转发微博,0,2020-09-28 08:45
https://weibo.cn//u/7379673175,陆芸清清,男,其他,31,15,1,这种人有毛病，神经病,1,2020-09-28 19:48
https://weibo.cn//u/1552275594,新新向余,女,新疆,499,26,83,国难当头，妖言惑众，进而人心惶惶。造谣者要付出代价的，斩首示众吧,1,2020-09-28 14:10
https://weibo.cn//u/6120951460,荒柯旭染,女,湖北,346,116,15,拘留！严惩！,0,2020-09-28 13:49
https://weibo.cn//u/6090641317,大梦初醒2018zd,女,湖北,238,115,109,怎么这么讨厌？可恨？,0,2020-09-28 13:15
https://weibo.cn//u/5707682261,水边的一条鱼,男,其他,100,90,41,造谣者怎么处理的？,1,2020-09-28 11:34
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3600,265,1403,网传武汉协和医院“昨天来了个疑似，今天就确诊了”，假的,0,2020-09-28 09:37
https://weibo.cn//zhleoo,stitt砳砳,男,湖北,2,91,21,必须拘留，太过分了，伤害我们,3,2020-09-28 09:20
https://weibo.cn//u/3622379763,小朋友在哭,男,湖北,1,83,293,搞不好又是朋友圈,0,2020-09-28 09:16
https://weibo.cn//u/2012763951,寒冬渐去2020,女,湖北,2003,33,71,转发扩散 ,0,2020-09-28 09:10
https://weibo.cn//u/1756749157,怕天黑的小小黑,女,海外,123,365,134,问题是从哪里传出来的？,0,2020-09-28 09:09
https://weibo.cn//angelayanglin90,武汉长江新城发布长江新区,男,湖北,32842,200,1254,造谣生事的这些东西抓起来，公开曝光。,3,2020-09-28 08:47
https://weibo.cn//u/6490279772,雪后茉莉之雪中飞舞,女,广西,4927,343,28,这个谣言是从哪里传出来的？,3,2020-09-28 08:46
https://weibo.cn//577481133,黄永耀,男,广东,32179,2700,523627,转发微博,0,2020-09-28 08:45
https://weibo.cn//u/2612402393,YESMAN945,男,湖北,1570,1794,90,拘留就完事了,10,2020-09-28 08:43
