评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//416525000,我爱大米鱼,男,湖北,13805,1747,10546,我只信任官方消息，其他微信群消息飘过,3,2020-12-12 22:40
https://weibo.cn//u/2192231030,riverside2019,男,湖北,2706,770,383,疫情都还没有完结 武汉人都还没敢摘口罩 明知道自己题材敏感 明知道会引起观众疑虑 为什么不在现场举牌明示是拍电影消除影响？！现在闹大了 居然是剧组人员跳出来教育大家别传谣 我只有一句xxx送给他们,9,2020-12-13 06:35
https://weibo.cn//u/6333811262,我最喜欢玩乐高,女,湖北,1713,238,189,最近好多明星来武汉,1,2020-12-12 23:39
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3600,265,1403,辟谣！网传武汉有小区紧急隔离排查，假的！是剧组在拍电影,0,2020-12-14 09:28
https://weibo.cn//shizhe0411,风起浪成,男,江苏,83,1197,276,吓出毛病来了都,0,2020-12-13 13:34
https://weibo.cn//u/1581801401,顿河轻骑兵,男,海外,6931,590,648,拍电影应该提前在相关媒体和地区 发布消息 以免引发恐慌,3,2020-12-13 10:27
https://weibo.cn//u/2192231030,riverside2019,男,湖北,2706,770,383,疫情都还没有完结 武汉人都还没敢摘口罩 明知道自己题材敏感 明知道会引起观众疑虑 为什么不在现场举牌明示是拍电影消除影响？！现在闹大了 居然是剧组人员跳出来教育大家别传谣 我只有一句xxx送给他们,9,2020-12-13 06:35
https://weibo.cn//u/5705066431,秋日之寒,女,湖北,15,158,4,     举报             赞[0]         回复             2020-12-13 00:01:02 来自网页,0,2020-12-13 00:01
https://weibo.cn//lovesj19801113,xingqinghsq,女,湖北,7024,246,4441,哈哈哈哈哈哈武汉人真的有在努力防疫,0,2020-12-12 23:50
https://weibo.cn//u/6333811262,我最喜欢玩乐高,女,湖北,1713,238,189,最近好多明星来武汉,1,2020-12-12 23:39
https://weibo.cn//u/1400161265,大山的尖叫,男,湖北,20753,3354,2851,就在横店拍多好,1,2020-12-12 23:02
https://weibo.cn//u/2759348142,武汉发布,男,湖北,139277,496,3791240,回复@我爱大米鱼:,0,2020-12-12 22:48
https://weibo.cn//taiji1943,太极德,男,湖北,7010,171,246,01，01，我是02，在我的左翼了发现美军。,0,2020-12-12 22:47
https://weibo.cn//416525000,我爱大米鱼,男,湖北,13805,1747,10546,我只信任官方消息，其他微信群消息飘过,3,2020-12-12 22:40
