微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JyGE9sdPK,"转发理由:#警方通报# 拉萨一网民p图造谣“南京禄口机场遣返成都乘客”被行政拘留！  
原始用户: 拉萨网警巡查执法
转发内容: 警情通报#微博辟谣# @平安拉萨 @西藏网警  [组图共3张] 原图 ",,无,"http://ww2.sinaimg.cn/large/c6bfa5dagy1glos5xlm94j20gv0l6x2f.jpg,http://ww3.sinaimg.cn/large/c6bfa5dagy1glos5zl5q1j20bx08gtg9.jpg,http://ww3.sinaimg.cn/large/c6bfa5dagy1glos61ihy7j209c0azmx8.jpg",FALSE,无,无,2020/12/16 8:09,无,71,9,27,1
Jy7s2CepY,"转发理由:#微博辟谣#   
原始用户: 南京禄口国际机场官方微博
转发内容: 根据国家疫情防控相关要求，南京机场于12月8日在T1、T2国内航班到达测温点均设置相关公告牌。 微博网友Shawn99999999于12月12日发布的恶意P图，严重违背事实，扰乱防疫公共秩序，属于违法行为。目前，公安机关已介入调查。希望广大网友不信谣不传谣，杜绝不实信息肆意传播，共同维护清朗网络空间。如发现任何问题请及时@南京禄口国际机场官方微博。 http://t.cn/RzB2PXm 原图 ",,无,http://wx1.sinaimg.cn/large/005BH7fygy1glkzxj9aa6j31qi5wm4qr.jpg,FALSE,无,无,2020/12/12 14:33,无,72,9,31,1
JvvhJ2Vkf,【网上散布"上海封城"谣言 涉事男子被行拘】11月24日晚，上海市公安局官方微博@警民直通车—上海 发布警情通报：11月22日，网上流传“上海封城”的谣言，市疫情防控工作新闻发布会迅速辟谣。目前，警方已抓获造谣者赵某。经查，赵某为哗众取宠，通过社交媒体发布上述谣言，造成恶劣社会影响。现赵某已被依法行政拘留。http://t.cn/A6GmqvXI ,,无,无,TRUE,无,无,2020/11/25 9:42,微博 weibo.com,26,4,6,1
JgNzpcUsr,"转发理由:#微博辟谣# 第二张图片流传挺广  
原始用户: 微博五通桥
转发内容: 【辟谣第二波……】今日上午，有大量涉及我区化工厂的不实图片和视频在网上传播……  [组图共3张] 原图 ",,无,"http://ww4.sinaimg.cn/large/7753ca2bgy1ghxbkydv49j20go0m8acc.jpg,http://ww2.sinaimg.cn/large/7753ca2bgy1ghxbky9tlpj20go0m8tan.jpg,http://ww1.sinaimg.cn/large/7753ca2bgy1ghxbkykt75j20u01t041s.jpg",FALSE,无,无,2020/8/20 16:41,微博 weibo.com,73,141,24,1
JgLpkdKyr,#微博辟谣##网警小苏说# 今天是#世界蚊子日# ，你是否担心过，被蚊子叮咬后，感染上新冠病毒？不要怕，这是谣言！ 江苏网警的微博视频  ,,无,无,TRUE,无,无,2020/8/20 11:10,无,255,94,79,1
JbVpI5mfe,【#美主持人辟谣口罩藏5G天线且致癌# 】疫情发生后，戴口罩这一行为在美国一直被黑化，社交媒体甚至出现了，一次性口罩中含有5G天线，目的是通过无线电波跟踪并控制民众，最终会导致人们大脑患癌由于谣言不断在网络上扩散，美国CBS电视台无奈只能特意制作节目，为观众讲解口罩上用来压紧鼻子的金属条，究竟是什么构造中国网友：信这种谣言的，怕不是脑子已经患了“癌” http://t.cn/A6yQDIgF ,,无,无,TRUE,无,无,2020/7/19 15:27,无,101,12,44,1
JbcPNrw5u,#微博辟谣##警方通报# 【#武汉2人散布涉汛情虚假信息被处理# 】14日，武汉警方通报两起散布涉汛情虚假信息的违法行为：7月7日，网民吴某某（女，住江夏区）在微信群转发翻炒武汉市2016年暴雨渍水旧闻：“暴雨攻陷武汉中心城区”“交通全面瘫痪”等，造成不良影响。江夏区公安分局依法对其予以行政处罚。7月6日，网民高某（男，住硚口区）在微信群中传发“大水漫灌一停车场”的视频，并称系“市民之家地下停车场”。经查，该视频为虚假信息。公安机关依法工作后，该网民认识到错误，并在该群内辟谣、郑重道歉。 [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/005VzNEvly1ggquifstdmj30d00gtmy5.jpg,http://ww2.sinaimg.cn/large/005VzNEvly1ggquigioj3j30hw0ebdhd.jpg,http://ww4.sinaimg.cn/large/005VzNEvly1ggquifbvx1j30hw0fsjt7.jpg",无,TRUE,无,无,2020/7/14 21:58,无,104,17,32,2
J9XXTkEVp,#微博辟谣##高考前最后一天# 【高考准考证丢失谣言，如约而至！】从“白娅倩”到“杨雷雷”，再到“杨贵兰”，每年高考期间都会出现丢失准考证的谣言。虽然今年高考因为疫情影响延期举行，但谣言还是“虽迟但到，如约而至”！同样内容，换一下姓名和手机号，没想到还有人相信不过，如果真的捡到准考证该怎么做？小苏告诉你！ [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/005VzNEvly1gghf22zfdcj30b407jgm6.jpg,http://ww4.sinaimg.cn/large/005VzNEvly1gghf23fmb0j30fa0e140m.jpg,http://ww2.sinaimg.cn/large/005VzNEvly1gghf23w30rj30cw0m8ab3.jpg,http://ww1.sinaimg.cn/large/005VzNEvly1gghf22hz3yj30ho4xvqjk.jpg",无,TRUE,无,无,2020/7/6 18:16,无,79,21,14,1
J7OgN7CxG,"转发理由:#微博辟谣# 孝感网警辟谣//@孝感网警巡查执法:网传孝感私家车数月无人认领车主抗疫已去世为谣言！别信！  
原始用户: 孝感晚报
转发内容: 【他还活着】近日，网友声称车主将车停在槐荫公园后去世的消息引起网民关注。6月22日，经有关部门核查，证实车主仍在世。目前，公安机关已联系到车主核实情况。车主的一位朋友告诉记者，这几天看到很多人都在讨论这辆车的事，才知道网传车主去世的消息。事实上，该车是公司所属车，车主身体健康，目前在孝感。对于网友声称车主去世一事，该知情人士称车主会对消息发布者发起起诉。车主也发了声明，奉劝发帖者迅速消除影响，也请广大网民不要以谣传谣。记者 张婷 侯伶俐 [组图共2张] 原图 ",,无,"http://ww2.sinaimg.cn/large/70a90592gy1gg0xyfyjtmj20u00ff7gh.jpg,http://ww2.sinaimg.cn/large/70a90592gy1gg0xy7f87jj20u0140ads.jpg",FALSE,无,无,2020/6/22 13:55,无,20,7,6,1
J6LrDxSmS,"转发理由:#微博辟谣# 这款病毒还有个亲戚，叫“SB250” 查看图片  
原始用户: 南通网警巡查执法
转发内容: #微博辟谣# 【网传南通孕妇感染H7N9死亡系谣言】近日，南通人的朋友圈、微博又开始流传“南通人民医院医生昨天凌晨四点二十一分因H7N9死亡!年龄31岁,孩子还在妈妈的肚子里,参与抢救的医生已被隔离.紧急通知:刚刚中央二套电视新闻己播出、暂时别吃鸡肉、鸭肉,因辽宁到南通5570头家禽感染了.南通刚开完紧急会议.南通市已有多人被感染,如皋有一个,海安一个,启东一个......“。这则消息南通网警早在2014年、2018年就辟过谣。南通网警提醒：不信谣、不传谣、不造谣，对于恶意制造传播谣言的公安机关将依法处理。 [组图共2张] 原图 ",,无,"http://ww4.sinaimg.cn/large/9e0d56bcgy1gfs2rust5uj20hk07n0tq.jpg,http://ww1.sinaimg.cn/large/9e0d56bcgy1gfs2ryg0y3j20hm0c8mzf.jpg",FALSE,无,无,2020/6/15 16:53,微博 weibo.com,74,38,42,2
J6Kq6762v,"转发理由:#微博辟谣# 关于北京疫情，这些都别信！  
原始用户: 首都网警
转发内容: #微博辟谣#【关于北京疫情，这些都是谣言别信！】北京市近日连续暴发新冠肺炎确诊病例和核酸检测阳性病例，随之而来的就是关于北京疫情的谣言……别慌！@首都网警 带您#疫起捉谣#  呼吁：防控不能松懈，重视但不恐慌，保持冷静与理智就是对疫情防控的最大支持！#万众一心 百毒不侵# #净网护网,有你有我# [组图共5张] 原图 ",,无,"http://ww3.sinaimg.cn/large/8e648fcfly1gfstr6wa3ij20m80m8dny.jpg,http://ww1.sinaimg.cn/large/8e648fcfly1gfstr9ws0oj20m812wwnz.jpg,http://ww1.sinaimg.cn/large/8e648fcfly1gfstracsn7j20m812w7g7.jpg,http://ww2.sinaimg.cn/large/8e648fcfly1gfstraabxbj20m81jk1co.jpg,http://ww4.sinaimg.cn/large/8e648fcfly1gfstra0x3lj20m815cqda.jpg",FALSE,无,无,2020/6/15 14:16,无,7,2,4,1
J6Ir41uKa,"转发理由:#微博辟谣# 腾讯微信辟谣  
原始用户: 腾讯微信团队
转发内容: #微信[超话]#  微信并未提供过下图提及的数据，请大家认准卫生防疫部门官方信息发布渠道，勿信谣传谣。  原图 ",,无,http://wx1.sinaimg.cn/large/730f3e65gy1gfs1ij3wwzj20ch0c80uc.jpg,FALSE,无,无,2020/6/15 9:13,无,20,5,11,1
J14Zjc5S1,"转发理由:#警方通报# #微博辟谣# 南京一网民因造谣“五名小学生手拉手跳楼”被依法处理！  
原始用户: 平安南京
转发内容: #警方通报#   [组图共2张] 原图 ",,无,"http://ww3.sinaimg.cn/large/75985641gy1gelinm7wc2j20u01ns7g2.jpg,http://ww4.sinaimg.cn/large/75985641gy1gelinn0y7xj20sp180gsr.jpg",FALSE,无,无,2020/5/9 7:36,无,96,15,28,1
J0ZBWdcti,#微博辟谣# 【南京五名小学生手拉手跳楼？假的！】 据@江苏省互联网举报中心 ，今日网传消息称，“南京五名小学生手拉手跳楼”。经向教育主管部门求证，群聊截图内容系网络谣言，请大家不信谣、不传谣，共同维护清朗网络空间  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/005VzNEvgy1gel6yweg3nj30kd0erq52.jpg,http://ww4.sinaimg.cn/large/005VzNEvgy1gel6yzld93j30j63zm47v.jpg",无,TRUE,无,无,2020/5/8 17:55,微博 weibo.com,122,14,42,1
