评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6053348587,我要飞-123,女,湖北,3331,457,52,网络谣言传播者越来越无法无天了,3,2020-04-20 12:33
https://weibo.cn//u/1775571203,天琪琊,女,江苏,672,168,37,这都可以造假，这些造谣传谣的号和人希望能受到严惩，不要轻轻放过了。,4,2020-04-20 11:47
https://weibo.cn//u/3253027590,李华鹏lhp,男,海外,143,29,173,网传江苏师大迷奸案，警方不立案。你怎么看？,1,2020-04-20 12:55
https://weibo.cn//u/6261568831,俊_ideal,男,海南,1,89,7,回复@连云港冯志:你们是历史不好吗还是没文化？几千年的士农工商岂是那么容易变的？从古至今都是官老爷说的算，你们算什么东西,0,2020-05-10 18:01
https://weibo.cn//u/6261568831,俊_ideal,男,海南,1,89,7,回复@一墨之舟:这是一个小说里现实中的大家族，一方诸侯，不要为难网警同志了,0,2020-05-10 17:57
https://weibo.cn//u/7336372498,燕子7336372498,女,广西,98,19,1,这种话任何一个官方都不会说的，造谣的人都不动脑子的吗。,0,2020-04-28 18:51
https://weibo.cn//u/7366414330,连云港冯志,男,北京,78,94,12,举报连云港市公安局港口分局局长魏学林，我已经做好随时和贪官魏学林同归于尽的准备，魏学林滥用职权，为多名涉案违法违纪民警求情，多次以港局长身份到连云港市连云区检察院求情。包庇渎职涉案民警多人，魏学林扬言在北京中央他有关系，不怕纪检监察，还说自己即将到连云港市公安局当副政委。 ,0,2020-04-26 10:11
https://weibo.cn//u/7366414330,连云港冯志,男,北京,78,94,12,举报连云港市公安局港口分局局长魏学林，我已经做好随时和贪官魏学林同归于尽的准备，魏学林滥用职权，为多名涉案违法违纪民警求情，多次以港局长身份到连云港市连云去检察院求情。包庇渎职涉案民警多人，魏学林扬言在北京中央他有关系，不怕纪检监察，还说自己即将到连云港市公安局当副政委。 ,1,2020-04-26 01:42
https://weibo.cn//u/7366414330,连云港冯志,男,北京,78,94,12,举报连云港市公安局港口分局局长魏学林，我已经做好随时和贪官魏学林同归于尽的准备，魏学林滥用职权，为多名涉案违法违纪民警求情，多次以港局长身份到连云港市连云去检察院求情。包庇渎职涉案民警多人，魏学林扬言在中央有关系，不怕纪检监察，还说自己即将到连云港市公安局当副政委。 ,0,2020-04-26 01:42
https://weibo.cn//u/6362368989,达西西2005,男,其他,23,48,4,回复@李华鹏lhp:还是看看当事人回应吧@孙首灿_江苏师大,0,2020-04-25 12:26
https://weibo.cn//u/7417257253,一墨之舟,男,其他,53,68,4,许小姐辱骂医务人员的事处理了么？,1,2020-04-23 20:28
https://weibo.cn//u/3973276271,拼命小二儿郎,男,河南,29,17,42,回复@刚刚会用微博的王胖子:吓死他们吧！诺大一个许州都能一手遮天，这背景他们不敢查的。,0,2020-04-22 11:29
https://weibo.cn//u/6004149318,王胖子为啥不可用,男,宁夏,160,27,6,许可馨辱国事件您怎么看？还是不敢看？,4,2020-04-22 01:57
https://weibo.cn//u/6148275088,乙酸乙酯水溶液,女,其他,219,90,11,只希望别搞啥江山娇之类的饭圈游戏拉低档次了,0,2020-04-20 18:17
https://weibo.cn//u/1788735744,朱一龙的大黑粉,女,海外,459,413,370,按共青团的尿性，说这些话也正常,1,2020-04-20 12:59
https://weibo.cn//u/3253027590,李华鹏lhp,男,海外,143,29,173,网传江苏师大迷奸案，警方不立案。你怎么看？,1,2020-04-20 12:55
https://weibo.cn//u/6053348587,我要飞-123,女,湖北,3331,457,52,网络谣言传播者越来越无法无天了,3,2020-04-20 12:33
https://weibo.cn//u/6029443687,一只小仓鼠名叫可可逗,女,内蒙古,1652,643,170,对于造谣的很多人以为可以不受制裁，但网络不是法外之地，造谣必将受到惩处！//,0,2020-04-20 11:51
https://weibo.cn//u/1775571203,天琪琊,女,江苏,672,168,37,这都可以造假，这些造谣传谣的号和人希望能受到严惩，不要轻轻放过了。,4,2020-04-20 11:47
