评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3179400732,海盐味汽水·,女,江苏,1643,592,13105,现在呢,2,2020-01-21 13:14
https://weibo.cn//u/5279835858,0梦一场0,男,河南,42,39,46,无锡的工厂人流真的很大，而且很多员工文化程度不高，自我防护意识淡薄，都不戴口罩，坐厂车，餐厅吃饭人流都很密集，建议采取措施，网吧景区都可以关为什么工厂不能关，,1,2020-01-26 00:51
https://weibo.cn//u/5409700602,兄弟干了这碗鸡汤,男,江苏,88,231,46,所以有人造谣能举报吗？举报了受理吗？,0,2020-01-22 22:12
https://weibo.cn//u/5279835858,0梦一场0,男,河南,42,39,46,无锡的工厂人流真的很大，而且很多员工文化程度不高，自我防护意识淡薄，都不戴口罩，坐厂车，餐厅吃饭人流都很密集，建议采取措施，网吧景区都可以关为什么工厂不能关，,1,2020-01-26 00:51
https://weibo.cn//u/7295461678,aliali-aaa,男,其他,28,73,55,现在2例,0,2020-01-24 03:08
https://weibo.cn//u/5409700602,兄弟干了这碗鸡汤,男,江苏,88,231,46,所以有人造谣能举报吗？举报了受理吗？,0,2020-01-22 22:12
https://weibo.cn//u/2140376717,先生Z糖是我的,男,江苏,1064,796,221,辟谣啥呢。。这种时候不是第一时间告知，还是捂 ,1,2020-01-22 17:38
https://weibo.cn//u/6940444160,顺顺利利哇DAYTOY,女,江苏,2324,240,1239,江苏挺住,1,2020-01-22 00:22
https://weibo.cn//u/3742576433,nehc丶nehc,男,江苏,1762,109,241,现在已经传的不像样了,0,2020-01-21 17:42
https://weibo.cn//xiaonan1989,Xiaonan8911,女,江苏,1553,177,518,造谣南通三院一例 ,0,2020-01-21 16:29
https://weibo.cn//u/6186128451,风言风语33333,女,其他,108,239,55,现在呢,0,2020-01-21 16:18
https://weibo.cn//u/3179400732,海盐味汽水·,女,江苏,1643,592,13105,现在呢,2,2020-01-21 13:14
https://weibo.cn//u/6126342991,franky200903,男,其他,15,63,34,造谣南京有两例，望严查,2,2020-01-21 12:54
https://weibo.cn//u/6129651679,今日份药药,女,其他,194,65,86,希望全国各地都不要再有🙏,0,2020-01-20 22:52
