评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1843437784,越努力越幸运227,女,江苏,5937,364,137,这到底真的假的啊，刚刚家校通还发了这条短信，署名还是我们市教育局，学校群里老师也发了这条,3,2020-01-26 20:00
https://weibo.cn//u/3984971891,式小微不想上夜班,女,湖北,1321,296,302,朋友圈都是这句话,1,2020-01-26 19:54
https://weibo.cn//u/1084214940,琥珀蛋糕想吃大螃蟹,女,辽宁,1363,179,112,我把辟谣截图发到业主群里，还没人信,2,2020-01-26 20:31
https://weibo.cn//u/6326205939,Acekuku,男,其他,9,78,104593,我被江苏的人骗了希望你们能看下我给你们的私信,0,2020-01-31 22:11
https://weibo.cn//u/5584293749,唯爱不三分,男,江苏,122,111,78,唉，没想到实际出来的人数这么多，怪不得感染人数那么多，蠢人误国啊，悲哀啊，悲哀啊,0,2020-01-27 09:07
https://weibo.cn//HMKKW,海斯聂耳,女,江苏,6869,701,213,学校老师今天发了这条通知……,0,2020-01-26 20:56
https://weibo.cn//u/1084214940,琥珀蛋糕想吃大螃蟹,女,辽宁,1363,179,112,我把辟谣截图发到业主群里，还没人信,2,2020-01-26 20:31
https://weibo.cn//u/5593257153,不是很妙,男,江苏,66,286,134,那些人闲的没事造谣干啥神经病,0,2020-01-26 20:24
https://weibo.cn//u/5293828316,千辰sky,男,江苏,7,68,18,哈？我们政府官博都发了，感情是造谣？,2,2020-01-26 20:06
https://weibo.cn//u/5643871487,是好运呀-3-,女,浙江,667,133,596,所以到底有没有啊,0,2020-01-26 20:05
https://weibo.cn//u/5610104874,良夜清风月满壶,男,江苏,1207,402,301,回复@高斯定理:这种时候，大家心里都比较恐慌？,0,2020-01-26 20:02
https://weibo.cn//u/1843437784,越努力越幸运227,女,江苏,5937,364,137,这到底真的假的啊，刚刚家校通还发了这条短信，署名还是我们市教育局，学校群里老师也发了这条,3,2020-01-26 20:00
https://weibo.cn//u/3984971891,式小微不想上夜班,女,湖北,1321,296,302,朋友圈都是这句话,1,2020-01-26 19:54
https://weibo.cn//u/1823231797,为了重生我容易吗,男,浙江,120,127,83,哪有那个时间。还接受采访。刚接了任务。忙都忙死了,0,2020-01-26 19:54
https://weibo.cn//u/1903975320,治皮医性的马大夫,男,西藏,14259,724,78864,我的天啊。//,0,2020-01-26 19:52
https://weibo.cn//u/5688076677,KearChen,男,重庆,388,256,1448,真的吗     举报             赞[0]         回复             2020-01-26 19:50:41 来自网页,0,2020-01-26 19:50
