评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6256685223,程功书,男,江苏,235,349,193,抓到这个人关他个十年八年的，,2,2020-01-26 19:41
https://weibo.cn//u/3106955365,叶子吥枯黄,男,海外,1291,224,303,传谣言的都该死,2,2020-01-26 18:41
https://weibo.cn//u/5354341158,小饼干嗷今天和蟹酿橙扯证啦,女,江苏,512,62,174,拜托让如东石甸曙光村村委会干点活的吧，真的什么都不干啊，短信没有，喇叭没有，农村老人天天聚一起打牌，我太难了！！,0,2020-01-26 19:53
https://weibo.cn//u/6326205939,Acekuku,男,其他,9,78,104593,我被江苏的人骗了希望你们能看下我给你们的私信,0,2020-01-31 22:11
https://weibo.cn//u/6697363595,南京小飞侠588,男,其他,74,93,85,回复@茜CcC66:应该能！只不过检查比较严,0,2020-01-27 00:59
https://weibo.cn//u/5748827308,Okjokull-,男,上海,126,76,762,也是该封城了,0,2020-01-26 22:20
https://weibo.cn//u/5737966122,相识于盖楼分别于足球,男,其他,45,176,352,请抓起来严判，造谣可耻,0,2020-01-26 20:57
https://weibo.cn//u/3913861767,起来嗨皮了,男,安徽,131,357,85,谣言是最可恨的，不传谣不信谣！,0,2020-01-26 20:43
https://weibo.cn//u/3267331994,Hubery_lu,男,江苏,429,243,455,这些人不知道怎么想的，损人不利己！,0,2020-01-26 20:33
https://weibo.cn//u/1801553632,茜CcC66,女,江苏,110,345,268,那我们初六能正常开车回南京吧，浙江的,1,2020-01-26 20:30
https://weibo.cn//u/7004703027,醉墨西歌91595,男,其他,20,133,6,通往南京的地铁还有吗,0,2020-01-26 20:09
https://weibo.cn//u/6441197592,神秘咬钢嚼铁,女,江苏,78,220,6,回复@叶子吥枯黄:传谣言的是蠢不会分辨，造谣的是真该死,1,2020-01-26 20:09
https://weibo.cn//u/5354341158,小饼干嗷今天和蟹酿橙扯证啦,女,江苏,512,62,174,拜托让如东石甸曙光村村委会干点活的吧，真的什么都不干啊，短信没有，喇叭没有，农村老人天天聚一起打牌，我太难了！！,0,2020-01-26 19:53
https://weibo.cn//u/5662883724,你说这是谁的故,男,其他,76,401,224,   这得处理一下吧 ,0,2020-01-26 19:42
https://weibo.cn//u/6256685223,程功书,男,江苏,235,349,193,抓到这个人关他个十年八年的，,2,2020-01-26 19:41
https://weibo.cn//xiaoshaozaibiechu,离开了X院从此没有人跟我说话,男,海外,805,475,500,这些传谣言的都特码神经病,2,2020-01-26 19:00
https://weibo.cn//u/6538393539,就叫御寒,男,其他,2,244,3,我的天，刚才还看到就寻思着上微博看看是不是真的，吓死我了,3,2020-01-26 18:46
https://weibo.cn//u/3106955365,叶子吥枯黄,男,海外,1291,224,303,传谣言的都该死,2,2020-01-26 18:41
