评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3535231345,徐哓明同學,男,江苏,750,476,369,什么鬼，造谣的人什么心态,7,2020-01-26 20:57
https://weibo.cn//u/3102451173,飘来飘去的喵喵喵,女,江苏,6510,1092,177,网警小哥哥小姐姐们，能逮到造谣的人吗！！不会还在偷着乐吧，太过分，大家都相信了,4,2020-01-26 21:02
https://weibo.cn//u/2691761087,孤单北半球的羡渔君,男,湖北,1190,272,273,从学校教师群里得到的消息，我以为是教育局通知的。结果闹了个这样的乌龙。这造谣的人真是可恶。,2,2020-01-26 21:04
https://weibo.cn//u/5333696722,1219-蕊力Relief,男,江苏,105,100,90,回复@孤单北半球的羡渔君:我们班级群之前也通知了,0,2020-02-03 10:47
https://weibo.cn//u/6326205939,Acekuku,男,其他,9,78,104593,我被江苏的人骗了希望你们能看下我给你们的私信,0,2020-01-31 22:10
https://weibo.cn//u/1798671682,大赵是一头猪,女,山西,270,499,553,造谣成真？切勿鼓励,0,2020-01-27 00:27
https://weibo.cn//u/5942062279,又在期待着,男,四川,3,154,41,牛逼，我还给我亲戚说，是假的，被辟谣了,0,2020-01-26 22:47
https://weibo.cn//yuukozzz,噩梦莉莉丝,女,其他,2908,942,193,我们还一直等     举报             赞[0]         回复             2020-01-26 21:40:11 来自网页,0,2020-01-26 21:40
https://weibo.cn//u/5475065244,小胡学弟,男,江苏,227,213,163,到底有无钟院士直播啊？😂,0,2020-01-26 21:22
https://weibo.cn//dugukai,獨孤凱本人,男,江苏,5705,205,145,那明晚的节目是白岩松跟钟南山的直播节目吗？,0,2020-01-26 21:20
https://weibo.cn//u/2205730477,尘光微晞,女,江苏,2191,332,199,这算是鼓励造谣？？？？,0,2020-01-26 21:19
https://weibo.cn//u/5686441086,佳期如梦1018,女,江苏,1094,384,108,学校里还一直让老师发群消息，让孩子看那个节目，短信也收到了，微信群也发了好几次了。试问这个造谣的人到底是何居心啊，唯恐天下不乱啊！你家就没有孩子了吗？,2,2020-01-26 21:14
https://weibo.cn//u/2691761087,孤单北半球的羡渔君,男,湖北,1190,272,273,从学校教师群里得到的消息，我以为是教育局通知的。结果闹了个这样的乌龙。这造谣的人真是可恶。,2,2020-01-26 21:04
https://weibo.cn//u/3102451173,飘来飘去的喵喵喵,女,江苏,6510,1092,177,网警小哥哥小姐姐们，能逮到造谣的人吗！！不会还在偷着乐吧，太过分，大家都相信了,4,2020-01-26 21:02
https://weibo.cn//u/3535231345,徐哓明同學,男,江苏,750,476,369,什么鬼，造谣的人什么心态,7,2020-01-26 20:57
