评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5720296321,法考法硕都给爷爬,男,江苏,546,560,775,信的人也是脑子不太好,5,2020-02-04 10:31
https://weibo.cn//u/6941664212,大碗冷面吃不饱呦,男,其他,895,410,730,虽然是谣言 其实我挺希望是真的  最近爆发期 病人还是增长的,4,2020-02-04 10:29
https://weibo.cn//u/2263670620,Suitmannick2020,男,江苏,176,445,847,南京未雨绸缪，早在2013年非典十周年之际就开建了，2015秒落成了“南京公共卫生医疗中心”（二院分院），专门收治此类病例。,3,2020-02-04 11:18
https://weibo.cn//u/3833496442,Ge-e-,女,江苏,160,632,2071,大家care的是把医院建在居民楼和学校周围这件事好吗,0,2020-02-05 18:14
https://weibo.cn//u/6801448984,kefty77883,男,其他,1,214,6,基本没玩过微博，希望有人能关注到这件事 ，转发的内容里规划的应急医院旁边就是小学，体校，选址的标准难道没有问题吗？,0,2020-02-05 14:19
https://weibo.cn//u/6801448984,kefty77883,男,其他,1,214,6,断章取义的辟谣警告，转发内容的重点是择址问题！！！北城小学，市体校仅一条不到10米的单行道之隔，周边1.5公里范围内是5所学校 ，火车站，大型超市及综合体，居民区无数，人口密集地段，ZF对隔离区的择址标准仅仅是因为肺部传染医院（南通第六人民医院）在那儿吗？所以不作考量就做了隔离区的嫁接区,0,2020-02-05 14:17
https://weibo.cn//u/5947298216,最可爱的蛋蛋酱,女,上海,88,194,53,回复@万古人间i:那下面高高兴兴的评论的都是些啥人(●—●),0,2020-02-04 15:46
https://weibo.cn//u/5675684046,万古人间i,女,江苏,206,244,100,回复@最可爱的蛋蛋酱:是的呀，害,0,2020-02-04 15:45
https://weibo.cn//u/5947298216,最可爱的蛋蛋酱,女,上海,88,194,53,回复@万古人间i:昂 那就是还是建在居民区学校旁啊，噫——那这辟的谣也没啥用,0,2020-02-04 15:44
https://weibo.cn//u/3810228407,噗通不要跑,女,其他,404,51,163,造谣的想啥呢！管不住嘴和打字的手！,0,2020-02-04 14:50
https://weibo.cn//u/3549192757,Dorothyren,女,海外,945,215,153,回复@雷布斯今天又耍猴了么:南通这么难通，造谣的不用脑子的，怎么把病人运过去，空投？,2,2020-02-04 14:36
https://weibo.cn//u/5675684046,万古人间i,女,江苏,206,244,100,回复@最可爱的蛋蛋酱:辟谣辟的是临时医院不收治江苏省病人而是对南通服务这件事好吗,0,2020-02-04 14:34
https://weibo.cn//u/7365555631,黄忆慈同学,男,北京,3,1,11,沫沫的童鞋们！！,1,2020-02-04 13:46
https://weibo.cn//u/2478824911,不是Iris的木木,女,海外,66,427,66,希望最后不要打脸，谢谢zf🙏,1,2020-02-04 12:10
https://weibo.cn//u/5947298216,最可爱的蛋蛋酱,女,上海,88,194,53,辟谣啦？是不建在居民区学校旁边的意思吗,2,2020-02-04 11:51
https://weibo.cn//woolucky611,王高飞你号没了,男,江苏,839,241,52,其实我觉得该建，至少每个省该有一个,1,2020-02-04 11:25
https://weibo.cn//u/2607636781,磨牙少女,女,江苏,661,346,402,沙雕。。。。脑残,0,2020-02-04 11:22
https://weibo.cn//u/2263670620,Suitmannick2020,男,江苏,176,445,847,南京未雨绸缪，早在2013年非典十周年之际就开建了，2015秒落成了“南京公共卫生医疗中心”（二院分院），专门收治此类病例。,3,2020-02-04 11:18
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,两网民造谣“南通建设应急医院，集中安置江苏新冠肺炎病例”，被公安机关依法查处！,0,2020-02-04 10:47
https://weibo.cn//u/1898049284,阿囧283747,男,海外,147,52,42,为什么老是有人喜欢造谣呢？,0,2020-02-04 10:35
https://weibo.cn//u/5720296321,法考法硕都给爷爬,男,江苏,546,560,775,信的人也是脑子不太好,5,2020-02-04 10:31
https://weibo.cn//u/6941664212,大碗冷面吃不饱呦,男,其他,895,410,730,虽然是谣言 其实我挺希望是真的  最近爆发期 病人还是增长的,4,2020-02-04 10:29
https://weibo.cn//wxj000,很老的小狮子,女,江苏,1510,2704,37,这些人真是闲的没事干，尽添乱！,1,2020-02-04 10:05
https://weibo.cn//u/2395839722,庙风雪,男,其他,35756,397,453,加征信黑名单吧,0,2020-02-04 10:03
https://weibo.cn//u/6553594401,布隆大大,男,山东,612,485,709,     举报             赞[0]         回复             2020-02-04 10:02:34 来自网页,0,2020-02-04 10:02
https://weibo.cn//u/6416686933,玫瑰的诙谐曲,男,其他,4710,2054,757,应该顶格处罚了，行政拘留太便宜了。,1,2020-02-04 10:02
https://weibo.cn//577771754,erBeno,男,上海,6,109,3486,     举报             赞[0]         回复             2020-02-04 09:59:06 来自网页,0,2020-02-04 09:59
