评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//577995312,公益的那点事,女,江苏,12523,1739,185381,对于一些不确定的事情，大家可以用脑子想想，就能分辨真假 举报 赞[0] 回复 2020-02-03 18:00:22 来自网页,0,2020-02-03 18:00
https://weibo.cn//7439417,棒槌醣醣,男,江苏,6163,1327,2985,这是什么造谣？南通要收全省，南京人、苏州人、徐州人都同意了吗？,4,2020-02-03 17:59
https://weibo.cn//u/3395319362,1108某某_o,男,上海,113,193,135,视疫情发展情况而定,0,2020-02-04 09:03
https://weibo.cn//u/3635640743,没有人比我更懂FCB,男,海外,727,476,3133,散装大省名不虚传，就这有些人也能喷南通,0,2020-02-04 03:16
https://weibo.cn//u/7023910477,ZackaryZ7,男,其他,9,57,2,这谣是全南通人一块儿造的？而且怎么确定是南通人传出来的？假设在南通造，那也是某些市不愿意造南通做出的也是牺牲，到你们这变成南通自以为是病人根本不稀的到南通来？江苏真是团结，这些评论真是大善人！！,6,2020-02-04 00:33
https://weibo.cn//u/1877051431,微笑的枫清,男,江苏,570,1353,157,建在小学阶段旁边，选址也是迷了,0,2020-02-03 20:38
https://weibo.cn//u/3199009047,哎哟桃子很甜噢,男,江苏,376,218,937,那当初武汉那8个被抓的普通群众是因为什么被抓的,3,2020-02-03 20:26
https://weibo.cn//u/5732373012,btuu牛爷爷,男,江苏,118,200,55,视疫情发展情况而定？,0,2020-02-03 20:25
https://weibo.cn//u/2090575774,年轻的战场SC,男,江苏,8,17,252,回复@具甲武者:每个设区市都有传染病医院的吧，造谣的南通人什么玩意儿。,0,2020-02-03 18:18
https://weibo.cn//u/5596497121,现今以后呀,女,吉林,20,35,48,这个地址，周围一公里内，有个好几千人的小学，两所幼儿园，两公里内的学校就更多了，刚才热搜上不是还挂着，孩子是新型易感人群呢，合着也只是说说而已。,5,2020-02-03 18:12
https://weibo.cn//u/5334690895,具甲武者,男,江苏,262,138,83,还有说苏州不愿意建而让南通建的谣言,0,2020-02-03 18:09
https://weibo.cn//u/1630659835,斗室耕夫,男,江苏,2207,256,261,如果实更应该表扬啊？！大爱无疆，谁以邻为壑，自己最后也会遭殃。,0,2020-02-03 18:03
https://weibo.cn//ligangls,李岗的博,男,其他,6385,1032,63824,//,0,2020-02-03 18:02
https://weibo.cn//577995312,公益的那点事,女,江苏,12523,1739,185381,对于一些不确定的事情，大家可以用脑子想想，就能分辨真假     举报             赞[0]         回复             2020-02-03 18:00:22 来自网页,0,2020-02-03 18:00
https://weibo.cn//7439417,棒槌醣醣,男,江苏,6163,1327,2985,这是什么造谣？南通要收全省，南京人、苏州人、徐州人都同意了吗？,4,2020-02-03 17:59
