评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//123206230,陆眠眠,女,其他,6624,271,278,感觉不是谣言是误会啊，时间差带来的焦灼和猜测，大晚上到行李死活不到短时间又没人反馈信息是会带来各种猜测的，连饭都吃不上了行李在哪也不知道，还不许人家猜测可能性了吗？非要说是谣言也不合理……承认人手不足调度不及时造成了工作失误就那么难吗……都平和一点……精力放在抗疫上吧……,65,2020-02-11 10:32
https://weibo.cn//u/6378251095,小城工人123,男,辽宁,17,386,252,应该派人去把造谣的那几个人抓起来,17,2020-02-11 10:37
https://weibo.cn//u/6242570929,愿海水不咸,男,其他,12,68,8,回复@相约好心情:营销号的点击量高，新浪会给他广告提成，所以新浪这种营销模式才是真正的万恶之源,0,2020-02-17 22:08
https://weibo.cn//u/6802205298,京都姿梦666,女,四川,44,154,55,武汉家里上有老下有小，一大家子人，结果一大家人几乎都生病了，作为朋友，我们就到他家里去帮助他。他已经焦头烂额，有些放在平时很正常的礼节实在是顾不上了，也没有精力和能力请大家吃顿好的来表示感谢。我觉得既然大家都是朋友，非常时期，咱就不要太挑这些东西了，帮着共渡难关才是正事。,0,2020-02-12 17:38
https://weibo.cn//u/6122423875,鄂A02陆0W,女,其他,184,193,2,回复@树的思维_mars:我这么说的时候，还有人说我造谣要抓我。,0,2020-02-12 01:41
https://weibo.cn//bluehair,头像恶心丹麦谁骂水傻插,男,海外,11093,936,1271,误会原因就是武汉组织还是这么混乱//,0,2020-02-11 18:46
https://weibo.cn//u/6722136872,我爱有钱有钱爱我,女,云南,288,484,114,回复@陆眠眠:,0,2020-02-11 18:45
https://weibo.cn//bluehair,头像恶心丹麦谁骂水傻插,男,海外,11093,936,1271,回复@kjx-阿轲:只辟谣没丢没被抢，没辟谣人跟行李物资分离一整夜吧？！,1,2020-02-11 18:41
https://weibo.cn//123206230,陆眠眠,女,其他,6624,271,278,回复@我爱有钱有钱爱我:没事，多看看战哥，少刷负能量，一切都会好起来哒。,0,2020-02-11 18:35
https://weibo.cn//123206230,陆眠眠,女,其他,6624,271,278,回复@余半仙不会算卦:你认为没失误就没失误吧，你开心就好。,0,2020-02-11 18:27
https://weibo.cn//u/6722136872,我爱有钱有钱爱我,女,云南,288,484,114,回复@陆眠眠:不好意思我怼错了，疯狂想找昨晚谩骂武汉的人，对不起,0,2020-02-11 18:22
https://weibo.cn//123206230,陆眠眠,女,其他,6624,271,278,回复@我爱有钱有钱爱我:我骂谁了？,0,2020-02-11 18:14
https://weibo.cn//u/6722136872,我爱有钱有钱爱我,女,云南,288,484,114,回复@陆眠眠:得了，骂吧，武汉也不差您来喷了。,0,2020-02-11 18:11
https://weibo.cn//u/5591180616,Joker超级會員,男,江苏,28,587,301,回复@波澜云海:我也很奇怪，热点话题，没有第一时间，那些号一直封不掉,0,2020-02-11 17:43
https://weibo.cn//u/5591180616,Joker超级會員,男,江苏,28,587,301,热点话题，咱们网警要第一时间辟谣，怎么感觉处处被动挨打，还有那些号为啥不封，难道都是海外账号,3,2020-02-11 17:41
