评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5994853324,云彩里打了一个雷-辫儿,女,其他,10538,105,166,就想知道江苏新增的境外输入是哪里的！,4,2020-03-22 09:28
https://weibo.cn//u/5121890873,北方某人,男,江苏,31,174,220,圆圆的朋友？,2,2020-03-22 09:20
https://weibo.cn//u/5796668402,满了不要怂,男,其他,6418,73,487,记者造谣不抓？,2,2020-03-22 09:20
https://weibo.cn//u/6124133734,君已成双,女,海外,8,59,27,请严查 微博网名：会飞的鱼儿似的  此人在我公司人保微博底下评论污蔑我的朋友，而且言语中已经严重伤害了我朋友身心健康。烦请调查,0,2020-04-09 20:35
https://weibo.cn//u/1506805043,图书协管员,男,海外,169,515,5001,你先别着急辟谣，万一打脸了呢,0,2020-03-22 22:19
https://weibo.cn//u/5224433007,TaoTao吃桃桃,男,其他,7336,418,149,入境之后要么给我测 要么给我政府隔离 居家隔离你🐴,0,2020-03-22 17:11
https://weibo.cn//u/2049269982,琅琊道徒,男,江苏,28190,243,680,我想知道，对造谣传谣的人是怎么处理的？//,0,2020-03-22 11:32
https://weibo.cn//u/5994853324,云彩里打了一个雷-辫儿,女,其他,10538,105,166,就想知道江苏新增的境外输入是哪里的！,4,2020-03-22 09:28
https://weibo.cn//u/2904855315,坎国师-导弹砖科,男,广东,740,184,131,造谣的注销全家的常住人口登记卡,1,2020-03-22 09:24
https://weibo.cn//u/5450178009,回忆是1条没有归途的路,男,江苏,45,177,42,江苏新增是哪里的,1,2020-03-22 09:21
https://weibo.cn//u/5121890873,北方某人,男,江苏,31,174,220,圆圆的朋友？,2,2020-03-22 09:20
https://weibo.cn//u/5796668402,满了不要怂,男,其他,6418,73,487,记者造谣不抓？,2,2020-03-22 09:20
https://weibo.cn//u/6456857895,简约姐姐,女,江苏,795,582,523,对真正造谣者要严惩。看下次还敢不敢,1,2020-03-22 09:16
https://weibo.cn//u/7368767535,推特治国特靠谱,男,其他,15,26,4,江苏新增两例境外是哪里的在哪里公布？,2,2020-03-22 09:14
https://weibo.cn//u/6188476877,被数学喜欢的吕二狗,女,其他,224,103,20,什么居心？编造这种瑶瑶,0,2020-03-22 09:14
