评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7184329431,红旗插遍,男,内蒙古,67,57,3,请问许可馨事件有无后续，苏州可否有正面回应。我已经在苏州几大官方打卡二十几天，至今仍无音讯，掩耳盗铃。现网传许可馨已改名许丽娜回国，不知能让苏州出面证实一下。就许可馨事件，我们需要一个结果，无论是好还是坏。,5,2020-05-04 12:27
https://weibo.cn//u/2180067991,懒得就像猪,男,其他,11,148,171,苏州许可馨辱华事件还没有结果,5,2020-05-03 14:53
https://weibo.cn//u/5636444036,第几片海_,女,其他,38,80,31,你好 江苏淮安涟水城管于5月2号早上7点50分左右在政府路暴力执法 请妥善帮忙处理,0,2020-05-03 12:18
https://weibo.cn//u/6261568831,俊_ideal,男,海南,1,89,7,回复@懒得就像猪:这是一个小说里现实中的大家族，一方诸侯，不要为难网警同志了,0,2020-05-10 17:57
https://weibo.cn//u/7184329431,红旗插遍,男,内蒙古,67,57,3,请问许可馨事件有无后续，苏州可否有正面回应。我已经在苏州几大官方打卡二十几天，至今仍无音讯，掩耳盗铃。现网传许可馨已改名许丽娜回国，不知能让苏州出面证实一下。就许可馨事件，我们需要一个结果，无论是好还是坏。,5,2020-05-04 12:27
https://weibo.cn//u/2180067991,懒得就像猪,男,其他,11,148,171,苏州许可馨辱华事件还没有结果,5,2020-05-03 14:53
https://weibo.cn//u/5636444036,第几片海_,女,其他,38,80,31,你好 江苏淮安涟水城管于5月2号早上7点50分左右在政府路暴力执法 请妥善帮忙处理,0,2020-05-03 12:18
https://weibo.cn//u/5636444036,第几片海_,女,其他,38,80,31,你好 涟水城管于5月2号早上7点50分左右在政府路暴力执法 请妥善帮忙处理,0,2020-05-03 12:17
https://weibo.cn//u/7247862464,仰望宇宙的孩纸小放肆,男,青海,267,29,10,求救！求救！lofter上面有人表现出了自杀倾向，请求网警的保护！那个人的名字是“竹竿”，id号是zhugan31450，求助！求助！,1,2020-05-03 08:15
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:会的  一定会,0,2020-05-02 23:52
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:嗯,0,2020-05-02 23:52
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,回复@安康6242944765:嗯，希望我们好运,0,2020-05-02 23:52
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:光明会把黑暗赶走的  邪不压正,0,2020-05-02 23:51
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,回复@安康6242944765:希望正义都能降临,0,2020-05-02 23:51
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:加油  别灰心,0,2020-05-02 23:50
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,回复@安康6242944765:完全没用啊。那么多评论  可能看都不会看,0,2020-05-02 23:43
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:只有无助的在这发帖子    看看能不能遇到有良知有能力  敢于腐败抗衡的人帮我给孩子讨个公道,0,2020-05-02 23:39
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:当官的 有钱的  有权有势  就是法,0,2020-05-02 23:38
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,回复@安康6242944765:难道平民的正义不是正义吗  就应该被忽略？,0,2020-05-02 23:35
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:自古到今都是  衙门无人莫进来   有钱才能进衙门,0,2020-05-02 23:34
https://weibo.cn//u/3241124065,与书vera,女,其他,1,28,34,回复@泠木尼桑:为什么发了这么多消息，博主都看不到么，骗子是江苏的，你们不能帮帮忙么,0,2020-05-02 23:32
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,回复@安康6242944765:我只是一个刚毕业没多久的学生  我对jc真的抱着那么大的希望 很失望,0,2020-05-02 23:32
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@泠木尼桑:江苏腐败更多,0,2020-05-02 23:29
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,回复@安康6242944765:我也是一样  一拖再拖 让人绝望,0,2020-05-02 23:28
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,为什么只发动态不做回复，我相信被害的不止我一个,1,2020-05-02 23:27
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,我需要帮助，我才毕业才工作一年，我承担不了那么多债务,0,2020-05-02 23:27
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,我一直关注着消息，可是没有任何jf平台给过我任何回复，就像我报案的那个pcs一样，让人心寒,1,2020-05-02 23:25
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,回复@朗琴02435:我已经等了整整三个月了，jc一直拖着，一开始还说疫情过了一定抓回来，现在告诉我没回应了,0,2020-05-02 23:23
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@朗琴02435:是截访的,0,2020-05-02 22:23
https://weibo.cn//u/7386783060,朗琴02435,男,其他,45,62,27,回复@安康6242944765:这时候各个单位都是大门不让进！疫情影响！,0,2020-05-02 22:21
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,回复@朗琴02435:我去上访 连大门也进不去,0,2020-05-02 22:20
https://weibo.cn//u/7386783060,朗琴02435,男,其他,45,62,27,回复@泠木尼桑:为什么江苏出这么多问题？许可馨！还有楼上的，这都三起了！江苏省纪委不作为啊！影响这么坏,2,2020-05-02 22:19
https://weibo.cn//u/7386783060,朗琴02435,男,其他,45,62,27,回复@安康6242944765:这时候实名制投诉，上访！联名举报！必须是实名制的,0,2020-05-02 22:18
https://weibo.cn//u/7386783060,朗琴02435,男,其他,45,62,27,感觉信谣的人并非没有判断力！有些谣言低智的犹如笑话，他们不会去考证探究，只是想听他们想听的，相信他们想信的！眼盲心瞎的故意制造舆论，扩大事态发展！,1,2020-05-02 22:16
https://weibo.cn//u/1222050672,犹太人陆燕青,男,江苏,17646,1241,14467,谣言影响复工复产，影响老百姓的正常生活。,0,2020-05-02 17:57
https://weibo.cn//u/5566481106,泠木尼桑,女,其他,5,48,10,我遇到了诈骗，诈骗金额是20多万。诈骗犯信息已经确认，人也指认了，但是警察现在不去抓他，就说跨省，有疫情，逮捕令难拿。一直拖着，已经三个月了，我问警察逮捕令下来了吗，他让我好好看看刑法，我一个医生，为什么我报案还要自己看刑法。希望你们帮帮我，到底应该怎么办 骗子是江苏的,1,2020-05-02 17:26
https://weibo.cn//u/2249306212,晴岚今天也想迎娶政哥哥,女,上海,798,179,91,以为是贞子吗？网络传播,0,2020-05-02 15:58
https://weibo.cn//u/5768774718,暖暖_伊筱沫,女,江苏,51,96,8,麻烦看下私信，我好像发现了不好的东西,0,2020-05-02 15:40
https://weibo.cn//u/3095348091,一直想取个很酷的网名,男,浙江,518,691,112,外国人大概用得是2g，平时不上网,1,2020-05-02 14:20
https://weibo.cn//u/6592675064,三三两两14789,女,其他,3005,333,175,5G这个谣言真的是……让我知道舆论中的大众有多蠢,0,2020-05-02 14:04
https://weibo.cn//u/5294952717,头发特别多,女,海外,2454,215,3208,他自己不也在传播造谣？贼喊捉贼可还行？,0,2020-05-02 13:58
https://weibo.cn//u/6242944765,受害的十三岁男孩,女,江苏,1523,6654,7053,江苏徐州铜山区黄集镇中心中学校园暴力  性质恶劣  无人敢问   官官相护  推卸责任 公道原来真的会缺席   这不是第一次 也不是最后一次  被大家歌颂的美好 在我们无权无势的农民跟前就看不到  看不到光明  看到的是黑暗  法律不能捍卫正义  官官相护  腐朽糜烂  更令人失望和不齿 ,3,2020-05-02 13:56
