评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//szbmzx,深圳网警,男,广东,35999,1573,1186856,“我也是听朋友说的”,32,2020-05-08 17:56
https://weibo.cn//u/7202345253,肖肖竹,男,海外,2207,473,1157,你成了专门做自杀辟谣的博了吗🙊,9,2020-05-08 17:58
https://weibo.cn//u/6914338924,图片搬运工bot,女,其他,1007,232,1124,这个世界上最不负责任的就是“道听途说”,9,2020-05-08 18:23
https://weibo.cn//u/6261568831,俊_ideal,男,海南,1,89,7,回复@梭月1997:这是一个小说里现实中的大家族，一方诸侯，不要为难网警同志了,0,2020-05-10 17:56
https://weibo.cn//u/5899918299,喵喵不要喵喵喵,女,其他,43,71,6,拒绝造谣[加油],0,2020-05-09 14:10
https://weibo.cn//u/3965279501,小透明popo,女,江苏,272,358,261,造这种谣言干啥？不懂,1,2020-05-09 12:07
https://weibo.cn//u/2390551860,三三京墨,女,广东,790,364,415,找出造谣者并处罚很重要。,0,2020-05-09 10:50
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,南京五名小学生手拉手跳楼？假的！,0,2020-05-09 09:44
https://weibo.cn//u/5639132061,没钱去稻城的颜狗,女,其他,9602,381,209,这种事处理的真快  那个留学女  后续怎么样了,0,2020-05-09 09:15
https://weibo.cn//u/6529409802,信通小喵喵,男,海外,900,388,88,手拉手跳楼，这关系得有多铁,0,2020-05-09 07:42
https://weibo.cn//u/6698931991,门徒两年,男,其他,1023,335,187,难以处罚造谣者啊,0,2020-05-09 03:07
https://weibo.cn//u/6253080394,小仙女爱学习啊啊啊,男,其他,13,152,2,回复@深圳网警:警察叔叔我要举报微博涉黄，我发给你私信请一定要治理他们呀,0,2020-05-08 22:50
https://weibo.cn//u/3366713830,_冰激凌杀手,女,海外,239,143,487,回复@yuuuuuu小鱼:,0,2020-05-08 21:55
https://weibo.cn//u/2939534967,日照玛雅,女,广东,0,32,20,造谣也是一种伤害，应割鸡鸡,0,2020-05-08 21:15
https://weibo.cn//jiangsuwangjing,江苏网警,男,江苏,8008,1081,760204,回复@鸡骨草的味道:,0,2020-05-08 20:24
https://weibo.cn//zhangyuger,章鱼哥R,男,香港,497880,13949,28238,包拯的口水射程如何量化//,0,2020-05-08 20:22
https://weibo.cn//u/7332580058,搬砖的朱,女,江苏,602,192,3,我们大江苏网警，就是🐂，拒绝我听说，拒绝别人告诉我！,5,2020-05-08 20:15
https://weibo.cn//Cecilia930814,宣子柚子,女,江苏,4764,233,16453,这大概是离我最近的谣言了，不信谣不传谣！,1,2020-05-08 20:09
https://weibo.cn//Cecilia930814,宣子柚子,女,江苏,4764,233,16453,不信谣,0,2020-05-08 20:07
https://weibo.cn//u/6035594780,千早莲华,男,海外,149,1989,136,羡慕有两个微信号的,0,2020-05-08 18:58
https://weibo.cn//u/6914338924,图片搬运工bot,女,其他,1007,232,1124,这个世界上最不负责任的就是“道听途说”,9,2020-05-08 18:23
https://weibo.cn//u/3752538347,一颗奶糖大白兔,女,江苏,1322,260,252,还有说龙江那边有学生因为手机跳楼了。。。,0,2020-05-08 18:22
https://weibo.cn//u/5408780966,少女不是女,女,四川,8321,541,155,回复@少女不是女:听说这个也太。。。,0,2020-05-08 18:22
https://weibo.cn//u/5408780966,少女不是女,女,四川,8321,541,155,如果你也听说,0,2020-05-08 18:22
https://weibo.cn//87792031,该用户昵称正在输入中,男,安徽,105,56,182,只要是“听朋友说”就可以想怎么说就怎么说，甚至可以出书呢,1,2020-05-08 18:15
https://weibo.cn//u/7202345253,肖肖竹,男,海外,2207,473,1157,回复@江苏网警:一个有社会责任感的小编勇于主动给自己增加工作量🙊以后看到这种消息可以都发给你吗,0,2020-05-08 18:15
https://weibo.cn//u/6297360079,小仙女自有妙计love,女,吉林,102,47,5,盖个楼支持一下,0,2020-05-08 18:15
https://weibo.cn//u/2054646745,比男女都要高贵的中华女拳手,女,台湾,440,896,2702,你这个朋友是某方的朋友吗,0,2020-05-08 18:13
https://weibo.cn//u/2969720495,鸡骨草的味道,男,江苏,1273,97,111,看人少，应该回回复我！试试看,2,2020-05-08 18:05
https://weibo.cn//pzhenh,广州拍客,男,广东,12095,1929,20909,严惩造谣者,1,2020-05-08 18:01
https://weibo.cn//jiangsuwangjing,江苏网警,男,江苏,8008,1081,760205,回复@肖战战无不胜:并不，没发过几条吧,0,2020-05-08 18:00
https://weibo.cn//jiangsuwangjing,江苏网警,男,江苏,8008,1081,760205,回复@我永远喜欢暖暖女儿:是的，错觉,1,2020-05-08 17:59
https://weibo.cn//u/7202345253,肖肖竹,男,海外,2207,473,1157,你成了专门做自杀辟谣的博了吗🙊,9,2020-05-08 17:58
https://weibo.cn//u/2478133632,versatile楼楼,男,上海,299,211,178,。。。。,0,2020-05-08 17:58
https://weibo.cn//u/7250993997,我永远喜欢暖暖女儿,女,其他,464,290,16,是我的错觉吗。你活的像营销号，还是那种没什么人的那种……,4,2020-05-08 17:57
https://weibo.cn//szbmzx,深圳网警,男,广东,35999,1573,1186857,“我也是听朋友说的”,32,2020-05-08 17:56
