评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5464609741,梦想是养奶牛,女,江苏,3308,362,129,如果我也有五个可以手拉手去跳楼的朋友，我怎么会去跳楼 举报 赞[26] 回复 2020-05-09 07:38:11 来自网页,26,2020-05-09 07:38
https://weibo.cn//Mia09YKL29,Mia_09W,女,四川,22489,3243,2283,脑抽的太多，一次性处罚加重力度，以儆效尤。,2,2020-05-09 08:20
https://weibo.cn//u/7343574686,张淮淮淮淮,男,其他,23,161,56,造谣对他能有什么好处吗,2,2020-05-09 07:41
https://weibo.cn//u/3994421031,乐子小姐_,女,浙江,692,170,52,6,0,2020-06-10 17:46
https://weibo.cn//u/6971163200,浪无别,男,其他,2,136,1,哇， 这处理力度真是公正严明啊,0,2020-05-17 14:37
https://weibo.cn//u/6200517764,瑶阿福狗,男,其他,3,180,2,许可馨背景深厚，这回看样子是被其说中了，广大网友就是群老鼠，翻不起风浪，她辱国，辱党，竟还包庇她？,2,2020-05-16 22:54
https://weibo.cn//u/5890856387,乒乒乓乓不打乒乓,男,其他,429,74,63,可不可以选择不原谅他？,0,2020-05-14 09:04
https://weibo.cn//u/1803541114,放闷p的乔治,男,江苏,117,228,293, 好好查查吧,1,2020-05-13 09:22
https://weibo.cn//u/7100372794,团长---炮灰,男,河南,534,1607,431,许州？,2,2020-05-11 23:19
https://weibo.cn//u/7340072980,夹来夹去02,男,其他,8,196,24,许可馨你们江苏怎么处理？,5,2020-05-11 22:36
https://weibo.cn//u/5639132061,没钱去稻城的颜狗,女,其他,9602,381,209,回复@梭月1997:都过去这么长时间了  什么声明都没有   他家干嘛的也没查出来  呵呵,0,2020-05-09 21:09
https://weibo.cn//u/6032308457,简凡201609,女,山东,4567,565,222,网络上这种人太多了，才整的乌烟瘴气！,0,2020-05-09 15:36
https://weibo.cn//u/2718366240,牛浪地球的拜拜雪公主761,女,重庆,2449,381,151,这些人一天脑子进水了吧 啥都敢说 啥谣都敢造,0,2020-05-09 11:27
https://weibo.cn//u/1527795445,戴口罩的大蟒蛇,女,江苏,2662,201,58,现在真的隔着网络看不见脸啥都敢说，真是无语,0,2020-05-09 11:10
https://weibo.cn//u/1659791205,JoanLee1169,女,广东,12073,562,193,造谣传谣必将受到惩罚//,0,2020-05-09 10:56
https://weibo.cn//u/6698931991,门徒两年,男,其他,1023,335,187,大快人心,0,2020-05-09 09:58
https://weibo.cn//u/5639132061,没钱去稻城的颜狗,女,其他,9602,381,209,这种事处理的真快   那个留学女怎么处理了,5,2020-05-09 09:16
https://weibo.cn//u/5136516657,咕咕复咕咕咕咕何其多,女,北京,1132,1278,368,回复@梦想是养奶牛:哈哈哈我也这么想的,0,2020-05-09 09:11
https://weibo.cn//yemaosha,夜猫纱,女,北京,9026,625,76,有毛病,0,2020-05-09 09:02
https://weibo.cn//u/1365383494,空幻之星,女,江苏,1244,866,166,谁知道之前造谣的那批公众号，最终怎么处理的？除了封号。,0,2020-05-09 08:52
https://weibo.cn//u/3976853531,玛雅玄黄,男,其他,151,204,49,声明里的错别字呀，看来这哥们素质也就那样,0,2020-05-09 08:48
https://weibo.cn//u/5938312992,小小海蒂,男,江苏,305,61,630,回复@张淮淮淮淮:为了存在存在感,0,2020-05-09 08:37
https://weibo.cn//Mia09YKL29,Mia_09W,女,四川,22489,3243,2283,脑抽的太多，一次性处罚加重力度，以儆效尤。,2,2020-05-09 08:20
https://weibo.cn//u/2070740063,SF1000拖拉机都不如,男,海外,64,540,0,还写错别字……,0,2020-05-09 07:56
https://weibo.cn//u/7343574686,张淮淮淮淮,男,其他,23,161,56,造谣对他能有什么好处吗,2,2020-05-09 07:41
https://weibo.cn//u/7343574686,张淮淮淮淮,男,其他,23,161,56,回复@梦想是养奶牛:,0,2020-05-09 07:41
https://weibo.cn//u/3313786584,你是我的小恐龙呀,女,江苏,1650,289,151,想起了一部韩国恐怖片。,0,2020-05-09 07:40
https://weibo.cn//u/1980326743,雷暴步兵甘道夫,女,广东,4494,448,469,真是啥都敢说😂,0,2020-05-09 07:38
https://weibo.cn//u/5464609741,梦想是养奶牛,女,江苏,3308,362,129,如果我也有五个可以手拉手去跳楼的朋友，我怎么会去跳楼     举报             赞[26]         回复             2020-05-09 07:38:11 来自网页,26,2020-05-09 07:38
