评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5610349502,大连网警巡查执法,男,辽宁,19104,1211,358381, 腾讯微信辟谣,0,2020-06-15 09:16
https://weibo.cn//u/2135004221,直男程序猿,男,江苏,165,323,493,造这种谣对他们到底有啥好处呢,2,2020-06-15 09:46
https://weibo.cn//njmochen,Sept_九月十一,男,江苏,2870,305,727,所以，抓起来了吗？,1,2020-06-15 09:25
https://weibo.cn//u/5836273242,wl000430,女,江苏,924,434,233,不信谣 不传谣,0,2020-06-15 13:42
https://weibo.cn//u/7361641345,等20名用户,男,其他,366,114,75,抓了没有,0,2020-06-15 12:28
https://weibo.cn//u/3928979038,Eden418,男,江苏,82,136,82,辟谣是需要的，但是逻辑也是成立的,0,2020-06-15 12:14
https://weibo.cn//u/2204562082,你站着看我打麻将,女,江苏,8608,105,35,搞不懂为什么总有闲人要造谣？他们能拿到钱？,0,2020-06-15 12:02
https://weibo.cn//u/6394741489,凉生初雨jeasonlv,男,其他,46,30,11,昨天刚看到这个,0,2020-06-15 10:33
https://weibo.cn//u/2135004221,直男程序猿,男,江苏,165,323,493,造这种谣对他们到底有啥好处呢,2,2020-06-15 09:46
https://weibo.cn//u/1111960943,V虞山一杰,男,江苏,60,64,18,支持公布数据,0,2020-06-15 09:26
https://weibo.cn//njmochen,Sept_九月十一,男,江苏,2870,305,727,所以，抓起来了吗？,1,2020-06-15 09:25
https://weibo.cn//u/3109496637,忯矜,女,江苏,175,168,67,这年头怎么什么都有 什么都能编出来,1,2020-06-15 09:23
https://weibo.cn//270862108,村上春柱,男,北京,10623,1179,280894,写个网友投稿就不用担责是么,1,2020-06-15 09:22
https://weibo.cn//u/5610349502,大连网警巡查执法,男,辽宁,19104,1211,358381, 腾讯微信辟谣,0,2020-06-15 09:16
