评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6041323840,仙丹妙药大橘橘,男,山东,532,467,404,我感觉你在骂人,20,2020-06-15 16:57
https://weibo.cn//u/1720097504,我的猫纹少年啊,女,江苏,23329,474,11065,年年都要来一遍,8,2020-06-15 17:04
https://weibo.cn//yuekf,谜之生活不好过,男,广东,6296,246,578,然后没人感觉不对还一直转发,3,2020-06-15 17:06
https://weibo.cn//u/7438843514,咸鱼人生2020,女,北京,110,164,1,我小时候竟然还信过,0,2020-06-16 11:25
https://weibo.cn//u/3609309457,2021年的锦鲤王,女,江苏,4540,1162,144,我阿姨就发了,0,2020-06-16 10:46
https://weibo.cn//u/7256912548,付翔仁,男,其他,1830,60,103,我只想知道，造谣的那个垃圾抓到了没有？怎样处理？,0,2020-06-15 19:00
https://weibo.cn//u/2235991884,你家的鸭鸭,女,海外,6156,707,354,笑死,0,2020-06-15 18:59
https://weibo.cn//u/3324387514,JING是季影井,女,山东,564,242,227,有感觉警察叔叔在说脏话     举报             赞[0]         回复             2020-06-15 18:53:52 来自网页,0,2020-06-15 18:53
https://weibo.cn//279375753,幽水额,女,江苏,125,110,202,警察叔叔真会玩     举报             赞[0]         回复             2020-06-15 18:51:06 来自网页,0,2020-06-15 18:51
https://weibo.cn//u/5557538262,幹鍋奧特曼,男,广西,4630,448,285,哈哈哈哈哈哈哈哈哈又让我想起这个病毒,0,2020-06-15 18:48
https://weibo.cn//u/5688647237,过期彦祖,男,浙江,54,306,102,这些人造谣对自己有什么好处,2,2020-06-15 18:08
https://weibo.cn//u/5178087978,Sean_Bo·,女,安徽,1456,612,186,这个病毒有时候还在西瓜身上,0,2020-06-15 17:46
