评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3359197244,风往哪里吹x,男,其他,83,178,70,其实一直不理解这种谣言价值何在，还是有人就有这种恶趣味,23,2020-07-06 18:21
https://weibo.cn//tjwangjing,天津网警巡查执法,男,天津,7112,360,21559, 【高考准考证丢失谣言，如约而至！,0,2020-07-07 09:35
https://weibo.cn//u/6597890571,從未來來到這世界找你,女,香港,17674,497,1375,表演型人格,0,2020-07-13 10:54
https://weibo.cn//u/1696898564,皇甫鸡汤,女,江苏,160,246,107,然后老人就特别爱转发，还有一个喜欢被转发的是贞子3D版上映，今年因为电影院没开门，逃过一劫。,0,2020-07-11 07:07
https://weibo.cn//u/6139856706,皇甫钢柱,男,天津,2120,354,3074120,我刚才还转发了，我沙雕了,0,2020-07-07 12:02
https://weibo.cn//u/3107632970,天气太热别烦,女,其他,343,227,265,我就纳闷了 ，他们为什么可以带着准考证满天下跑 我高考的时候 高考那天班主任才发的准考证吧 就怕我们自己弄丢了,3,2020-07-07 10:36
https://weibo.cn//tjwangjing,天津网警巡查执法,男,天津,7112,360,21559, 【高考准考证丢失谣言，如约而至！,0,2020-07-07 09:35
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,高考准考证丢失谣言，如约而至！,0,2020-07-07 08:23
https://weibo.cn//u/7284240153,意欲何为775,男,其他,69,180,82,用电子考证不可以吗？,0,2020-07-06 23:56
https://weibo.cn//u/5928119938,请不要偷偷复习,男,广东,695,114,238,问题是造这个谣有啥用呢？,1,2020-07-06 21:04
https://weibo.cn//u/7433358218,飞君__尔毕青年,男,其他,172,149,21,这也能造？是有钱拿么,4,2020-07-06 20:31
https://weibo.cn//u/1775731277,深圳雪瑞珠宝陈木偶,男,广东,8853,506,1390,例假,0,2020-07-06 19:23
https://weibo.cn//liuxing928,Jia_T_,女,江苏,5,805,127,这就开始了,0,2020-07-06 18:36
https://weibo.cn//u/2867459852,2333包子,男,广东,1200,112,470,转发积福,0,2020-07-06 18:31
https://weibo.cn//u/3359197244,风往哪里吹x,男,其他,83,178,70,其实一直不理解这种谣言价值何在，还是有人就有这种恶趣味,23,2020-07-06 18:21
