评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2196185772,黯液洳歌,女,山东,5232,326,92,无语=_=辟谣永远赶不上造谣的,5,2020-07-14 23:34
https://weibo.cn//u/1627401333,慢行的鸠鸠,女,湖北,1918,346,15,第一张四年前的老图我有印象,1,2020-07-14 23:13
https://weibo.cn//u/7382137094,化07020,男,其他,17,50,3,哈哈,0,2020-08-02 16:10
https://weibo.cn//u/2893163621,My蓝莓瑶,女,上海,2015,116,535,回复@My蓝莓瑶:图片评论 评论配图,0,2020-07-19 10:12
https://weibo.cn//u/2893163621,My蓝莓瑶,女,上海,2015,116,535,平时普通人造谣都能拘留，这个拉仇恨泄愤杀人放火的，为什么不抓起来，看看这个，我想不通网警为什么不把这些人抓起来呢？ ,0,2020-07-19 10:07
https://weibo.cn//u/6177298315,高贵路人钻石心,女,上海,15399,452,635,社会事件上造谣传谣必须严惩不贷,0,2020-07-15 10:04
https://weibo.cn//u/7073532451,刘作牛,女,其他,978,431,9,回复@职业看热闹爱旅行2010:袁隆平院士的水稻好像是那种应急的时候吃的，口感不好，颜龙安院士的水稻是大部分人吃的,1,2020-07-15 08:41
https://weibo.cn//u/7424185747,莉莉7424185747,女,山东,1254,131,3,只道谦？建议记入个人诚信。,0,2020-07-15 04:23
https://weibo.cn//u/6229472482,发表观点用小号,女,其他,96,14,4,造谣对他们有啥好处吗？完全理解不了他们的脑回路，吃饱了撑的吧,0,2020-07-14 23:56
https://weibo.cn//u/2196185772,黯液洳歌,女,山东,5232,326,92,无语=_=辟谣永远赶不上造谣的,5,2020-07-14 23:34
https://weibo.cn//u/1627401333,慢行的鸠鸠,女,湖北,1918,346,15,第一张四年前的老图我有印象,1,2020-07-14 23:13
https://weibo.cn//fuzimiao2004,夫子庙-秦淮风光带风景名胜区,男,江苏,54339,193,6042,转发微博,0,2020-07-14 22:59
https://weibo.cn//u/7073532451,刘作牛,女,其他,978,431,9,回复@职业看热闹爱旅行2010:让咱们吃饱的应该是颜龙安院士吧,0,2020-07-14 22:33
https://weibo.cn//u/5333275270,探索佳,女,江苏,340,26,31,真是脑子有坑🙃,0,2020-07-14 22:32
https://weibo.cn//u/1962139437,皇上的新依,女,广东,827,459,76,都无语了，这天天就不能做点有意义的事情啊！,0,2020-07-14 22:25
https://weibo.cn//u/6305615350,部蔀噜噜,女,四川,2716,213,51,啥都能造谣,0,2020-07-14 22:24
https://weibo.cn//u/3288775907,小院庭芜绿,女,山东,1340,693,355,道歉有用的话，要警察干什么？！以后再有造谣的让他吃3年牢饭，有胡说八道毛病的才能引以为戒！,0,2020-07-14 22:14
https://weibo.cn//u/7426714657,画一地风景赠与你,女,江西,455,99,7,想不明白，为什么喜欢造谣，因为无知吗？,0,2020-07-14 22:10
https://weibo.cn//u/5405413546,改个名字开始吐槽,女,江苏,353,85,2,完全不能理解造谣的人到底想干什么🙄,0,2020-07-14 22:06
https://weibo.cn//u/2739139971,一宝赞赞平安喜乐,女,江苏,1754,99,73,实在不能理解！这种人脑子里装的都是啥！闲出屁了么？！,0,2020-07-14 22:06
https://weibo.cn//u/5665866655,马der卓儿,女,黑龙江,461,300,181,无语，能不能干点人事儿啊...,0,2020-07-14 22:06
https://weibo.cn//u/6647266510,水墨花鸟鱼虫虾121212,女,湖北,4610,615,354,造谣惑众可耻,1,2020-07-14 22:05
https://weibo.cn//u/7315992418,3181春秋MM,女,浙江,422,198,9,就是想不明白为什么会有那么多人喜欢发这种虚假信息，开玩笑应该有个度,0,2020-07-14 22:04
https://weibo.cn//u/6567288922,碎碎念moon,女,江西,4161,334,125,额，为什么会有这样的人，是吃饱了撑得吗？,0,2020-07-14 22:03
https://weibo.cn//728868915,浪费光阴的梭子,男,海外,2565,199,44,造谣有病吧！最讨厌这样的人了！,0,2020-07-14 22:03
https://weibo.cn//u/2279129083,to做我自己,女,北京,4340,599,478,就不能干点正常人该干的事儿。这样真的很烦。,0,2020-07-14 22:03
https://weibo.cn//u/5653926637,-非著名坏桃,女,其他,328,373,159,。。。无语,0,2020-07-14 21:59
https://weibo.cn//u/7435646477,安夏用户,女,其他,0,128,1,总是有这种人,0,2020-07-14 21:58
