评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//jnjg,江南哥儿,男,浙江,8701,1098,2545868,得得得，你就告诉我警察小哥腿到底有多长？？！,13,2020-08-20 11:28
https://weibo.cn//u/5046187883,穹庐人醉,男,其他,7,318,180,今天是它节日，那我是不是今天不能打它，让它过节 ,8,2020-08-20 11:13
https://weibo.cn//dzyunhe110,德州运河公安分局,男,山东,57179,600,462200,信科学，听官宣，不信谣，不传谣！,4,2020-08-20 11:21
https://weibo.cn//605919425,Blissssh,女,江苏,712,522,690,心疼摄像大哥,0,2020-08-28 09:49
https://weibo.cn//u/1797979904,勤奋小丹丹,女,其他,639,387,239,那个……那两盘食物还能吃吗？,0,2020-08-21 11:25
https://weibo.cn//u/7405681995,曲入山河,女,广西,4790,1187,57,     举报             赞[0]         回复             2020-08-21 08:11:13 来自网页,0,2020-08-21 08:11
https://weibo.cn//u/3934424096,有钱哥哥饿,女,北京,2900,483,250,蚊子说，这锅我不背,0,2020-08-21 07:49
https://weibo.cn//u/6480664893,检测技术交流,男,北京,4603,1796,3368,这个没有被验证吧？,0,2020-08-21 07:28
https://weibo.cn//u/5955583239,雪地里的白首偕老,女,其他,98,58,7,小哥哥真的帅！多通风，戴好口罩更重要！,0,2020-08-21 05:49
https://weibo.cn//u/2209673400,江北市民论坛,男,江苏,3255,241,343,没有蚊子是不可能的,0,2020-08-21 05:43
https://weibo.cn//u/1596968400,我在兔子星球吃芒果,女,湖北,35,157,571,警察帅哥哥有没有两米高啊看起来好高啊！,0,2020-08-21 03:03
https://weibo.cn//u/6325887305,丿夜羽灬殇09445,男,其他,393,353,64,     举报             赞[0]         回复             2020-08-21 02:26:07 来自网页,0,2020-08-21 02:26
https://weibo.cn//u/6593065719,Blyatman丶,男,湖北,79,58,12,加个蚊香庆祝一下,0,2020-08-21 02:25
https://weibo.cn//u/5968224368,飞离这个糟心的星球,女,广西,2194,616,84,为什么蚊子还有个纪念日？,0,2020-08-20 21:04
https://weibo.cn//u/5108703981,夏天的光四季顺遂,女,上海,7531,205,96,天啊！还有世界蚊子日！刚刚被咬了6个包，是因为蚊子过节吗,0,2020-08-20 20:54
https://weibo.cn//u/1696898564,皇甫鸡汤,女,江苏,160,246,107,回复@穹庐人醉:我决定打死一只蚊子纪念一下,1,2020-08-20 18:56
https://weibo.cn//u/3977006484,美好的明天自己把握,男,其他,170,182,41,我有个同事前年就是嫌宿舍闻一多，喷了好多杀虫剂，关紧门窗，自己也呆在房间，然后病了好几天，以为自己得了大病，医院没少跑。     举报             赞[0]         回复             2020-08-20 18:15:23 来自网页,0,2020-08-20 18:15
https://weibo.cn//u/1688389492,夜光神杯小瑶,女,安徽,2182,192,117,喷这么多饭菜还能吃吗,0,2020-08-20 18:01
https://weibo.cn//207890316,云晕-朤燚叕茻,女,海外,4804,810,981,回复@江南警哥:腿长150,0,2020-08-20 17:42
https://weibo.cn//207890316,云晕-朤燚叕茻,女,海外,4804,810,981,这样子喷蚊子不死人先熏死,0,2020-08-20 17:42
https://weibo.cn//u/7308048969,打架后受伤的猫,女,湖南,6791,467,553,不信谣不传谣，世界更美好,0,2020-08-20 15:49
https://weibo.cn//u/7268190236,宁缺毋滥23396,男,其他,0,54,2,那我要让他永远活在今天,1,2020-08-20 15:45
https://weibo.cn//u/6305615350,部蔀噜噜,女,四川,2716,213,51,蚊子还有节日呢,0,2020-08-20 14:13
https://weibo.cn//u/1794108964,灬每天少吃一粒米,女,其他,1140,125,46,虽然不会感染新冠，但是蚊子会传染乙脑、登革热、疟疾、黄热病噢,0,2020-08-20 14:02
https://weibo.cn//u/5135550305,小兔小斯基seanfly,女,山东,1027,203,224,蚊子都有节日了?活得不如一只蚊子……,0,2020-08-20 13:52
https://weibo.cn//u/6987704886,广东的小崽子,女,广东,111,75,15,啧啧啧，今天晚上我放它一马，还是让它跟往常一样全军覆没,0,2020-08-20 13:20
https://weibo.cn//u/2402312514,浅想深想,女,北京,789,280,84,我刚被蚊子咬了两口，就看到你了。。,0,2020-08-20 13:15
https://weibo.cn//u/1171580445,hanqi小Q,女,浙江,8766,605,684,关键桌上吃的东西都不能 继续食用，浪费啦,0,2020-08-20 13:07
https://weibo.cn//haianwangsir,海梓香来,男,江苏,9922,1323,13257,蚊子先染上，它还能飞起来吗？,2,2020-08-20 13:04
https://weibo.cn//u/3129209263,-7150日-,女,浙江,1214,439,134,蚊子还有节日？？？,0,2020-08-20 13:03
https://weibo.cn//u/5667339675,和田网警巡查执法,男,新疆,20165,662,6689, 今天是,0,2020-08-20 13:00
https://weibo.cn//xionghandeduoduo,凶悍的多多,男,江苏,5222,777,1029,蚊子：放心老铁们，新冠病毒见到我。。。。它咳嗽,0,2020-08-20 12:50
https://weibo.cn//u/5073967793,今天依旧没有放假,女,北京,3716,793,746,今天被叮了一腿的蚊子包,0,2020-08-20 12:48
https://weibo.cn//u/7313812326,冬天到了努力减肥,女,其他,1409,89,9,第一次听说这个节日,0,2020-08-20 12:43
https://weibo.cn//u/7436710461,2020不完全统计,女,江苏,3291,328,13,这个辟谣很重要，毕竟我也是曾经担心过,0,2020-08-20 12:39
https://weibo.cn//u/5367374765,林允儿现任男友,男,江苏,156,109,1782,暂且让蚊子安逸一天，明天将是加倍消灭,0,2020-08-20 12:37
https://weibo.cn//u/6638886865,大锤抓野猪,男,其他,6651,229,241,还有蚊子日？,0,2020-08-20 12:24
https://weibo.cn//u/5428529922,不改名不给评论是真的吗,女,江苏,861,221,119,今天要保护蚊子吗？可是蚊子不犯我，我不会伤害它的。,0,2020-08-20 12:21
https://weibo.cn//xiyancll,夕颜cll,女,广东,1282,141,48,这什么乱七八糟的谣言啊……真的是服了,0,2020-08-20 12:21
https://weibo.cn//u/5046187883,穹庐人醉,男,其他,7,318,180,回复@江苏网警:蚊子生命如此弱小，我打算留它到今晚,0,2020-08-20 12:20
https://weibo.cn//u/2485594190,夏夜轻风满天星,男,湖北,1344,344,207,两个精神病患者,0,2020-08-20 12:17
https://weibo.cn//u/5042087344,白白桃姐姐,女,其他,466,84,23,每年害怕得登革热的同志路过,0,2020-08-20 12:04
https://weibo.cn//u/5575993691,在你星河间,女,江苏,1553,283,181,哈哈哈哈哈哈哈我关注你就是为了看这个小哥哥！（不是）,0,2020-08-20 12:03
https://weibo.cn//u/7313087343,闲时看花--筱簪,女,安徽,14238,433,36,还有世界蚊子日？,0,2020-08-20 12:00
https://weibo.cn//u/6042550155,Y潇美人,女,新疆,7923,721,521,哈哈哈都好皮,0,2020-08-20 11:56
https://weibo.cn//u/2673372431,十年不长珍惜,女,广东,1481,510,114,回复@江苏网警:你很皮哦,0,2020-08-20 11:46
https://weibo.cn//u/2184468951,波若波罗蜜蜜,女,河北,2646,167,86,奇奇怪怪的辟谣,0,2020-08-20 11:41
https://weibo.cn//u/2836494940,警晓慎微,男,安徽,455,277,14701,也是有节日的物种，之前是我无礼了,3,2020-08-20 11:40
