评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//7439417,棒槌醣醣,男,江苏,6163,1327,2985,倒是抓人啊,12,2020-12-12 14:49
https://weibo.cn//339000612,晚饭吃河马,男,其他,5337,1135,527, 这个人丝毫没有悔过之心，死鸭子嘴硬，被别人指出错误还语言攻击别人 ,6,2020-12-12 14:52
https://weibo.cn//u/6436969473,归去来辞关山月,女,其他,3546,228,2180,造谣的人是有病吗？这么严重的事，国家都已经够忙了，不要再添乱了，严惩造谣者！！,2,2020-12-12 14:39
https://weibo.cn//u/1400004621,冥听者,男,江苏,11228,505,662,刑不上鄢烈山,0,2020-12-14 08:36
https://weibo.cn//u/1803659593,sunnyeterna,男,江苏,885,1702,398,建议把造谣 转发过500的人都依法处理,0,2020-12-12 22:42
https://weibo.cn//u/6969066102,许愿千寻一醉,女,其他,2959,1885,76,抓人啊,0,2020-12-12 18:00
https://weibo.cn//u/2061189982,大块头的大淫人啊,男,上海,14199,3815,855,为何不拘捕最大的传播恶棍鄢烈山,1,2020-12-12 17:48
https://weibo.cn//u/1899443303,-老甜甜-,男,四川,2177,520,320,我就想问抓了吗？,0,2020-12-12 17:07
https://weibo.cn//u/1458438060,午后茉茉茶0102,女,江苏,3539,77,639,印象中造谣疫情相关的都属于刑事犯罪吧？,1,2020-12-12 16:55
https://weibo.cn//u/5506316205,cai灬sir,男,其他,1166,111,12,抓起来,0,2020-12-12 16:53
https://weibo.cn//u/3047906693,花开的日志,男,河南,2204,1537,555,大V都不管了吗,0,2020-12-12 16:30
https://weibo.cn//u/5822703182,微雨淡薰暖,男,上海,164,500,88,这人要是不抓，我就该怀疑敌人在哪里了,1,2020-12-12 15:58
https://weibo.cn//u/7361641345,等20名用户,男,其他,366,114,75,把二鬼子鄢烈山抓了,3,2020-12-12 15:51
https://weibo.cn//u/5333275270,探索佳,女,江苏,340,26,31,拜托，我们江苏的网警能不能拿出魄力来？像这种爱P图的脑残能不能对他们的惩罚严厉一点，总是这样，高高拿起轻轻放下互联网平台才会弄得这么乌烟瘴气的，真的是烦都烦死了,1,2020-12-12 15:04
https://weibo.cn//u/7444629308,拾年霜刃,女,北京,1235,54,33,必须惩戒，以儆效尤,0,2020-12-12 15:03
https://weibo.cn//u/5539217667,叶之乌鸦,男,广东,2933,331,46,但我是不相信他能被法办的，袁立、方方传谣，全国都知道，照样活蹦乱跳嚣张无比，是法治之痛的最好例证,1,2020-12-12 15:02
https://weibo.cn//7439417,棒槌醣醣,男,江苏,6163,1327,2985,回复@棒槌醣醣:转发过五百了 评论配图,2,2020-12-12 14:53
https://weibo.cn//339000612,晚饭吃河马,男,其他,5337,1135,527, 这个人丝毫没有悔过之心，死鸭子嘴硬，被别人指出错误还语言攻击别人 ,6,2020-12-12 14:52
https://weibo.cn//u/6213946992,肖晓少帅,男,上海,3288,777,404,造谣成本太低了！,0,2020-12-12 14:50
https://weibo.cn//7439417,棒槌醣醣,男,江苏,6163,1327,2985,倒是抓人啊,12,2020-12-12 14:49
https://weibo.cn//u/7464785552,职业看热闹爱旅行2011,男,黑龙江,13283,438,21,还有个大威秒删算他运气好,0,2020-12-12 14:46
https://weibo.cn//u/3860083211,燚之名,男,其他,2344,236,1117,真无语,0,2020-12-12 14:45
https://weibo.cn//starlime,朱墨-,男,江苏,402,225,234,太无聊,0,2020-12-12 14:43
https://weibo.cn//u/1226019941,发际线逐渐后移,女,江苏,576,212,6,抓起来了吗？我就想知道这个,0,2020-12-12 14:43
https://weibo.cn//u/5270428757,野生桃七子,女,重庆,1600,627,1144,这种人能不能抓起来教育一下，无语,0,2020-12-12 14:41
https://weibo.cn//u/6436969473,归去来辞关山月,女,其他,3546,228,2180,造谣的人是有病吗？这么严重的事，国家都已经够忙了，不要再添乱了，严惩造谣者！！,2,2020-12-12 14:39
https://weibo.cn//u/1058464925,露水儿666,女,江苏,645,79,156,造谣者不是南京本地的，跨区域造谣，还是大V，现在的媒介已经不要脸到何种程度,1,2020-12-12 14:37
https://weibo.cn//u/6856265678,知道不如做到666,女,四川,1695,252,22,造谣可真没成本了还，越发猖狂了,0,2020-12-12 14:34
