评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2196185772,黯液洳歌,女,山东,5232,326,92,对于造谣者绝不能姑息，影响太坏了,6,2020-12-16 08:12
https://weibo.cn//joggler,Joggler,男,江苏,8082,166,342,那传播最广的那位你们敢动吗？不感动？那说个屁哦,5,2020-12-16 09:36
https://weibo.cn//u/6096495528,什么时候完蛋,男,其他,85,193,29,鄢烈山如果不转发，不扩散，他可能就没什么事。,4,2020-12-16 08:28
https://weibo.cn//u/5753946963,与芥茉共舞,女,江苏,424,128,114, 你们怎么不敢抓？就因为他是公知大v？真是欺软怕硬！,0,2020-12-16 20:38
https://weibo.cn//u/7377270583,666濮水愚夫,男,其他,55,175,79,回复@科科爱看书:对,0,2020-12-16 18:22
https://weibo.cn//u/7377270583,666濮水愚夫,男,其他,55,175,79,回复@Joggler:,0,2020-12-16 18:22
https://weibo.cn//u/7312206230,曼奇邦琴,女,其他,1684,153,4,传谣的那个呢？其心可诛,0,2020-12-16 11:06
https://weibo.cn//u/5768623277,白衣长剑王狮虎Zz,男,江苏,143,204,290,下面英文都没p,0,2020-12-16 10:44
https://weibo.cn//u/5675373694,风行什么时候解锁啊,男,海外,1099,295,26,懂了，文人大V是免死金牌,0,2020-12-16 10:36
https://weibo.cn//u/5300358579,爱美食美酒美人的陈大熊,男,其他,2136,442,392,应该给公安民警也打码//,0,2020-12-16 10:18
https://weibo.cn//u/3905737622,北城等旧人,男,江苏,701,107,536,这个呢 ,0,2020-12-16 09:58
https://weibo.cn//joggler,Joggler,男,江苏,8082,166,342,那传播最广的那位你们敢动吗？不感动？那说个屁哦,5,2020-12-16 09:36
https://weibo.cn//bbpiggy41,Sherry小黑熊,女,江苏,5649,686,779,顺着网线也把你抓了！,0,2020-12-16 09:13
https://weibo.cn//u/7464785552,职业看热闹爱旅行2011,男,黑龙江,13282,438,21,不传唤 ,0,2020-12-16 09:00
https://weibo.cn//u/5202970437,她她比目鱼,女,其他,226,771,440,哈哈哈哈哈哈沙雕，英文不会p了吧哈哈哈哈哈哈,0,2020-12-16 08:53
https://weibo.cn//rebecca21,汤圆非元宵,女,江苏,778,259,182,下面的英文都没重新翻译,0,2020-12-16 08:45
https://weibo.cn//u/5994439461,吸欧气的迷妹奥利给,女,江苏,306,704,252,无语，为什么偏偏要造谣江苏的，我们招你惹你了吗,2,2020-12-16 08:35
https://weibo.cn//u/6180747699,猪头则上海强,男,湖南,42,350,210,通网通早了。,0,2020-12-16 08:33
https://weibo.cn//u/6096495528,什么时候完蛋,男,其他,85,193,29,鄢烈山如果不转发，不扩散，他可能就没什么事。,4,2020-12-16 08:28
https://weibo.cn//u/1869938137,独木_DA,女,北京,7482,1337,704,造谣可耻,0,2020-12-16 08:24
https://weibo.cn//u/2970051615,等春来0705,女,山东,1183,74,53,图啥呢？,0,2020-12-16 08:20
https://weibo.cn//u/2117228913,西安家有儿女,男,陕西,4731,1491,2000,应该改成刑政拘留才好,0,2020-12-16 08:20
https://weibo.cn//u/6506438455,死水現微瀾,女,其他,6885,439,91,行政拘留太輕了。亂時當用重典！,1,2020-12-16 08:19
https://weibo.cn//u/5707890588,科科爱看书,男,湖南,321,113,120,传谣大V鄢烈山不抓，欺软怕硬败坏公信力，慎重！慎重啊！,2,2020-12-16 08:19
https://weibo.cn//u/5464538522,双双SSshuang,女,江苏,868,177,7,干得漂亮,0,2020-12-16 08:18
https://weibo.cn//u/5305235929,果果红彤彤_956,女,江苏,2001,284,83,想知道判多久,0,2020-12-16 08:17
https://weibo.cn//u/6013845477,莫愁必娶琳琳,男,其他,177,240,159,笑死,0,2020-12-16 08:13
https://weibo.cn//u/2196185772,黯液洳歌,女,山东,5232,326,92,对于造谣者绝不能姑息，影响太坏了,6,2020-12-16 08:12
https://weibo.cn//u/5882050267,不尽夏-,女,广东,2186,583,216,非常棒！！！造谣就应该严惩！！！,1,2020-12-16 08:11
https://weibo.cn//u/1743443235,田田芝士,男,江苏,39852,843,6595,干得漂亮哈哈哈，大半年不长记性么//,0,2020-12-16 08:09
