评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,网传明天政府安排飞机洒消毒药水？假的！,0,2020-01-30 11:05
https://weibo.cn//u/5517925836,新市狼,男,福建,1230,82,345,造谣者必须严惩不贷     举报             赞[0]         回复             2020-01-29 00:47:21 来自网页,0,2020-01-29 00:47
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,网传明天政府安排飞机洒消毒药水？假的！,0,2020-01-27 11:17
https://weibo.cn//u/1906537313,在笔架山下,女,福建,5946,2157,12670,     举报             赞[0]         回复             2020-01-26 11:21:33 来自网页,0,2020-01-26 11:21
https://weibo.cn//u/2813736565,灰叔-,男,江西,551,564,35,严惩造谣、传谣者！,0,2020-01-26 11:03
https://weibo.cn//qzgaj,泉州公安,男,福建,34091,2750,3094785, 不信谣，不传谣！,0,2020-01-26 09:42
https://weibo.cn//Ghoius,Ghoius,女,海外,721,206,720,有点常识也知道 农药飞机洒药需要离农作物低飞1-1.5米才能实现  还特么 军用飞机给建筑洒药 你怎么不说空投杀菌弹阿,0,2020-01-26 03:46
https://weibo.cn//u/2658535594,Camille_斑点羊,女,福建,6192,211,105,太晚看这个辟谣，今天跟我妈说了半天,0,2020-01-26 01:02
https://weibo.cn//u/2035756502,雁山陇西衍派,男,福建,762,397,655,散播谣言的，给点警告,0,2020-01-25 21:16
https://weibo.cn//xiaobozhao,赵小波,男,福建,19078,754,31372,只有脑残才会相信这样的消息。,7,2020-01-25 21:09
