评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//hehaijuan,Mrs_Lonely_,女,福建,177,178,523,我天！以后还是官方的为准。不随意转发轻信。,12,2020-01-29 13:09
https://weibo.cn//522789128,施先森·生蚝·烤肉,男,福建,1554,1704,2043,神神滴,5,2020-01-29 12:48
https://weibo.cn//u/2783065431,轩辰宝贝11711,女,香港,4022,2818,918,确实需要严惩！大家才会意识到散播的严重性,2,2020-01-29 13:10
https://weibo.cn//u/1841161285,平凡小丑_,男,福建,7,271,79,这是侵犯人家的隐私权还有诽谤，不应该当面和当事人道歉？还有既然是转发别人的信息，那么发布信息源头的那位找到了吗？,1,2020-02-02 19:43
https://weibo.cn//u/6055919895,zmylzzl,女,北京,5,93,6,泉港疑似病例确诊了吗？求确认？,0,2020-02-02 12:47
https://weibo.cn//u/5712081028,举杯花前醉,女,重庆,1129,181,124,最讨厌唯恐天下不乱之人🙄,1,2020-01-30 08:02
https://weibo.cn//u/2707632003,LocalKing小鱼儿,男,福建,31,893,601,谣言不可怕，可怕的是说了实话被当谣言给贷了！就像是一开始的那8个人！,1,2020-01-30 01:12
https://weibo.cn//u/2705179410,小黑爱地瓜,男,福建,1093,962,296,未经确认确实不能乱发，要以官方发布为准。不过舆情监控技术真的厉害，大家谨慎说话。,1,2020-01-29 17:32
https://weibo.cn//u/5592998427,星球贩卖员_,女,其他,97,159,69,回复@洪小婷工作室:这位阿姨有点搞笑噢！我说疑似也没说确诊，您激动个什么劲呢？我劝您好好回去学学疑问句，免得出来丢人,2,2020-01-29 15:29
https://weibo.cn//u/2980030195,泉州第一时间,男,福建,1278,558,51011,转发微博,1,2020-01-29 15:03
https://weibo.cn//u/5314643195,咚咚咩咩张北北,女,陕西,344,210,11302,回复@王技师:你看一下最高法怎么说的，谣言要辩证的看待，不能机械套用,1,2020-01-29 15:00
https://weibo.cn//u/5399317388,陈南山,男,重庆,2,36,202,没确定就不要乱吼乱叫，拒绝传播谣言,3,2020-01-29 13:58
https://weibo.cn//hehaijuan,Mrs_Lonely_,女,福建,177,178,523,回复@_贝尔摩德:有毒。,1,2020-01-29 13:44
https://weibo.cn//u/5826232718,洪小婷工作室,女,福建,99,555,193,回复@喜欢即扼杀:疑似跟确诊是一回事？有时间刷微博还不如去补一补你的小学语文吧,0,2020-01-29 13:32
https://weibo.cn//u/5592998427,星球贩卖员_,女,其他,97,159,69,官方不是说泉港区疑似1例么,3,2020-01-29 13:25
https://weibo.cn//zxxvip,_贝尔摩德,男,福建,133,57,59,回复@Mrs_Lonely_:你好。,0,2020-01-29 13:23
https://weibo.cn//u/2783065431,轩辰宝贝11711,女,香港,4022,2818,918,确实需要严惩！大家才会意识到散播的严重性,2,2020-01-29 13:10
https://weibo.cn//u/6745942866,呀呀呀亚yaya,男,北京,0,66,2,回复@福建辟谣:不是说不会传染吗？现在的人看消息都不经过大脑过滤，之前武汉八个说会传染的已经被抓了还不长记性,1,2020-01-29 13:09
https://weibo.cn//hehaijuan,Mrs_Lonely_,女,福建,177,178,523,我天！以后还是官方的为准。不随意转发轻信。,12,2020-01-29 13:09
https://weibo.cn//u/5020381717,陈坚UpperClassman,男,福建,163,450,4456,回复@施先森1:哈哈，确实,0,2020-01-29 13:08
https://weibo.cn//522789128,施先森·生蚝·烤肉,男,福建,1554,1704,2043,神神滴,5,2020-01-29 12:48
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,泉港一女子散布疫情谣言 已教育训诫,2,2020-01-29 10:27
