评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5344560731,抱紧我的游泳圈,男,福建,140,811,436,有案底，以后找女朋友更难了，,0,2020-01-30 16:39
https://weibo.cn//u/2245307941,特朤噗,男,河北,7242,891,9827,这似乎是一种心理疾病吧，类似吸毒的戒断反应：不造谣浑身痒痒？,2,2020-01-30 09:58
https://weibo.cn//u/5344560731,抱紧我的游泳圈,男,福建,140,811,436,有案底，以后找女朋友更难了，,0,2020-01-30 16:39
https://weibo.cn//u/2245307941,特朤噗,男,河北,7242,891,9827,这似乎是一种心理疾病吧，类似吸毒的戒断反应：不造谣浑身痒痒？,2,2020-01-30 09:58
https://weibo.cn//u/1188602430,小牛妞妞牛牛,女,福建,52741,276,307,只关几天有什么用,1,2020-01-30 05:36
https://weibo.cn//u/7274078290,抢走王啵香菜,女,其他,4441,427,30,送去工厂做口罩吧,20,2020-01-29 23:39
https://weibo.cn//u/1655842630,闽南孤独飘,男,福建,1936,192,422,我的网名完美地表达了我对他的态度！,4,2020-01-29 21:56
https://weibo.cn//u/7230603018,Imzzndkxkx,男,北京,29,56,22,人民警察棒棒的,7,2020-01-29 18:18
https://weibo.cn//u/3779088450,onenling,女,福建,103,949,945,: 你好‼️‼️看我的私信,0,2020-01-29 18:14
https://weibo.cn//u/2881478332,清香一叶莲,女,福建,4014,74,909,脑子是个好东西可惜他没有，那么希望唯恐天下不乱，不如送武汉帮忙盖医院,15,2020-01-29 18:11
https://weibo.cn//u/5444593531,暴雨雷霆,男,福建,19099,1268,69539,让你zuo,1,2020-01-29 17:45
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,网民编造其发烧并从武汉逃至泉州谣言  被拘10日,0,2020-01-29 17:19
