评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//qzwj,泉州网警巡查执法,男,福建,10578,430,411467,5日晚，泉州中心市区出现部分群众擅自燃放烟花爆竹的情况。根据泉州市人民政府《关于禁止在中心市区及重要场所燃放烟花爆竹的通告》（泉政〔2018〕2号），鲤城区、丰泽区全境和泉州开发区所辖区域及全市重要场所禁止燃放烟花爆竹。警方将依法查处非法燃放烟花爆竹的行为，请广大市民自觉遵守相关规定。,0,2020-02-06 00:59
https://weibo.cn//u/5899980430,love小浪浪fly,男,福建,19392,1002,118354, 举报 赞[0] 回复 2020-02-05 23:47:21 来自网页,0,2020-02-05 23:47
https://weibo.cn//lichenggongan,鲤城公安,男,福建,21728,1553,15866,转发微博,0,2020-02-06 00:26
https://weibo.cn//u/5200207633,大脸猫de哥哥,男,重庆,78,44,10,回复@太阳的泪花:民间信仰一般生祭，死祭，飞升日……可以一查正月十三祭关帝，自然就懂了,0,2020-02-07 02:28
https://weibo.cn//u/1845850314,zhengjunqi790818,男,福建,147,134,132,疫期用重典啊！不要再仁慈了，这样只会放纵！！！！,0,2020-02-06 13:03
https://weibo.cn//u/1628376064,楞严法子,男,安徽,667,216,350,看到泉州昨晚的烟花爆竹，我作为一个外地人竟然感动的泪流满面……，真心期望中华民族的传统文化能好好的传承下去🙏🙏🙏,2,2020-02-06 11:58
https://weibo.cn//xiayunming,太阳的泪花,男,山东,49751,1929,20553,回复@大脸猫de哥哥:关羽两个生日？尴尬了不是……,0,2020-02-06 10:48
https://weibo.cn//u/2266042750,633号,男,其他,213,399,688,能不能拜托把造谣的抓起来,4,2020-02-06 09:47
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,今晚“关帝爷”巡境压瘟神？泉州关岳庙：没有安排出巡事宜！,0,2020-02-06 08:04
https://weibo.cn//u/5200207633,大脸猫de哥哥,男,重庆,78,44,10,回复@幻墨丶如烟:正月十三也是,0,2020-02-06 02:10
https://weibo.cn//u/5690696910,幻墨丶如烟,男,云南,45,329,139,回复@大脸猫de哥哥:六月二十四,0,2020-02-06 01:15
https://weibo.cn//u/1583406397,婉0426,女,浙江,2492,263,199,删了吧，别再乱传了！泉州关岳庙管委会告示：今晚及明天，本管委会没有组织“关帝爷”巡境活动。请广大市民不信谣、不传谣！,0,2020-02-06 01:00
https://weibo.cn//qzwj,泉州网警巡查执法,男,福建,10578,430,411467,5日晚，泉州中心市区出现部分群众擅自燃放烟花爆竹的情况。根据泉州市人民政府《关于禁止在中心市区及重要场所燃放烟花爆竹的通告》（泉政〔2018〕2号），鲤城区、丰泽区全境和泉州开发区所辖区域及全市重要场所禁止燃放烟花爆竹。警方将依法查处非法燃放烟花爆竹的行为，请广大市民自觉遵守相关规定。,0,2020-02-06 00:59
https://weibo.cn//u/5200207633,大脸猫de哥哥,男,重庆,78,44,10,对于泉州府的信众而言出巡不出巡已经没有意义了，满城的鞭炮即是庆祝关帝诞辰，也是对战胜疫情的美好祝福！“帝爷公，我来你就知！”,4,2020-02-06 00:58
https://weibo.cn//lichenggongan,鲤城公安,男,福建,21728,1553,15866,转发微博,0,2020-02-06 00:26
https://weibo.cn//u/7360794332,那我先手,男,其他,11,76,236,@一个控制不住碎碎念的小号,0,2020-02-06 00:22
https://weibo.cn//u/1944198427,顾云然,女,福建,495,222,245,一看就知道是假的，但是泉州今天变得有活力了,2,2020-02-05 23:56
https://weibo.cn//u/3319688381,瞳孔苍白,男,福建,810,461,298,虽然这种谣言没有啥危害。但造谣就是造谣，不能纵容这行为。,0,2020-02-05 23:49
https://weibo.cn//u/5899980430,love小浪浪fly,男,福建,19392,1002,118354,     举报             赞[0]         回复             2020-02-05 23:47:21 来自网页,0,2020-02-05 23:47
https://weibo.cn//lijunjie510703,武李俊杰,男,四川,11713,1201,1299,没出巡，但是炮放了吧？     举报             赞[1]         回复             2020-02-05 23:38:23 来自网页,1,2020-02-05 23:38
https://weibo.cn//u/3751403195,青春兵荒马乱03,女,福建,116,49,77,一看就知道是假的,1,2020-02-05 23:33
https://weibo.cn//u/5616412688,丝颖如梦,女,福建,465,178,52,放了才看到,7,2020-02-05 23:32
https://weibo.cn//u/3173840641,海岛上的一只猫,女,福建,25,114,175,回复@zhengjunqi790818:哈哈，想法很对,0,2020-02-05 23:29
https://weibo.cn//u/1845850314,zhengjunqi790818,男,福建,147,134,132,应该是卖烟花爆竹传的谣，最近不好卖，再不卖就要受潮了,5,2020-02-05 23:15
