评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5623866717,打捆人生2015,男,河北,6133,809,429,应该深挖这个谣言，造谣者忒可恶，改改地名就发，前两天，石家庄也有这个版本的。造谣者有精神疾病？造谣能产生成就感？,1,2020-02-09 17:00
https://weibo.cn//u/6268071415,板蓝根吃完了吗,男,其他,16,83,2,可是除了红绿灯 其他都是在执行啊？村里镇里还发纸质通告了啊？,0,2020-02-08 23:10
https://weibo.cn//u/5623866717,打捆人生2015,男,河北,6133,809,429,应该深挖这个谣言，造谣者忒可恶，改改地名就发，前两天，石家庄也有这个版本的。造谣者有精神疾病？造谣能产生成就感？,1,2020-02-09 17:00
https://weibo.cn//u/6268071415,板蓝根吃完了吗,男,其他,16,83,2,可是除了红绿灯 其他都是在执行啊？村里镇里还发纸质通告了啊？,0,2020-02-08 23:10
https://weibo.cn//u/3914460258,我库跳投美如画,男,天津,15,143,141,天天造谣的那些人有意思吗,2,2020-02-08 10:54
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,泉州发布“六个一律”紧急通知？凌晨24后所有路口红绿灯，统一24小时改红灯？谣言！,0,2020-02-08 07:51
https://weibo.cn//lxq19891010,MiniQL,女,福建,805,107,123,泉港就是这样做，店铺叫人全关了，请问吃什么,0,2020-02-08 06:00
https://weibo.cn//u/2658535594,Camille_斑点羊,女,福建,6192,211,105,我真的服了，那还抽村民去路口设岗禁车干嘛。村干跟着一起造谣？     举报             赞[0]         回复             2020-02-08 04:02:33 来自网页,0,2020-02-08 04:02
https://weibo.cn//u/5899980430,love小浪浪fly,男,福建,19392,1002,118354,注意！网警辟谣了！,4,2020-02-07 23:10
https://weibo.cn//u/3627271385,戴军的健身观,男,其他,50,142,73,我们老家造谣者有被拘留了,0,2020-02-07 22:22
https://weibo.cn//u/5852176500,上六楼的快huo,男,重庆,0,25,15,现在微信群到处再传钟老的录音，开头各位家长好，是真的吗,0,2020-02-07 22:17
https://weibo.cn//u/2838357755,El_vas,男,福建,177,307,347,吓死了，我以为是我们小三明,1,2020-02-07 22:10
https://weibo.cn//u/6525341478,吸奎大法,女,黑龙江,8662,240,91,家族群里真的在发,1,2020-02-07 22:08
