微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JvyrvgaIG,#辟谣# 【持浦东新区身份证旅游将遭拒？我们帮你问了全国多家5A景点】据 上海网络辟谣，近日，上海浦东新区接连发现确诊病例。网上有传言称“身份证住址为浦东新区或14天内有浦东新区行程的人员，不能出去旅游，景区不接待。”11月24日，地处浦东新区的上海迪士尼乐园辟谣称：未调整入园政策，游客戴口罩、经过测温、出示健康码即可正常进入迪士尼小镇。那么，全国其他景区是否会限制身份证住址为浦东新区或14天内有上海市浦东新区行程的人员呢？记者致电国内多个冬季热门5A级的封闭/半封闭旅游景区、12345政府热线以及当地联防联控领导小组办公室，为大家提供出行参考↓ http://t.cn/A6Gm3g05 ,,无,无,TRUE,无,无,2020/11/25 17:45,微博 weibo.com,3,4,9,2
Jvuni6vpg,#辟谣#  据警民直通车-上海深夜通报，11月22日，网上流传“上海封城”的谣言，市疫情防控工作新闻发布会迅速辟谣。目前，警方已抓获造谣者赵某（男，31岁）。经查，赵某为哗众取宠，通过社交媒体发布上述谣言，造成恶劣社会影响。现赵某已被依法行政拘留。#男子造谣上海封城被行拘#警方提醒：网络不是法外之地，请广大市民不要随意转发未经证实的消息，做到不造谣、不信谣、不传谣，共同维护健康的网络环境和良好的社会秩序。 [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/986e73bely1gl129n802oj20bn09jwf2.jpg,http://ww4.sinaimg.cn/large/986e73bely1gl129nmlmuj20k00m840x.jpg",无,TRUE,无,无,2020/11/25 7:23,小布的iPhone客户端,3,2,2,1
JvoMyatqp,【#浦东病例密接者核酸结果阴性#】上海市闵行区新冠防控工作领导小组办公室11月24日通报，闵行区疾控部门在流调中，对一名浦东新区确诊病例的密接人员(家住七莘路万科城市花园)开展医学健康检查。经市疾控中心新冠病毒核酸检测，结果为阴性。目前对该密接人员已落实集中隔离观察。#七宝万科辟谣#  原图 ,,http://wx3.sinaimg.cn/large/986e73begy1gl0dk6gc0zj20gl0iqgsw.jpg,无,TRUE,无,无,2020/11/24 17:09,微博 weibo.com,16,4,11,2
JvfWdetdK,#辟谣# 上海机场今日发布通告，昨夜（11月22日），机场方面组织力量对浦东机场货运单位工作人员进行核酸检测，在浦东机场P4停车场设立临时采样点。在医护人员、采样对象、保障单位的配合下，本次专项采样工作已经结束。目前，浦东机场临时采样点已撤除。网传浦东机场可接受免费核酸检测的消息不属实，请市民勿听信谣言，不要自行前往。 #浦东机场# [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/986e73begy1gkzabao3eqj20u00u0ta2.jpg,http://ww3.sinaimg.cn/large/986e73begy1gkzab7estcj20u00zhwnp.jpg",无,TRUE,无,无,2020/11/23 18:38,微博 weibo.com,2,4,0,1
JvcLnmSEh,#辟谣# 【网传的“本市省际客运停运”信息，为今年1月份的旧闻】据上海发布，有多位网友反映，有人通过社交媒体在转发“本市省际客运停运”的消息截图。在今天举行的市疫情防控领导小组新闻发布会上，市政府新闻发言人尹欣回应：经核实，这是“上海发布”今年1月26日发布的信息。目前，本市省际客运运行正常，没有变化，请大家不要担心和误解。 [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/986e73begy1gkywimvp8dj20k00m8tkb.jpg,http://ww3.sinaimg.cn/large/986e73begy1gkywin7gntj20ox0go0zy.jpg",无,TRUE,无,无,2020/11/23 10:33,无,7,2,1,2
JuUOZgKUv,#辟谣# 【网上散布谣言人员已被行政拘留】据警民直通车上海，11月20日，网传上海某职业学院发生强奸案，并致女生跳楼身亡。对此，警方高度重视，立即开展调查。经调取报警记录、走访学校教师及学生、调阅相关监控资料，确认该信息系谣言。并已于昨日发布辟谣信息。现查明，施某（女、44岁）道听途说相关传言后，在未经辨别核实的情况下，为博取关注，将此谣言编辑后散布在网上，造成恶劣社会影响。目前，警方已依法对施某处以行政拘留。警方提醒：网络不是法外之地，请广大市民不要随意转发未经证实的消息，做到不造谣、不信谣、不传谣，共同维护健康的网络环境和良好的社会秩序。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/986e73begy1gkwpb3ma2gj20u00u041j.jpg,http://ww1.sinaimg.cn/large/986e73begy1gkwpb4nno4j20u01ac0wn.jpg",无,TRUE,无,无,2020/11/21 12:53,无,6,3,2,1
Jr1Ot9Ttw,#辟谣# 关于网传“花木地区发生多起阳性病例”的情况通报  原图 ,,http://wx4.sinaimg.cn/large/986e73begy1gk35a4kkmlj20t80v8tc3.jpg,无,TRUE,无,无,2020/10/26 23:19,无,210,156,76,2
JiM0cdmuN,【“上半年疫情期间涉沪十大网络谣言辟谣榜”发布！您可这样举报网络谣言→】#便民提示# 2020年上海市网络举报宣传月今天（2日）启动。活动启动仪式上，主办方正式发布“2020年上半年疫情期间涉沪十大网络谣言辟谣榜”。市民可通过举报电话021-55056666，或举报网址www.shjbzx.cn 等途径反映发生在身边的有害信息。快随小布一起来识破这些谣言↓ [组图共10张] 原图 ,,"http://ww2.sinaimg.cn/large/986e73bely1gicdq8wka8j20yi2p4wtv.jpg,http://ww1.sinaimg.cn/large/986e73bely1gicdq8mmwlj20yi2dedtw.jpg,http://ww1.sinaimg.cn/large/986e73bely1gicdq99s01j20yi24fds9.jpg,http://ww1.sinaimg.cn/large/986e73bely1gicdq9l6lcj20yi2bytpf.jpg,http://ww1.sinaimg.cn/large/986e73bely1gicdqa08m6j20yi28z1c2.jpg,http://ww4.sinaimg.cn/large/986e73bely1gicdqaefo5j20yi26fgz2.jpg,http://ww3.sinaimg.cn/large/986e73bely1gicdqat2ftj20yh23s17y.jpg,http://ww1.sinaimg.cn/large/986e73bely1gicdqb5byej20yi1z84bi.jpg,http://ww2.sinaimg.cn/large/986e73bely1gicdqblhz0j20yi20z4as.jpg,http://ww3.sinaimg.cn/large/986e73bely1gicdqc214kj20yi2taneh.jpg",无,TRUE,无,无,2020/9/2 16:22,小布的iPhone客户端,3,2,1,1
JfH9Rc8s0,#辟谣#【微商开始卖“新冠疫苗”了，498元一针，总共三针，张文宏这样说...】据上海新闻广播，微商终于对新冠疫苗下手了！最近有不少市民发现微信群和朋友圈里竟然有人在卖新冠疫苗，还不止一款。微商给这款“新冠疫苗”配的文案里写着：“需要新冠疫苗的联系我，可做出口，产量低需排队，9月2日正式上市”，配图是一个橙色的包装盒。还有另外一款绿色包装的，微商称“498一支，总共打3支，已经出来了。医护人员和出国人员可以先用。差不多年底，能普及了。”扫描网传疫苗的盒身条形码可以发现，这两款产品分别来自北京科兴中维生物技术有限公司和武汉生物制品研究所有限责任公司。而两家企业相关负责人均表示，并未上市！更不可能在朋友圈兜售！北京科兴中维生物技术有限公司相关负责人表示，“克尔来福新型冠状病毒灭活疫苗（Vero细胞）”目前正在巴西、孟加拉国等国家进行三期临床研究，尚未上市。武汉生物制品研究所有限责任公司相关负责人表示：“新型冠状病毒灭活疫苗（Vero细胞）”目前还在临床试验阶段，没有上市。还有一点必须强调的是朋友圈里兜售疫苗，是违法行为！日前，张文宏在一档直播节目中建议：中国人不用太焦虑打新冠疫苗。“我们可以不要太过焦虑，再看一下，疫苗当中到底哪个最终有效。现在国内的防控模式、防控能力，在疫苗出来之前，是可以保障国内经济平稳有序发展的。” [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/986e73begy1ghoz6nqgwpj20b00adjxq.jpg,http://ww4.sinaimg.cn/large/986e73begy1ghoz6re1uaj20m80go7ou.jpg,http://ww3.sinaimg.cn/large/986e73begy1ghoz6vt7zqj20de0cp44h.jpg,http://ww1.sinaimg.cn/large/986e73begy1ghoz706pqnj20hs0mg4b9.jpg",无,TRUE,无,无,2020/8/13 10:31,微博 weibo.com,23,31,6,2
JdKBF5FfY,【辟谣！上海四院发现新冠病例？官方：境外抵沪，复核为阴性】#辟谣# 据上海虹口：境外抵沪人员陆某某于7月18日自斯里兰卡入境，转送入我区集中隔离点进行隔离医学观察，观察期间无发热、咳嗽等呼吸道症状。按照规定，解除隔离前对其进行新冠病毒核酸检测，检测结果为阳性。区卫健委启动转运流程，派专车将其转运到本区定点医院上海市第四人民医院发热门诊进一步排查，开展流行病学调查。转运、接诊过程中严格落实个人防护和预防性消毒措施。后经市、区疾控中心实验室复核结果均为阴性，上海市第四人民医院按照诊疗规范予以排除。#上海战疫#  http://t.cn/A6Uy9cz1 ,,无,无,TRUE,无,无,2020/7/31 15:37,微博视频,4,1,2,2
