评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2937067297,干净么食安,男,浙江,23760,849,30010,形式主义还是要做的，不然出了问题就是你的大问题。做了之后，责任就小了。,4,2020-04-23 19:53
https://weibo.cn//adhomepage,安迪劳,男,北京,4759,520,1497,周三刚从上海回来，我可以确定，这不是谣言，Songjiang Courtyard不良体温！下周一再去验证一下。,4,2020-04-24 18:46
https://weibo.cn//u/3087883901,Crystal_0504,女,上海,0,8,13,地铁量体温连看都不看的，🙈,4,2020-04-24 13:32
https://weibo.cn//u/5655084010,专业quoren,男,河南,5,194,35,昨天刚住过不是谣言,1,2020-04-29 14:56
https://weibo.cn//imsunxiaodong,呕吐曼大战互撸娃,男,浙江,142,190,2768,告诉你，成都海霸王市场一样不看的,0,2020-04-25 10:28
https://weibo.cn//adhomepage,安迪劳,男,北京,4759,520,1497,周三刚从上海回来，我可以确定，这不是谣言，Songjiang Courtyard不良体温！下周一再去验证一下。,4,2020-04-24 18:46
https://weibo.cn//u/5080946082,王少茶,女,上海,351,59,68,回复@Crystal_0504:高了就会响,1,2020-04-24 15:59
https://weibo.cn//u/3087883901,Crystal_0504,女,上海,0,8,13,地铁量体温连看都不看的，🙈,4,2020-04-24 13:32
https://weibo.cn//u/1746565203,ROCK大脑袋,男,上海,1359,455,218,其实告诉你们一个秘密，就是两个月前许多地方也是装样子照一下的,2,2020-04-24 11:20
https://weibo.cn//u/5323429685,神乐阪明日菜,女,上海,74,208,21,看到了。确实徐家汇是这样的。,2,2020-04-24 09:49
https://weibo.cn//u/2937067297,干净么食安,男,浙江,23760,849,30010,形式主义还是要做的，不然出了问题就是你的大问题。做了之后，责任就小了。,4,2020-04-23 19:53
https://weibo.cn//u/2270205975,Ryan-Smile,男,江苏,612,1602,282,体温计有的是坏的   还装模作样的量一下,0,2020-04-23 18:17
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,辟谣！入住上海酒店已不用亮码量体温？没有的事！,0,2020-04-22 10:08
https://weibo.cn//u/5339954375,你啊你ll,女,其他,460,242,98,有的地方反沪隔离的学生体温自己填     举报             赞[0]         回复             2020-04-21 17:14:46 来自网页,0,2020-04-21 17:14
