评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//changning,上海长宁,女,上海,60356,297,162410,不信谣，不传谣。,0,2020-01-28 20:28
https://weibo.cn//shja229,上海静安,女,上海,104373,848,485362,【急寻沪B-QC288司机，与发热病人有接触？误传！】,0,2020-01-28 18:14
https://weibo.cn//xuhuinews,上海徐汇发布,男,上海,66070,404,227009,不传谣，不信谣,0,2020-01-28 14:59
https://weibo.cn//u/3377729964,peruser,女,上海,7917,77,36,//@上海市场监管: 不信谣，不传谣。     举报             赞[0]         回复             2020-02-04 16:04:19 来自网页,0,2020-02-04 16:04
https://weibo.cn//u/6594286860,Thwz1sy,女,上海,1562,17,2,//,0,2020-02-01 15:48
https://weibo.cn//shfdamh,闵行市场监管,男,上海,25035,251,13034,//,0,2020-01-31 13:16
https://weibo.cn//changning,上海长宁,女,上海,60356,297,162410,不信谣，不传谣。,0,2020-01-28 20:28
https://weibo.cn//u/1829847293,优优和大胖,男,上海,289,99,32,那么到底有没有发热的人在那个地址上了救护车？,0,2020-01-28 20:26
https://weibo.cn//u/6142612149,马桥市场监督管理所,女,上海,5741,76,17,//@上海市场监管: 不信谣，不传谣。     举报             赞[0]         回复             2020-01-28 20:08:11 来自网页,0,2020-01-28 20:08
https://weibo.cn//u/6029916786,陆陆6029916786,女,上海,4279,106,55,不传谣，不信谣,0,2020-01-28 19:28
https://weibo.cn//shja229,上海静安,女,上海,104373,848,485362,【急寻沪B-QC288司机，与发热病人有接触？误传！】,0,2020-01-28 18:14
https://weibo.cn//u/2674705541,瓶子里的方便面,女,上海,591,449,138,但是广大司机需要保护措施！目前没有听闻到任何措施！！,0,2020-01-28 16:30
https://weibo.cn//u/2482325401,上海市场监管,男,上海,13310,285,421002,不信谣，不传谣。,0,2020-01-28 15:55
https://weibo.cn//xuhuinews,上海徐汇发布,男,上海,66070,404,227009,不传谣，不信谣,0,2020-01-28 14:59
https://weibo.cn//u/2559108964,蓝天六号,男,福建,2284,375,192,急救车，不要再传了,0,2020-01-28 14:16
https://weibo.cn//u/1411103711,xiasi_sh,女,上海,7673,514,503,这么明确车牌还需要网寻？当警察叔叔都放假了？,2,2020-01-28 14:15
https://weibo.cn//shypgov,上海杨浦,男,上海,71995,385,153619,【急寻沪B-QC288司机，与发热病人有接触？误传！】,0,2020-01-28 14:14
