评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//207891990,Mint味的Ha,女,上海,9224,392,652,你清醒一点！现在才9点多，今天0-12时是什么？,15,2020-02-11 09:16
https://weibo.cn//u/7314294597,风云再起笑春秋,男,其他,1596,235,54,本来吧，全国公布疫情信息就没有像上海这样的，单单挑出个外地人，也算创举啊！外地户口，本地有住址（即便是租户），就该归住址所在区啊！,8,2020-02-11 09:22
https://weibo.cn//jixiang3bao,三三三宝,男,上海,26301,1060,27332,所以浦东什么时候像徐汇一样公布之前所有确诊的地点？？？,6,2020-02-11 10:42
https://weibo.cn//u/1428748992,sky--fg,男,上海,698,113,382,回复@Mint味的Ha:昨天0-12点，是我看错了？,0,2020-02-11 21:24
https://weibo.cn//chjwzm,超级王子面,女,上海,2123,249,144,浦东请公布已确认病例的确诊地点及轨迹,0,2020-02-11 15:18
https://weibo.cn//u/2391600434,无人知道的小草XC,女,上海,193,176,130,病毒进化了？连续三天认准上海人感染？,3,2020-02-11 13:26
https://weibo.cn//u/1177409423,-怒八金-,女,上海,12467,643,1408,所以浦东什么时候像徐汇一样公布之前所有确诊的地点？？？,0,2020-02-11 12:59
https://weibo.cn//victoriacxj,LadyVic,女,上海,2372,296,380,所以浦东什么时候像徐汇一样公布之前所有确诊的地点？？？,0,2020-02-11 12:44
https://weibo.cn//u/6055893585,王小丑儿,女,上海,13,84,75,我就看看笑而不语,1,2020-02-11 12:08
https://weibo.cn//201229229,长安_惊鸿踏雪,女,海外,123,110,720,所以浦东什么时候像徐汇一样公布之前所有确诊的地点？？？,4,2020-02-11 11:50
https://weibo.cn//u/1941327447,怪兽码农,男,上海,111,523,606,回复@群群lauren_694:据说杭州没有市长8个月了，我们上海也要让市长滚蛋，要想让上海在这次疫情中幸存，就要让这帮尸位素餐的赤佬滚蛋。,0,2020-02-11 11:46
https://weibo.cn//u/1830664420,火星侠烦死了,女,上海,12,198,48,徐汇区已经公布了全部确诊地点，浦东什么时候公布？浦东最多了！,4,2020-02-11 11:40
https://weibo.cn//u/6310725684,为了葵改的名,女,其他,239,548,63,这个正常啊，没有居住证的都不来上海了呀，又找不到工作赚不到钱，都留在老家。来的都是上海有住房有工作的有居住证的，也是上海常住人口，需要上班了回上海而已,1,2020-02-11 11:19
https://weibo.cn//u/1820482247,风过留痕201310,男,上海,376,310,136,转发微博,0,2020-02-11 11:03
https://weibo.cn//u/6231552189,NN-DK,女,上海,1,57,1,2.10号浦东瑞和苑那例呢？,0,2020-02-11 10:50
https://weibo.cn//jixiang3bao,三三三宝,男,上海,26301,1060,27332,所以浦东什么时候像徐汇一样公布之前所有确诊的地点？？？,6,2020-02-11 10:42
https://weibo.cn//jiajiadeyuan,嘉嘉Gu,女,上海,3445,399,236,户籍和常住人口，两个概念。辟谣是很重要，信息透明全面才能从源头上真正杜绝造谣不是么。,1,2020-02-11 09:56
https://weibo.cn//u/2036341773,开ae86的兎兎,女,上海,5193,386,124,     举报             赞[0]         回复             2020-02-11 09:30:58 来自网页,0,2020-02-11 09:30
https://weibo.cn//gabi20,yesminlin,女,上海,652,1321,310,浦东发布你真是大言不惭……,5,2020-02-11 09:30
https://weibo.cn//u/7314294597,风云再起笑春秋,男,其他,1596,235,54,回复@风云再起笑春秋:信息不充分，人家恐惧，就怪人家造谣。你就不能换位思考啊！一天到晚的阴谋论！,3,2020-02-11 09:30
https://weibo.cn//u/2311359854,情何以归零,女,上海,778,652,128,emmmmmmm,0,2020-02-11 09:28
https://weibo.cn//u/7314294597,风云再起笑春秋,男,其他,1596,235,54,回复@风云再起笑春秋:人家公布轨迹了，千呼万唤之下只公布了，却只是个地址区域。这又是个创举啊！人为制造恐惧，你公布完整不行嘛？,1,2020-02-11 09:25
https://weibo.cn//zz6012,玉雪精灵,女,海外,123575,1135,16089,上海  加油    我家 上海   坚强,0,2020-02-11 09:25
https://weibo.cn//u/7314294597,风云再起笑春秋,男,其他,1596,235,54,本来吧，全国公布疫情信息就没有像上海这样的，单单挑出个外地人，也算创举啊！外地户口，本地有住址（即便是租户），就该归住址所在区啊！,8,2020-02-11 09:22
https://weibo.cn//u/2019240052,粥小麦储存正能量,女,其他,226,551,323,怎么？又想给良民扣上造谣的帽子？大家眼睛都瞎了？小编语文造诣能力好好去进修进修吧！,10,2020-02-11 09:20
https://weibo.cn//u/2585713272,Mocca_Tsui,女,上海,9007,278,1435,鬼才信,2,2020-02-11 09:20
https://weibo.cn//selaoyeye,色老爺爺,男,上海,6498,499,440,现在又不公布地址了？,0,2020-02-11 09:18
https://weibo.cn//u/3841491914,群群lauren_694,女,上海,31,48,11,你去看看隔壁杭州发布把 都有核减了 杭州说了这是国家新统计标准,3,2020-02-11 09:18
https://weibo.cn//u/5177203877,萝卜头的天下,女,上海,9653,351,154,辟谣了吗？连续三天没有外地户籍病例？,9,2020-02-11 09:16
https://weibo.cn//207891990,Mint味的Ha,女,上海,9224,392,652,你清醒一点！现在才9点多，今天0-12时是什么？,15,2020-02-11 09:16
https://weibo.cn//u/1733491860,曲尽已忘情,男,上海,5,146,276,警察不管？,0,2020-02-11 09:12
https://weibo.cn//draco78,Madman2020,男,上海,3871,327,173,可以吗？,0,2020-02-11 09:10
