评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1803252022,lovely_candy_2009,女,上海,687,320,216,暂时不发热不代表没携带病毒，吃了退烧药能测出来吗？,18,2020-02-11 16:59
https://weibo.cn//u/2035246084,萌狗有户口,男,上海,1948,323,280,终南山老师的论文都说了新冠初期超过一般的人是不发烧的！仅凭体温会把病人漏掉！ ,13,2020-02-11 17:05
https://weibo.cn//u/1752804170,清瘦的日子-猫,女,上海,524,416,206,你们以发热辨别有无带病的重要表現吗？！宣传了这么久还不知道有潜伏期吗？,8,2020-02-11 17:05
https://weibo.cn//rikobaby84,Riko大魔王,女,上海,3153,821,881,为什么全国都不接受重点地区进入，就上海接受？是觉得金山太空了吗？是觉得上海纳税人的钱用不出去吗,2,2020-02-11 23:54
https://weibo.cn//andromeda13,阿和D阿和,男,海外,76581,909,1429,为什么路口都是教师在检查？,1,2020-02-11 20:48
https://weibo.cn//u/1934333930,君小栗,女,上海,1772,828,281,每天专攻辟谣累不累，干点实事吧,0,2020-02-11 20:45
https://weibo.cn//u/1365680855,快乐行走的猪,男,上海,1707,199,126,回复@冬雨也能绵绵:按照他们的说法是暂时没有工作，没有居住地的劝返。奇怪的是重点地区的为什么还能进入上海？,0,2020-02-11 20:10
https://weibo.cn//u/1365680855,快乐行走的猪,男,上海,1707,199,126,重点地区的还能进来？,3,2020-02-11 20:08
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,网传关于大量外地确诊病患开车来上海就医信息不实,0,2020-02-11 19:55
https://weibo.cn//u/1821871180,露露是谁啊,女,上海,46,72,13,为什么一个道口放进来那么多，还是仅。在搞笑吗？,3,2020-02-11 18:11
https://weibo.cn//u/6428692114,Vanilla3675,女,其他,0,60,2,哈哈哈 这笑话挺好,0,2020-02-11 17:35
https://weibo.cn//u/1864928832,冬雨也能绵绵,女,上海,1701,278,188,不懂，为什么同样来自于重点地区，为什么有的人被劝返，有的人没有,1,2020-02-11 17:23
https://weibo.cn//u/2123681971,米似特杨,男,上海,553,450,187,脑子是个好东西，希望你有。说了发热不是唯一症状，还在以发热为标准,5,2020-02-11 17:09
https://weibo.cn//u/2035246084,萌狗有户口,男,上海,1948,323,280,终南山老师的论文都说了新冠初期超过一般的人是不发烧的！仅凭体温会把病人漏掉！ ,13,2020-02-11 17:05
https://weibo.cn//u/1752804170,清瘦的日子-猫,女,上海,524,416,206,你们以发热辨别有无带病的重要表現吗？！宣传了这么久还不知道有潜伏期吗？,8,2020-02-11 17:05
https://weibo.cn//garyecnu,SK灌水,男,海外,29502,294,1085, 海纳百川，教师站岗，劝返有力，一天重点地区仅入沪343人。,6,2020-02-11 17:00
https://weibo.cn//u/1803252022,lovely_candy_2009,女,上海,687,320,216,暂时不发热不代表没携带病毒，吃了退烧药能测出来吗？,18,2020-02-11 16:59
https://weibo.cn//527046788,chris_7_21黄浦二期,男,上海,101976,2137,58396,小学教师也是闲的蛋疼,0,2020-02-11 16:58
