评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3887079784,条河麻耶,男,上海,6377,256,267,全靠自觉你觉得可能吗？如果所有人都自觉那还要管理组织干什么？,10,2020-02-10 08:21
https://weibo.cn//u/2647327594,shwangwang,女,上海,1070,239,142,对返回人员要有严密措施监控，紧靠他们自觉是不行的。我一普通上海市民已经19天没出小区了。（倒垃圾才出家门），继续我家里做贡献。现在关键是回沪人员的监控和宣传呀！,7,2020-02-10 08:07
https://weibo.cn//327890218,胖子都有颗敏感的心,女,上海,464,546,373,拉到吧,4,2020-02-10 08:08
https://weibo.cn//u/2859794054,pinetree0802,女,上海,49321,1315,235,你觉得他们自觉了吗？他们自觉了你浦东会那么多感染病例？,0,2020-02-16 18:55
https://weibo.cn//u/1979051660,ffface51kkk,女,上海,296,758,119,上海管的太松了！这种时候不要光喊口号！,0,2020-02-10 10:56
https://weibo.cn//u/6406536537,rosamultiflora9339,女,其他,6,100,1,自觉的话那101个发热的是怎么回事 我们在家十几天，他们一回来全白费了,0,2020-02-10 09:38
https://weibo.cn//blueleafxp,吃猫叔叔,男,上海,4643,393,2252,是否能把瞒报的人员纳入诚信报告，并永久禁止入户呢，另外如果禁止外地人三五成群的聚会,0,2020-02-10 09:34
https://weibo.cn//jasonluogang,詹木木木,男,海外,895,569,23,守住上海，人人有责！,0,2020-02-10 09:15
https://weibo.cn//208880618,Mr_JoKeR01,女,上海,2979,828,12964,除了上海本地人 别人会睬你吗！有这个自觉会这个点来上海吗！你们不管控要靠我们来买单吗！,0,2020-02-10 08:57
https://weibo.cn//u/5181775175,黑暗料理小boss,女,山东,1088,189,50,我只想知道回上海复工需要上报吗？在哪里上报,0,2020-02-10 08:52
https://weibo.cn//u/1878164795,晴天吉米,男,上海,787,107,122,靠自觉可能吗？有些返沪的不但没有自觉隔离，还不戴口罩在外面走。,1,2020-02-10 08:51
https://weibo.cn//u/3887079784,条河麻耶,男,上海,6377,256,267,全靠自觉你觉得可能吗？如果所有人都自觉那还要管理组织干什么？,10,2020-02-10 08:21
https://weibo.cn//u/6428623468,狗剩颜粉,女,其他,781,133,39,回复@詹姆士大爷:都辟谣了好伐,1,2020-02-10 08:20
https://weibo.cn//u/5463992184,詹姆士大爷,男,上海,52,290,59,有厢式货车装回的，有后备箱回来的，你们怎么管？,3,2020-02-10 08:19
https://weibo.cn//u/1450497670,红酿,女,湖南,3495,343,159,哎，我已经19天没出过我家门了,3,2020-02-10 08:18
https://weibo.cn//327890218,胖子都有颗敏感的心,女,上海,464,546,373,拉到吧,4,2020-02-10 08:08
https://weibo.cn//u/7302230718,木丰丰2012_3,女,湖北,357,296,170,那么多的返城人员如何控制的？,3,2020-02-10 08:07
https://weibo.cn//u/2647327594,shwangwang,女,上海,1070,239,142,对返回人员要有严密措施监控，紧靠他们自觉是不行的。我一普通上海市民已经19天没出小区了。（倒垃圾才出家门），继续我家里做贡献。现在关键是回沪人员的监控和宣传呀！,7,2020-02-10 08:07
https://weibo.cn//u/6203527652,VC-SH310,男,上海,351,1117,214,从来不惮以最大的恶意揣测它们,3,2020-02-10 08:04
https://weibo.cn//kaoruhan,KaoruHan,女,其他,19746,708,947,又没强制，怎么会自我隔离，还要看人家老板同不同意呢,1,2020-02-10 08:04
https://weibo.cn//idole,爱豆_茶包_1分1秒-20090729,女,上海,3848,155,160,进城不多是因为人家老家不给出门。 就我们这小区的管控水平，上海人民还真该谢谢人家的村镇小区呢。,5,2020-02-10 08:03
