评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5751409528,旧人abc,男,安徽,34,80,31,反应一个情况：浦东新区祝桥镇那边相关证明都有，就是说是安徽蚌埠就不让进，想知道这是官方发布？还是农村小区的一刀切。封小区并不是完全一刀切啊。希望官方给出合理的解决办法。,0,2020-02-19 09:45
https://weibo.cn//u/1880545234,射手座Elaine,女,上海,4469,197,343,非常时期，发任何东西之前搞搞清楚、不确定的不发是最基本的要求。你的以为好像听说，可能伤害了无数辛苦付出的基层工作人员 ；他们每天够忙的了，别让谣言占用他们宝贵的时间,23,2020-02-18 14:56
https://weibo.cn//u/1141145657,金鱼波姬,女,上海,1924,374,269,辛苦了,4,2020-02-18 14:32
https://weibo.cn//u/5916707570,古道0079,男,其他,0,153,3,把造谣的抓起来,0,2020-02-20 08:14
https://weibo.cn//pudongnews,浦东发布,女,上海,51346,1547,457428,回复@旧人abc:您好，小布会把情况反馈给相关部门。同时，建议通过浦东防疫防控工作问题建议征集平台在线反映：http://t.cn/A6ho7iog,0,2020-02-20 00:27
https://weibo.cn//elainehu1209,Elainnnnnnna,女,上海,182,653,872,我妈小区老阿姨天天广场舞 不戴口罩 110打了几次了 一点效果没有,0,2020-02-19 09:46
https://weibo.cn//u/5751409528,旧人abc,男,安徽,34,80,31,反应一个情况：浦东新区祝桥镇那边相关证明都有，就是说是安徽蚌埠就不让进，想知道这是官方发布？还是农村小区的一刀切。封小区并不是完全一刀切啊。希望官方给出合理的解决办法。,0,2020-02-19 09:45
https://weibo.cn//freecoco,高冷的天使CoCo,女,上海,746,404,275,特殊时期，上海作为国际一线城市，为了经济也是实在无法做到完全封闭的，疫情的控制，还要靠这些叔爷们的坚守，辛苦了！,0,2020-02-18 23:03
https://weibo.cn//u/6485019987,天空的珞茜,女,上海,956,79,7,真相来了,0,2020-02-18 22:41
https://weibo.cn//u/2651018313,美乐蒂_琦,女,上海,1076,160,160,保安真的辛苦，最近很冷，感激他们,0,2020-02-18 22:11
https://weibo.cn//u/2062501433,狐嗒嗒,女,上海,75,199,111,干脆挂个值班室的牌子就没事了。这种时候还是要谨慎，免得被某些别有用心的人拿去制造社会矛盾。,0,2020-02-18 21:59
https://weibo.cn//u/3158308727,Leo顾先生,男,上海,194,69,671,唉，我们小区封了，外地返沪的租客的确进不去，我太难了,0,2020-02-18 18:45
https://weibo.cn//520kiss,客堂间大美美,女,上海,21277,1845,13755,造谣的，传谣的，何居心？,0,2020-02-18 17:09
https://weibo.cn//u/1880545234,射手座Elaine,女,上海,4469,197,343,非常时期，发任何东西之前搞搞清楚、不确定的不发是最基本的要求。你的以为好像听说，可能伤害了无数辛苦付出的基层工作人员 ；他们每天够忙的了，别让谣言占用他们宝贵的时间,23,2020-02-18 14:56
https://weibo.cn//u/1141145657,金鱼波姬,女,上海,1924,374,269,辛苦了,4,2020-02-18 14:32
https://weibo.cn//u/7303062008,念佛听情,男,其他,1606,84,16,造谣动动嘴，辟谣跑断腿。,8,2020-02-18 14:18
