评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5526362989,兔萌萌i-strawberry,女,上海,167,345,38,请说明是哪家培训机构，不要一杆子打死所有的培训机构,1,2020-05-13 20:07
https://weibo.cn//u/3059096142,一一臭美妞,女,上海,1246,294,46,小学一般在六月中旬就期末考试，然后开始家里蹲等待宣布放暑假，没几天了，强烈要求就别开学了，毕竟口罩对孩子而言形同虚设，安全第一！,12,2020-05-14 09:06
https://weibo.cn//joeykkoala,KoalaD,女,上海,540,90,273,你直接说下，开或者不开，给个结果，免得大家猜来猜去,14,2020-05-13 21:44
https://weibo.cn//u/2010996840,耳闻或目睹,男,上海,5728,2350,668,上海小学生6月2日开学是真的。今天上海电视台已经报道了。,0,2020-05-16 22:35
https://weibo.cn//u/5444875275,saylove33520,女,其他,2,122,13,回复@saylove33520:很打脸 哎 发句话不容易,0,2020-05-16 20:52
https://weibo.cn//u/5444875275,saylove33520,女,其他,2,122,13,回复@virginner:很,0,2020-05-16 20:52
https://weibo.cn//u/5444875275,saylove33520,女,其他,2,122,13,很大件,0,2020-05-16 20:52
https://weibo.cn//u/1084004977,carsper427,女,上海,2145,360,337,开学啦,0,2020-05-16 18:22
https://weibo.cn//u/1891777884,Joy环游世界,女,上海,3925,300,488,一会辟谣一会官宣 倒是蛮有意思的,0,2020-05-16 17:32
https://weibo.cn//u/1462291251,virginner,女,上海,705,306,179,辟谣个屁啊，今天都官宣了，十三点,1,2020-05-16 17:20
https://weibo.cn//feisinging,fifi要改变,女,上海,4089,611,622,回复@辰龙哈哈:你是怎么知道的 靠谱么,0,2020-05-14 12:25
https://weibo.cn//u/3059096142,一一臭美妞,女,上海,1246,294,46,小学一般在六月中旬就期末考试，然后开始家里蹲等待宣布放暑假，没几天了，强烈要求就别开学了，毕竟口罩对孩子而言形同虚设，安全第一！,12,2020-05-14 09:06
https://weibo.cn//u/2316918022,我是坚果妈jjj,女,上海,4496,352,251,强烈反对开学！！！,12,2020-05-14 07:20
https://weibo.cn//u/2665340411,疯疯癫癫的小阿禾,女,上海,159,314,451,早点开学吧，工作不容易，北京都官宣了，自愿送孩子就好呀，否则老师都要喝西北风了好吗,1,2020-05-14 07:15
https://weibo.cn//bobo880221,辰龙哈哈,男,上海,78,737,369,回复@丢失了水晶鞋的灰姑娘要去霓虹:上海14号官宣，我看到家说了,0,2020-05-14 01:50
https://weibo.cn//u/2557830730,儒释道日月星,女,北京,279,1976,86,回复@辰龙哈哈:,0,2020-05-14 00:13
https://weibo.cn//bobo880221,辰龙哈哈,男,上海,78,737,369,回复@刘不静小姐:倒闭的都是小的，优胜劣汰,0,2020-05-13 23:58
https://weibo.cn//lilz,赵小小爱旅行,女,上海,5430,670,1233,最好的辟谣方式是官宣！,3,2020-05-13 23:06
https://weibo.cn//u/1660987772,serena310,女,上海,7928,559,950,求开学,4,2020-05-13 22:41
https://weibo.cn//u/2459732704,我爱抹茶7879,女,北京,150,738,231,为啥不能开学，不敢去的读书，请假呆家里,4,2020-05-13 22:04
https://weibo.cn//u/1866106954,丢失了水晶鞋的灰姑娘要去霓虹,女,上海,267,557,379,回复@快乐水水66:北京今天官宣了，上海不会晚了,0,2020-05-13 21:45
https://weibo.cn//joeykkoala,KoalaD,女,上海,540,90,273,你直接说下，开或者不开，给个结果，免得大家猜来猜去,14,2020-05-13 21:44
https://weibo.cn//201255573,局部气候调查组,男,上海,1536,142,1602,只是中福会辟谣，上海发布依旧没有承认,4,2020-05-13 21:38
https://weibo.cn//u/6448775177,大卫yiyiyoyo,女,海外,47,126,27,回复@快乐水水66:角度清奇而又无法反驳，等待官宣,0,2020-05-13 21:37
https://weibo.cn//u/2557830730,儒释道日月星,女,北京,279,1976,86,反对开学,14,2020-05-13 21:17
https://weibo.cn//leugaryhand,Gary-Leaung,男,广东,55,730,589,回复@吃小龙虾的猫猫:教培机构从去年就开始大洗牌了，坚守下来的，都已经筛选过。现在全部一刀切，可是哪个行业背后不是一群老百姓？不发工资甚至减薪我都可以理解，可得有一个希望吧？你告诉我能开，业绩慢慢做上去呗。可现在连能不能开都不说，我哪里知道什么时候是个头？作为老板眼睁睁看着亏损，然后负债累累？,1,2020-05-13 20:53
https://weibo.cn//u/1891777884,Joy环游世界,女,上海,3925,300,488,我朋友的机构已经从幼儿舞蹈转型到成人舞蹈了，大环境下大家不容易，机构也要想办法自救,5,2020-05-13 20:42
https://weibo.cn//208686290,Liuliu_xxxyyy,女,上海,50716,782,56,回复@兔萌萌i-strawberry:一样,0,2020-05-13 20:40
https://weibo.cn//u/1008943314,吃小龙虾的猫猫,女,上海,4,195,7,回复@兔萌萌i-strawberry:今年机构的部分倒闭是大势所趋，不是一个暑假能够彻底翻身的，只有资金雄厚，另辟蹊径的培训机构才能生存下去。很多行业收到冲击，没办法。,6,2020-05-13 20:35
https://weibo.cn//u/2557830730,儒释道日月星,女,北京,279,1976,86,回复@快乐水水66:,0,2020-05-13 20:34
https://weibo.cn//u/5526362989,兔萌萌i-strawberry,女,上海,167,345,38,回复@Liuliu_xxxyyy:在等下去怕是要吃土啦,0,2020-05-13 20:33
https://weibo.cn//u/1767203890,刘不静小姐,女,上海,4662,436,645,快点开学吧，再不开学，我们培训机构就要倒闭了啊，我们快撑不住了啊,4,2020-05-13 20:24
https://weibo.cn//u/1767203890,刘不静小姐,女,上海,4662,436,645,回复@兔萌萌i-strawberry:再不开学我们培训机构就要倒闭啦，我们所有老师都要失业啦,0,2020-05-13 20:23
https://weibo.cn//208686290,Liuliu_xxxyyy,女,上海,50716,782,56,回复@兔萌萌i-strawberry:继续耐心等待,0,2020-05-13 20:20
https://weibo.cn//u/5526362989,兔萌萌i-strawberry,女,上海,167,345,38,回复@兔萌萌i-strawberry:好的，多谢，那请问上海幼儿园及线下培训机构什么时候能复课,2,2020-05-13 20:13
https://weibo.cn//pudongnews,浦东发布,女,上海,51346,1547,457428,回复@兔萌萌i-strawberry:一张传言图上留下了观看发布会直播的二维码，记者扫描二维码，发现是一个名为“上海XX百科”的个人微信公众号，散布不实消息吸引流量关注的目的非常明显；而多则传言中，在宣称幼儿园和小学低年级复学的同时，特意带上了“培训机构开课”的字样。,0,2020-05-13 20:10
https://weibo.cn//u/5526362989,兔萌萌i-strawberry,女,上海,167,345,38,请说明是哪家培训机构，不要一杆子打死所有的培训机构,1,2020-05-13 20:07
https://weibo.cn//208686290,Liuliu_xxxyyy,女,上海,50716,782,56,哎 都不知道哪里来的谣言真可怕,6,2020-05-13 19:58
