评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//woshibajiao,浦东八脚章鱼,男,上海,5715,1254,2781,当时看到有些群里在传就觉得不靠谱，如果真有那么多例本土病例，怎么可能一点消息都没有，果然还是境外输入，放心啦,8,2020-10-26 23:22
https://weibo.cn//u/2505117362,大碗橙汁,男,四川,1681,685,239,还好是谣言🙏,6,2020-10-26 23:27
https://weibo.cn//u/6876609076,林侞加加,女,北京,487,225,26,搞什么7+7啦，14+7还差不多,63,2020-10-26 23:34
https://weibo.cn//smileweb115,葭_苇,女,上海,10338,434,671,不是所有人都自觉的，还有很多人是自私的,0,2020-11-02 23:04
https://weibo.cn//u/2183085561,你有没有见过Y喵的小熊,女,上海,2204,714,245,我家就在花木街道,0,2020-11-01 15:35
https://weibo.cn//u/1929325705,Ydunsn,女,上海,2971,1061,410,不出事不知道，原来现在是7+7,1,2020-10-29 09:29
https://weibo.cn//u/3501652074,李文华米原,女,海南,10741,5144,755,酒店隔离14天最好，然后回家再自觉隔离7天，利己利人！,2,2020-10-28 09:14
https://weibo.cn//u/1827760384,Count-Julian,男,上海,3214,98,1238,把造谣的人抓起来，警方出通报，否则辟谣毫无说服力，造谣者也毫无敬畏之心,0,2020-10-27 15:42
https://weibo.cn//u/7209428897,BFE不犯二,男,其他,9152,255,63,//,1,2020-10-27 15:14
https://weibo.cn//u/2623296545,不吃甜食了真的,女,上海,122,273,230,@i1unno10I1,1,2020-10-27 14:07
https://weibo.cn//amyingky,EMILEOYXLun,男,上海,337,268,734,下回谣言发布者应该小小处罚一下吧,0,2020-10-27 09:41
https://weibo.cn//xinlangshanghai,新浪上海,男,上海,63425,1581,2396046, 关于网传“花木地区发生多起阳性病例”的情况通报 ,1,2020-10-27 09:02
https://weibo.cn//u/1690122162,魔都莫太太,女,上海,405,258,90,居家隔离变数实在太多了 条件允许的话 还是14天集中隔离吧 但凡小区有居家隔离的 大家心里都吓丝丝的呀,17,2020-10-27 07:58
https://weibo.cn//linyin86,凡士林FantasyLin,男,上海,106590,2109,4372,转发微博,1,2020-10-27 07:37
https://weibo.cn//u/7314426561,IndyQueen_呵呵呵,女,上海,4852,336,94,不懂就问，啥是7+7隔离？酒店里住7天就回家了吗？,8,2020-10-27 01:25
https://weibo.cn//u/7375027153,万事顺意021108,女,上海,742,157,10,防患未然呦,0,2020-10-27 01:18
https://weibo.cn//523499788,咖啡神油,男,北京,28039,1192,23374, ,0,2020-10-27 01:12
https://weibo.cn//u/2095561483,甲胄归,男,海外,611,312,181,转发微博,1,2020-10-27 00:03
https://weibo.cn//574925522,上海的宋三,男,上海,277229,12780,6362,别搞7+7了，就14天酒店隔离吧,48,2020-10-26 23:54
https://weibo.cn//u/5624233240,逃跑的羊毛卷,女,其他,307,549,70,@黄90不胡九筒,0,2020-10-26 23:49
https://weibo.cn//u/5733654810,Kane0831,男,上海,72,248,30,有被吓到,0,2020-10-26 23:48
https://weibo.cn//u/1579412087,鱼丸不好成都,女,四川,1,75,88,张文宏：偶尔出现的一例两例病例不要奇怪。  更何况是境外的,5,2020-10-26 23:44
https://weibo.cn//u/6876609076,林侞加加,女,北京,487,225,26,搞什么7+7啦，14+7还差不多,63,2020-10-26 23:34
https://weibo.cn//u/1744549200,Kingmomo89,女,上海,1189,493,251,花木的来康康,0,2020-10-26 23:32
https://weibo.cn//u/2559108964,蓝天六号,男,福建,2284,375,192,上海的防控一直很严格，谣言不可信，洗洗睡了,3,2020-10-26 23:29
https://weibo.cn//u/2505117362,大碗橙汁,男,四川,1681,685,239,还好是谣言🙏,6,2020-10-26 23:27
https://weibo.cn//woshibajiao,浦东八脚章鱼,男,上海,5715,1254,2781,当时看到有些群里在传就觉得不靠谱，如果真有那么多例本土病例，怎么可能一点消息都没有，果然还是境外输入，放心啦,8,2020-10-26 23:22
