微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JxFhFCIFe,【假的！#钟南山院士来成都系谣言#】近日，网传“84岁钟南山院士落地成都”，刚刚经核实，关于“84岁钟南山院士落地成都”的消息不实。据悉，当前成都已迅速组织省市区三级相关部门和专家成立工作专班，联合对情况进行研判，安排应急处置措施。同时强化医疗救治，组织四川大学华西医院等省市专家，精准救治。（健康成都官微）http://t.cn/A6q2nZdX #成都辟谣钟南山落地成都抗疫#@封面新闻 ,,无,无,TRUE,无,无,2020/12/9 14:50,Android,4,1,0,3
JsZzijAEK,你听过这些谣言吗？快来看看真相!【深圳网警每周辟谣榜单  第12期】生姜擦头皮可以生发？湖北黄冈某海鲜市场检测出新冠病毒？深圳网民称人口普查登记一户奖励10元？辟谣！！#网安天下##谣言粉碎机# @中国警方在线 @微博辟谣 深圳网警的微博视频  ,,无,无,TRUE,无,无,2020/11/8 21:17,Android,3,0,1,1
JpUo0umPI,【深圳网警每周辟谣榜单  第9期】网传“中秋微信红包有病毒”？网警发短信告知你与诈骗团伙有联系？北京西单大悦城发现4例确诊病例？老谣言换汤不换药！#微博辟谣##网安天下##谣言粉碎机#  @深圳网警   深圳网警的微博视频  ,,无,无,TRUE,无,无,2020/10/19 14:35,科学科普 · 视频社区,0,0,0,1
JoqYS2sMN,【深圳网警每周辟谣榜单  第7期】纠纷害两条人命？高空塔吊突然倒塌？中国黑客窃取疫苗信息？谣言！看《网安天下》为您辟谣！#微博辟谣##网安天下##谣言粉碎机#  @深圳网警 深圳网警的微博视频  ,,无,无,TRUE,无,无,2020/10/9 21:53,微博 weibo.com,2,1,0,1
JkAIwpKtx,"转发理由:别信，这些都是谣言！  
原始用户: 深圳网警
转发内容: 【深圳网警每周辟谣榜单 第4期】三岁女童被拐卖？营业执照不认证超时销户？征信影响孩子受教育权？南航客机遭劫持？别信，都是谣言！看《网安天下》为您辟谣！#微博辟谣# #网安天下# #谣言粉碎机#  深圳网警的微博视频  ",,无,无,FALSE,无,无,2020/9/14 15:19,微博 weibo.com,2,3,1,1
JgjtsBexv,【#美主持人辟谣口罩藏5G天线且致癌#】“赶紧丢掉你的口罩！里面有根5G天线能控制你并且患上脑癌！”近日，美国社交媒体上广泛流传着这样的内容。美国一节目对此言论进行辟谣，“这样的说法没有任何科学依据！”主持人提醒，口罩“不仅不包含5G天线，而且你不能用它来下载任何东西或打电话”，口罩的唯一好处“就是保护你和其他人免受病毒的传播。”#深圳实现5G独立组网全覆盖##多国发现新冠病毒变异毒株# http://t.cn/A6yQDIgF ,,无,无,TRUE,无,无,2020/8/17 12:04,深安君Android,22,5,15,2
J6MxA6Tvc,"转发理由:转发辟谣！#北京疫情这些谣言别信#  
原始用户: 人民日报
转发内容: 【转发辟谣！#北京疫情这些谣言别信#】北京欢乐谷游客核酸检测呈阳性？河北燕郊一家三口发烧？北京育民小学已有学生确诊新冠肺炎？北京灯市口稻香村出现确诊病例？这些全是谣言。@首都网警 呼吁：防控不能松懈，重视但不恐慌。转发提醒！  [组图共4张] 原图 ",,无,"http://ww1.sinaimg.cn/large/a716fd45ly1gft58rp8zij20c80lewfz.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gft58rr9onj20c80mqabo.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gft58rpvqej20c80uk0vz.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gft58rplazj20c80leq4v.jpg",FALSE,无,无,2020/6/15 19:40,深安君Android,37,2,4,1
J2Drjj39N,"转发理由://@德州运河公安分局://@江宁公安在线: //@中国警察网:手动定位辟谣[最右]//@中国刑警学院: 我校未在湖北及其他地区开办分校，谨防被骗 ! 想报考的同学，可以关注我，获取权威官方信息~（手动定位：辽宁沈阳）  
原始用户: 中国警察网
转发内容: 近日，据宁波新碶派出所发布消息，民警查获一男子冒充警察，经询问，男子称衣服是在湖北黄冈的中国刑事警察学院发的，还在那里读过书……对此，你怎么看@中国刑警学院   中国警察网的微博视频  ",,无,无,FALSE,无,无,2020/5/19 13:09,小可爱的iPhone 8 Plus,3133,8,253,1
ICRN8pOec,"转发理由:辟谣！网传女子购发烧药拒登记殴打店员？确认事发不在深圳！  
原始用户: 深圳坪山公安
转发内容: 辟谣！网传女子购发烧药拒登记殴打店员？确认事发不在深圳！辟谣！网传女子购发烧药拒登记殴打店员？确认事发不在深圳！  ",,无,无,FALSE,无,无,2020/4/11 21:08,搜狗高速浏览器,4,0,3,1
IyIyc9pli,【315打假！#新冠肺炎辟谣#】连日来，疫情的发展牵动着每个人的心，各种谣言紧随其后。不带口罩驾车被扣6分？体温枪伤眼，造成永久伤害？微波炉加热口罩可以消毒？洗热水澡能预防新型冠状病毒？......看看你避开了多少？让谣言止于“较真”！315新闻打假！你避开了多少？  @人民网  [组图共10张] 原图 ,,"http://ww3.sinaimg.cn/large/677777cdgy1gcul5kxrbej20js0w30w7.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gcul5m1frjj20l30y6n1l.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gcul5mdmgsj20ok13tq7r.jpg,http://ww2.sinaimg.cn/large/677777cdgy1gcul5mp5frj20ph15bn1z.jpg,http://ww3.sinaimg.cn/large/677777cdgy1gcul5lq0kij20ra1890xw.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gcul5nl5tkj20p514sn2i.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gcul5ojyjlj20ra189wk3.jpg,http://ww3.sinaimg.cn/large/677777cdgy1gcul5ou5ypj20rs192dlk.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gcul5p3ovaj20ki1akaez.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gcul5pfgn0j20kr08udh2.jpg",无,TRUE,无,无,2020/3/15 14:15,iPhone客户端,4,2,2,1
Isdh4z3oO,"转发理由:#双黄连被辟谣#【#双黄连对新型冠状病毒不具针对性#】  
原始用户: 央视新闻
转发内容: #双黄连被辟谣#【#双黄连对新型冠状病毒不具针对性#】中央指导小组医疗小组专家张伯礼：双黄连口服液就是一种普通的中成药，主要成分是金银花、黄芩、连翘三味中药，具有清热解毒的作用。在以往的研究中发现，这些药物是具备广谱抗病毒的作用，但还没有针对新型冠状病毒进行正式临床的研究↓ http://t.cn/A6PpX7g7 ",,无,无,FALSE,无,无,2020/2/1 19:36,HUAWEI P10 Plus,10,0,3,2
